title,title_furigana,title_en
ああ一郎,ああいちろう,Ah Ichiro
あぁ愛しの番長さま,ああいとしのばんちょうさま,Lovly Bantyou
嗚呼!旧車會,ああ きゅうしゃかい,Ah ! Kyuusha-kai
ああ零戦,ああぜろせん,Ah Zerofighter
ああ探偵事務所,ああたんていじむしょ,Aa tantei jimusho
ああっ女神さまっ,ああっめがみさまっ,"Ah! My Goddess (Oh My Goddess!, Aa! Megamisama)"
嗚呼、どす恋ジゴロ,ああどすこいじごろ,Aa dosukoi jigoro
嗚呼!!花の応援団,ああはなのおうえんだん,Ah!! Hana no Ouendan
ああ播磨灘,ああはりまなだ,Aa ! Harimanada
ああ播磨灘外伝ISAO,ああはりまなだがいでんいさお,Aa Harimanada Gaiden Isao
嗚呼!!毘沙門高校,ああ びしゃもんこうこう,Ah!! Bishamon High School
I【アイ】,あい,I
アイアムアヒーロー,I am a HERO,
アイアムアヒーロー in IBARAKI,あいあむあひーろーいんいばらき,I Am a Hero In IBARAKI
アイアムアヒーロー in OSAKA,あいあむあひーろーいんおおさか,I AM A HERO in OSAKA
アイアムアヒーロー in NAGASAKI,あいあむあひーろーいんながさき,I AM A HERO in NAGASAKI
アイアムアヒーロー 8 TALES OF THE ZQN,あいあむあひーろー えいとているずおぶざぞきゅん,I Am a Hero 8 TALES OF THE ZQN
I AM SHERLOCK(アイ アム シャーロック),あいあむしゃーろっく,I AM SHERLOCK
アイアンアッガイ,IRON AGGUY,
アイアンジョーカーズ,Iron Jokers,
アイアンナイト,Iron knight,
アイアンバディ,Iron Buddy,
アイアンマッスル,IRONMUSSLE,
あいうら,AIURA,
IS〜男でも女でもない性〜,あいえす おとこでもおんなでもないせい,IS Otoko demo Onna demo nai sei
IN23H,あいえぬ23えいち,IN23H
I.L,あいえる,I.L
アイカツ! 〜Secret Story〜,あいかつしーくれっとすとーりー,Aikatsu! Secret Story
A・Iが止まらない!,あいがとまらない,AI ga tomaranai
愛がゆく,あいがゆく,Ai Ga Yuku
I KILL GIANTS,あいきるじゃいあんつ,I KILL GIANTS
I Care Because You Do,あいけあびこーずゆーどぅ,I Care Because You Do
あい言葉は、愛 (あいすべきものものどもへ),あいことばはあい,Aikotoba wa ai
あいこら,LOVE &amp; COLLAGE -Aikora-,
愛されるより○されたい,あいされるよりまるされたい,Aisareru Yorimo Maru Saretai
相沢家のえとせとら,あいざわけのえとせとら,Aizawake no etc
相沢さん増殖,あいざわさんぞうしょく,Aizawasan zousyoku
愛してナイト,あいしてないと,AISHITEKNIGHT
アイシテル 〜海容〜,あいしてる かいよう,Aishiteru - Kaiyo -
愛してるぜベイベ★★,あいしてるぜべいべ,Aisiteruze beibe
IGPX,あいじーぴーえっくす,IGPX -Immortal Grand Prix-
i・ショウジョ,あいしょうじょ,I shoujo
アイシールド21,あいしーるどにじゅういち,Eyeshield 21
