title,title_furigana,title_en
AIR,えあー,AIR
エア・ギア,Air Gear,
エアマスター,Air Master,
永遠図書館,えいえんとしょかん,Eien Toshokan
永遠の青,えいえんのあお,Eien no Ao
永遠の一手,えいえんのいって,Eien No Itte
永遠の0,えいえんのぜろ,Eien no Zero
英会話スクールウォーズ,えいかいわすくーるうぉーず,English school wars
映画クレヨンしんちゃん嵐を呼ぶアッパレ!戦国大合戦,えいがくれよんしんちゃんあらしをよぶあっぱれせんごくだいがっせん,Crayon Shin-chan Arashi o Yobu Appare Sengoku Daigassen
映画クレヨンしんちゃん完全コミック ちょー嵐を呼ぶ 金矛の勇者,えいがくれよんしんちゃんかんぜんこみっく ちょーあらしをよぶきんぽこのゆうしゃ,Crayon Shin-chan the movie Kanzen Comic: Cho arashi o Yobu Kinpoko no Yuusha
映画 ふたりはプリキュア スプラッシュスター チクタク危機一髪!,えいが ふたりはぷりきゅあ すぷらっしゅすたー ちくたくききいっぱつ,Futari wa Precure Splash Star
映画 ふたりはプリキュア マックスハート2 〜雪空のともだち〜,えいが ふたりはぷりきゅあ まっくすはーと2 ゆきぞらのともだち,Futari wa Precure Max Heart The Movie 2
映画 ふたりはプリキュア マックスハート,えいが ふたりはぷりきゅあ まっくすはーと,Futari wa Precure Max Heart The Movie
栄冠は俺に輝く,えいかんはおれにかがやく,Eikan wa ore ni kagayaku
営業の牧田です。,えいぎょうのまきたです,Eigyou no Makita desu
エイケン,Eiken,
エーイ!剣道,えーいけんどう,Ei kendo
栄光なき天才たち(シリーズ),えいこうなきてんさいたち,Eiko Naki Tensaitachi (Genius Without A Glory)
栄光のギャロップ,えいこうのぎゃろっぷ,Galop Pour La Gloire
栄光の手,えいこうのて,Eikou no te
栄光のナポレオン 〜エロイカ〜,えいこうのなぽれおん えろいか,Eroica
「エイジ」,えいじ,Eiji
"Age,35 恋しくて",えいじ35 こいしくて,"Age,35"
Age!,えいじ おおもとけいばん,Age!
EIGHTH,えいす,EIGHTH
衛星ウサギテレビ,えいせいうさぎてれび,Eisei Usagi TV
映像研には手を出すな!,えいぞうけんにはてをだすな,Eizoken niwa tewodasuna
H2O Image,えいち2おー いめーじ,H2O Image
H2(エイチ・ツー),えいちつー,H2
H2O -FOOTPRINTS IN THE SAND-,えいちつーおー ふっとぷりんついんざさんど,H2O -FOOTPRINTS IN THE SAND-
88,えいてぃえいと,88
87CLOCKERS(エイティセブンクロッカーズ),えいてぃせぶんくろっかーず,87CLOCKERS
エイト,Eight,
8(上條淳士版),えいと かみじょうあつしばん,Eight 2000
エイトドッグス 〜忍法八犬伝〜,えいとどっぐす にんぽうはっけんでん,Eight Dogs
8マン (エイトマン),えいとまん,EIGHTMAN
8マン(エイトマン)・インフィニティ,えいとまんいんふぃにてぃ,8man Infinity
ABC殺人事件 名探偵・英玖保嘉門の推理手帖,えいびいしいさつじんじけん めいたんてい えいくぼかもんのすいりてちょう,The ABC Murders Inference pocket notebook of excellent detective Kamon Eikubo
英雄三国志,えいゆうさんごくし,HERO SANGOKUSHI
英雄!シーザーさん,えいゆうしーざーさん,Eiyuu! Caesar-san
エイリアン通り(ストリート),えいりあんすとりーと,Alien street
エイリアン9,えいりあんないん,Alien 9
エウレカセブンAO,えうれかせぶんえいおー,EUREKA SEVEN Astral Ocean (EUREKA SEVEN AO)
エウレカセブンAO〜Save A Prayer〜,えうれかせぶんえいおー せーぶ あ ぷれいやー,EUREKA SEVEN AO Save A Prayer
エウレカセブン グラヴィティボーイズ&リフティングガール,えうれかせぶん ぐらびてぃぼーいずあんどりふてぃんぐがーる,"Eureka Seven, Gravity Boys &amp; Lifting Girl"
A・O・N,えーおーえぬ,AON
えきすとら以蔵,えきすとらいぞう,Extra Izo
駅弁ひとり旅,えきべんひとりたび,Ekiben Hitori-Tabi
エグザムライ,Examurai,
エグザムライ戦国,えぐざむらいせんごく,Examurai Sengoku
エクシス,Exis,
EX-ARM エクスアーム,えくすあーむ,EX-ARM
ex-vita,えくす びーた,Ex-vita
エクセル・サーガ,Excel Saga,
エクゾスカル零,えくぞすかるぜろ,Ekuzosukaru Zero
江口くんは見逃さない,えぐちくんはみのがさない,Mr.Eguchi doesn't miss CHOI ERO
エ・ク・ボ・!,EKUBO,
エクロール,Eclore,
"A君(17)の戦争-I,THE TYCOON?-",えーくんじゅうななさいのせんそう,A kun juunanasai no sensou
AKB0048 宇宙で一番ガチなヤツ!,えーけーびー0048うちゅうでいちばんがちなやつ,AKB0048 Uchuu de Ichiban Gachi na Yatsu!
AKB48殺人事件,えーけーびーふぉーてぃーえいとさつじんじけん,Detective AKB48 (AKB48 Satsujin Jiken)
AKB49〜恋愛禁止条例〜,えーけーびーふぉーてぃーないんれんあいきんしじょうれい,AKB49 Renai Kinshi Jourei
エコエコアザラク,Eko Eko Azaraku,
エコエコパンドラ,Eco Eco Pandora,
Aコース,えーこーす,A course
エコー/ゼオン,えこー ぜおん,ECHO/ZEON
えじぷり!,Egypre,
エース!(佐々木潤子版),Ace!,
SE,えすいー,SE
S・S,えすえす,SS Strange School
ES - Eternal Sabbath -,えす えたーなるさばす,ES - Eternal Sabbath -
SFファンシーフリー,えすえふ ふぁんしーふりー,SF and Fancy Free
SF名物 初期作品集,えすえふめいぶつ しょきさくひんしゅう,SF noted product juvenilia
SMH - 始末署の星,えすえむえいちしまつしょのほし,SMH
SOS大東京探検隊,えすおーえすだいとうきょうたんけんたい,SOS DaiTokyo Tankentai
S-最後の警官-,えすさいごのけいかん,S The Last Policeman (S Saigo no keikan)
S線上のテナ,えすせんじょうのてな,Tena on S string (Esusen-jou no tena)
エース (高橋陽一版),Ace!,
S-2,えすつー,S-2
SDガンダム英雄伝,えすでぃーがんだむえいゆうでん,SD GUNDAM EIYUUDEN
SDガンダム外伝 騎士ガンダム物語,えすでぃーがんだむがいでん ないとがんだむものがたり,SD Gundam Gaiden Night Gundam Story
SDガンダム三国志,えすでぃがんだむさんごくし,SD Gundam Sangokushi
SDガンダム三国伝 風雲豪傑編,えすでぃーがんだむさんごくでん ふううんごうけつへん,SD Gundam Sangokuden Fuun gouketsu hen
SDガンダム三国伝 ブレイブバトルウォーリアーズ,えすでぃーがんだむさんごくでん ぶれいぶばとるうぉーりあーず,SD Gundam Sangokuden Brave Battle Warriors
SDガンダム三国伝 Brave Battle Warriors 創世記,えすでぃーがんだむさんごくでん ぶれいぶばとるうぉーりあーず げねしす,SD Gundam Sangokuden Brave Battle Warriors Genesis
SDガンダム フルカラー劇場,えすでぃーがんだむ ふるからーげきじょう,SD Gundam Fullcolor Theater
SD武者ガンダム風雲録,えすでぃーむしゃがんだむふううんろく,SD Musha Gundum fuunroku
SとMの世界,えすとえむのせかい,WORLD OF THE S&amp;M
エースの条件,えーすのじょうけん,Ace No Jouken
エスパー魔美,えすぱーまみ,ESPer Mami
SP 警視庁警備部警護課第四係,えすぴー けいしちょうけいびぶたいけいごかだいよんか,SP
えすぴー都 見参!,えすぴーみやこ けんざん,SP Miyako Kenzan!
エスプリト,Esprit,
エスペリダス・オード,THE ODE TO THE ESPERIDES,
E'S (エス),えすゆいがさとる,E'S (Satoru Yuiga)
Sレア装備の似合う彼女,えすれあそうびのにあうかのじょ,S rare soubi no niau kanojo
エースをねらえ!,Ace wo Nerae,
エソラゴト,Esoragoto,
えーちゃん,Eechan,
Aチャンネル,えーちゃんねる,A channel
X -エックス-,えっくす,X/1999
X-GENE,えっくすじーん,X-GENE
世にも奇怪な物語 Xゾーン,えっくすぞーん,Xzone
越天の空,えってんのそら,Etten no Sora
【閲覧注異】,えつらんちゅうい,Etsuran chuui
EDEN〜It's an Endless World!〜,えでん いっつあんえんどれすわーるど,EDEN It's an Endless World!
EDEN'S ZERO,えでんずぜろ,EDEN'S ZERO
ヱデンズボゥイ,EDENs BOwY,
エデンの檻,えでんのおり,Cage of Eden
