title,title_furigana,title_en
はるかリフレイン,Haruka refrain,
ばあじんロード,Virgin road,
π,ぱい,Pi
ハーイあっこです,I'm Akko!,
HiGH & LOW g-sword,はいあんどろう じーすうぉーど,HiGH &amp; LOW g-sword
ヴァイアンメイデン,Vian Maiden,
ハイウェイスター,Highway star,
牌王伝説ライオン,はいおうでんせつらいおん,Haiou Densetsu Raion
BIORG TRINITY (バイオーグ・トリニティ),ばいおーぐ とりにてぃ,BIORG TRINITY
廃屋の住人,はいおくのじゅうにん,Haioku no Juunin
バイオハザード〜ヘヴンリーアイランド〜,ばいおはざーど へぶんりーあいらんど,BIOHAZARD Heavenly island
バイオハザード〜マルハワデザイア〜,ばいおはざーど まるはわでざいあ,BIOHAZARD marhawa desire
バイオメガ,BIOMEGA,
バイオレンスアクション,The Violence Action,
バイオレンス特急,ばいおれんすえくすぷれす,Violence Express
バイオレンスジャック,Violence Jack,
廃課金四姉妹,はいかきんよんしまい,Haikakinyonshimai
ハイガクラ,Haigakura,
はいからさんが通る,はいからさんがとおる,Haikarasann ga tooru
ハイキュー!!,Haikyuu!!,
High球!いんぷれっしょん,はいきゅういんぷれっしょん,Volleyball Impression
バイキングス,VIKINGS,
バイクメ〜ン!,ばいくめえん,Bike men
拝啓、エンマ様,はいけい えんまさま,Haikei Enma sama
拝啓、旧人類様。,はいけい きゅうじんるいさま,Dr.Mine's Strange Love for us
拝啓サラダボーイ,はいけい さらだぼーい,Salad boy
廃校ドールズ,はいこうどーるず,Haikou dolls
灰者,はいしゃ,ASHEN VICTOR
敗者復活戦!,はいしゃふっかつせん,Haisha fukkatsusen!
VICE - ヴァイス -,ばいす,VICE
ハイスクールAGENT,はいすくーるえーじぇんと,HIGHSCOOLAGENT
ハイスクール!奇面組,はいすくーるきめんぐみ,Highschool Kimen-gumi
はいすくーる仁義,はいすくーるじんぎ,Highschool jingi
ハイスクールD×D,はいすくーるでぃーでぃー,Highschool DxD
HIGH SCORE,はいすこあ,High score
ハイスコアガール,HIGH SCORE GIRL,
は〜いステップジュン,はーいすてっぷじゅん,HEYSTEPJYUN
ヴァイスの空,ばいすのそら,Vice's sky
ハイ☆スピード!,はいすぴーど,High Speed
敗走記,はいそうき,Haisoki
敗走記 関が原〜大阪「島津の退き口」を辿る,はいそうき せきがはらおおさか しまづののきぐちをたどる,Haisoki Sekigahara to Osaka Shimadu no Nokiguchi wo tadoru
HIDEOUT,はいどあうと,HIDEOUT
バイトくん,Baito kun,
灰と幻想のグリムガル,はいとげんそうのぐりむがる,Hai to Gensou no Grimgar
パイナップルARMY(アーミー),ぱいなっぷるあーみー,Pineapple Army
灰になる少年,はいになるしょうねん,Boy falls to ash
白娘娘,ぱいにゃんにゃん,Pai nyan nyan
HAL 〜はいぱあ あかでみっく らぼ〜,はいぱあかでみっくらぼ,Hyper Academic Laboratory
バイバイ人類,ばいばいじんるい,Bye Bye Jinrui
ハイパーウルトラガーリッシュ,Hyper Ultra Girlish,
はいぱー少女 ウッキー!,はいぱーしょうじょうっきー,"Wookie,the hyper girl!"
超戦士ガンダム野郎,はいぱーせんしがんだむぼーい,Hyper Fighter GUNDAM Boy
はいぱーぽりす,Hyper police,
ハイパーレストラン,Hyper restaurant,
ハイファイクラスタ,Hi-Fi CLUSTER,
Hi5!(ハイファイブ),はいふぁいぶ,Hi5!
はいふり,Haihuri,
BIBLE,ばいぶる,BIBLE
ハイポジ,High Position,
這いよれ!スーパーニャル子ちゃんタイム,はいよれすーぱーにゃるこちゃんたいむ,Haiyore! super Nyaruko-chan time
這いよれ!ニャル子さん,はいよれにゃるこさん,Haiyore! Nyaruko-san
拝礼人,はいらいにん,HAIRAININ
High Life,はいらいふ,High Life
ハイリスクミッションセラピー,Highrisk Mission Therapy,
ハイリスクみらくる,Highrisk Miracle,
バウ,Vow,
ハウスジャックナナちゃん,House Jack Nana-chan,
バウバウ大臣,ばうばうだいじん,Baubau daijin
Howling,はうりんぐ,Howling
バウンダー 〜最強の少年・項羽〜,ばうんだあさいきょうのしょうねんこうう,Bounder Saikyou No Syounen Kouu
Pound for Pound,ぱうんどふぉーぱうんど,Pound for Pound
南風! BunBun,はえぶんぶん,Hae bun bun
覇王・愛人,はおう あいれん,Haou airen
覇王大系リューナイト,はおうたいけいりゅーないと,Lord Of Lords Ryu Knight
覇王伝説 驍 - タケル -,はおうでんせつたける,HAOHDENSETUTAKERU
覇王の剣,はおうのけん,Sword of King
覇王の森,はおうのもり,Haou No Mori
覇王やすのり,はおうやすのり,Haou Yasunori
バオー来訪者,ばおーらいほうしゃ,BAOH THE VISITOR
破戒王 〜おれの牛若〜,はかいおう おれのうしわか,Hakaiou Ore no Ushiwaka
破壊王ノリタカ!,はかいおうのりたか,Destroy King Noritaka!
ハカイジュウ,HAKAIJYU,
バカイチ,Bakaiti,
破壊魔定光,はかいまさだみつ,Sadamitsu the Destroyer (Hakaima Sadamitsu)
バカ in the CITY!!,ばか いん ざ してぃ,Fool in the city!!
バカ姉弟,ばかきょうだい,Baka Kyodai
番長決定戦 (バカ決定戦),ばかけっていせん,Baka Ketteisen
博士と助手高生,はかせとじょしゅこうせい,DR&amp;JK (Hakase to joshukosei)
博士の愛した数式,はかせのあいしたすうしき,Hakase no aishita suushiki
博士の白衣女子攻略論,はかせのはくいじょしこうりゃくろん,Hakase no hakui joshi kouryaku ron
バガタウェイ,Baggataway,
博多っ子純情,はかたっこじゅんじょう,Hakatakko Junjo
博多風雲録,はかたふううんろく,Hakata Fooun roku
博多弁の女の子はかわいいと思いませんか?,はかたべんのおんなのこはかわいいとおもいませんか,Hakata ben no Onnanoko wa Kawaii to Omoimasen ka?
バカ一,ばかちょん,Bakatyon
バカとゴッホ,Fool and Gogh,
バカとテストと召喚獣,ばかとてすととしょうかんじゅう,Baka to Test to Shokanju
バカとテストと召喚獣 SPINOUT! それが僕らの日常。,ばかとてすととしょうかんじゅう すぴんあうと それがぼくらのにちじょう,Baka to Test to Shoukanjuu Spinout!: Sore ga Bokura no Nichijou
バカとテストと召喚獣ぢゃ,ばかとてすととしょうかんじゅうぢゃ,Baka to test to shoukanjuu ja
鋼,はがね,Hagane
鋼の錬金術師,はがねのれんきんじゅつし,Fullmetal Alchemist
バカバカしいの!,Bakabakashii-no!,
バカビリーバー,BAKA BELIEVER,
バガボンド,Vagabond [Takehiko Inoue],
馬鹿者のすべて,ばかもののすべて,Bakamono no Subete
バカレイドッグス,Back alley dogs,
ハガワの異常な愛情,はがわのいじょうなあいじょう,Hagawa no ijou na aijou
バキ,Baki,
バギーウィップ,Buggy Whip,
バキ外伝 創面,ばきがいでん きずづら,Baki Gaiden Kizudura
バキ外伝 拳刃,ばきがいでん けんじん,Baki Gaiden Kenjin
バキ外伝 疵面(スカーフェイス),ばきがいでんすかーふぇいす,BAKI Outsidestory Scarface
歯ぎしり球団,はぎしりきゅうだん,Hagisiri kyuudan
刃牙道,ばきどう,Bakidou
パギャル!,Pagal,
蟲〜バグ〜,ばぐ,Bug
白亜紀恐竜奇譚 竜の国のユタ,はくあききょうりゅうきたん りゅうのくにのゆた,Hakuaki Kyouryuu Kitan Ryu No Kuni No Yuta
白衣さんとロボ,はくいさんとろぼ,Hakui-san to robot
白衣の王様,はくいのおうさま,Hakuinoousama
白衣のカノジョ,はくいのかのじょ,Hakui no Kanojo
ばくおん!!,Bakuon!!,
爆音列島,ばくおんれっとう,Bakuon Rettou
バグガール。,Bug Girl,
莫逆家族,ばくぎゃくふぁみーりあ,Bakugyaku Familia
爆球連発!!スーパービーダマン,ばくきゅうれんぱつすーぱーびーだまん,Super Marble Man (Super Bidaman)
爆笑戦士!SDガンダム,ばくしょうせんし えすでぃーがんだむ,Bakushou Senshi ! SD Gundam
