title,title_furigana,title_en
ベアゲルター,Beageruta,
平安Haze,へいあんへいず,Heian Haze
平家物語,へいけものがたり,Heike Monogatari (The Tale of the Heike)
平原太平記,へいげんたいへいき,Heigentaiheiki
ベイスタ流,べいすたりゅう,BAYSTARS CHRONICLE BAYSTAR-RYU
平成生まれ2,へいせいうまれ2,Natural born heisei 2 (Heisei umare 2)
平成生まれ,へいせいうまれ,Natural Born Heisei (Heisei Umare)
平成義民伝説 代表人,へいせいぎびとでんせつ だいひょうびと,Heisei Gibito Densetsu Daihyoubito
平成武装正義団,へいせいぶそうせいぎだん,Heisei busou seigidan
平成マンガ家実存物語 おはようひで次くん!,へいせいまんがかじつぞんものがたり おはようひでじくん,Heisei comic artist existence story Hello Hideji kun
ベィビィ☆LOVE,べいびい らぶ,Baby Love
Baby Steps(ベイビーステップ),べいびーすてっぷ,Baby Steps
BABY♀♂BABY,べいびーべいびー,BABY BABY
ベイビー・ワールドエンド,BABY WORLDEND,
ベイブレードバースト,Beyblade Burst,
ベイマックス,Big Hero 6 (Japan Version),
Hey!リキ,へい りき,Hey!Riki
平和への弾痕,へいわへのだんこん,The bullet hole to Piece
ヘウレーカ,Heuraca,
ペエスケ,Peesuke,
碧海のAiON,へきかいのあいおーん,Hekikai no AiON
ヘキサムーン・ガーディアンズ,Hexamoon Guardians,
ベクター・ケースファイル,Vector Case File,
VECTOR BALL(ベクターボール),べくたーぼーる,VECTOR BALL
×‐ペケ‐,ぺけ,Peke
ペケペケペケル,PEKEPEKEPEKERU,
ヘタコイ,Hetakoi,
べーしっ君,べーしっくん,Basiccun
べしゃり暮らし,べしゃりぐらし,Beshari gurashi
ベストイレブン,Best Eleven,
ベストブルー,Best blue,
Base Boys,べーすぼーいず,Base Boys
へ〜せいポリスメン!!,へーせいぽりすめん,Heisei Policemen!!
へそで茶をわかす,へそでちゃをわかす,Heso de cha wo wakasu
ペーター・キュルテンの記録,ぺーたーきゅるてんのきろく,Peter Kyuruten
へたっぴKICK!!,へたっぴきっく,Hetappi Kick!!
ヘタッピマンガ研究所R,へたっぴまんがけんきゅうじょりたーんず,Hetappi manga kenkyuujo R
ベタ道,べたどう,BETADOU
ベターマン,Better Man,
ヘタリア Axis Powers,へたりあ あくしすぱわーず,Hetalia Axis Powers
ヘタレ姉。,へたれあね,Hetare Ane
BECK,べっく,BECK
別式,べつしき,Betsushiki
Vet's Egg,べっつえっぐ,Vet's Egg
ペット松・竹・梅,ぺっとしょうちくばい,PET SHOU CHIKU BAI
ペットントン(テレビランド版),PETTONTON,
ベツ×バラ,べつばら,Betsu Bara
へなちょこ大作戦Z,へなちょこだいさくせんぜっと,Henachoko Daisakusen Z
ペナントレース やまだたいちの奇蹟,ぺなんとれーすやまだたいちのきせき,Pennant Race: Yamada Taichi no Kiseki
紅色HERO (ヒーロー),べにいろひーろー,Beniiro HERO
ベニスの商人,べにすのしょうにん,Benis no shounin
紅ばら黒ばら,べにばらくろばら,Beni bara Kuro Bara
べにまろ,Benimaro,
ペーパーブレイバー,Paper Braver,
ペパミント・スパイ,Peppermint spy,
ペーパームーン,It's Only a Paper Moon,
ヘヴィ,Heavy,
ベビーブーム,Baby boom,
HEAVY METAL甲子園,へびーめたるこうしえん,HEAVY METAL KOUSHIEN
ヘヴン,Heaven by Yosiko Endou,
HEAVENイレブン,へぶんいれぶん,HEAVEN ELEVEN
HEAVEN(王欣太版),へぶん きんぐごんたばん,HEAVEN by King GONTA
Heaven?(ヘブン)〜ご苦楽レストラン〜,へぶん ごくらくれすとらん,Heaven?
ヘブンズゲイト,Heaven's gate,
ヘヴンズドア,Heaven's door,
ヘブンズランナーアキラ,Heaven's runnner Akira,
ペペロン!!,Peperon!!,
ヘボット!,HEYBOT!,
ベムハンター・ソード,Bem Hunter Sword,
