title,title_furigana,title_en
Piaキャロットへようこそ!! 2,ぴあきゃろっとへようこそつー,Welcome to Pia Carrot 2
美悪の華,びあくのはな,BIAKU NO HANA
陽あたり良好!,ひあたりりょうこう,Hiatari Ryoukou
ピアノのムシ,Piano no Mushi,
ピアノの森 The perfect world of Kai,ぴあののもり ざ ぱーふぇくとわーるど おぶ かい,Piano No Mori
BEAST of EAST,びいすとおぶいいすと,BEAST of EAST
BE TAKUTO!! -野蛮なれ-,びいたくと やばんなれ,BE TAKUTO!!
B壱,びーいち,B Ichi
日出処の天子,ひいづるところのてんし,Hi Izuru Tokoro no Tenshi
B.B,びいびい,B B
柊様は自分を探している。,ひいらぎさまはじぶんをさがしている,Miss Hiiragi is looking for her.
緋色の椅子,ひいろのいす,Scarlet Chair (Hiiro no isu)
ヒウリ,Hiuri,
P.S. 元気です、俊平,ぴーえす げんきですしゅんぺい,"P.S. I'm fine, Shunpei"
P.S.リスタート,ぴーえすりすたーと,P. S. restart
BM・ネクタール,びーえむ ねくたーる,BM Nectar
緋桜白拍子(ひおうしらびょうし),ひおうしらびょうし,Hiou silabyousi
東のエデン,ひがしのえでん,Higashinoeden
B型H系,びーがたえっちけい,B type of H type
B型平次捕物帖,びーがたへいじとりものちょう,B-GATA HEIJI TORIMONOCHO
B型平次捕物控,びーがたへいじとりものひかえ,B-Type Heiji's Arrest Note
鼻下町紳士回顧録,びかちょうしんしかいころく,Bikachou shinshi kaikoroku
ひかり!出発進行,ひかりしゅっぱつしんこう,Hikari! shuppatsu shinkou
光とともに…-自閉症児を抱えて-,ひかりとともに じへいしょうじをかかえて,Hikari to tomoni
光の王国,ひかりのおうこく,Kingdom of light
魂の剣,ひかりのけん,Hikari No Ken
光の小次郎,ひかりのこじろう,Hikari no Kojirou
光の島,ひかりのしま,Hikari no shima
ひかりの空,ひかりのそら,Hikari's Sky
光の大社員,ひかりのだいしゃいん,Shine of Shines
光の伝説,ひかりのでんせつ,Hikari No Densetsu
ひかりのまち,Hikari no mati,
HIKARI-MAN,ひかりまん,HIKARI-MAN
光る風,ひかるかぜ,HIKARUKAZE
ひかる!チャチャチャッ!!,HIKARU! CHACHACHA!!,
ヒカルの碁,ひかるのご,Hikaru no Go
光れ!メシスタント,ひかれめしすたんと,Run over! Messistant (Hikare! meshisutanto)
ひがわり娘,ひがわりむすめ,Higawari Musume
彼岸島,ひがんじま,Higan Jima
彼岸島 最後の47日間,ひがんじま さいごのよんじゅうななにちかん,Higanjima Saigo no 47 Nichikan
