title,title_furigana,title_en
ホアー!! 小池さん,ほあーこいけさん,HOA!!Mr.KOIKE
ボアザン,Boazan,
保安官エヴァンスの嘘 〜DEAD OR LOVE〜,ほあんかんえばんすのうそ でっどおあらぶ,Hoankan Evans no Uso DEAD OR LOVE
BOY - HARELUYA II -,ぼーい,BOY HARELUYA II
ボーイズ・オン・ザ・ラン,BOYS ON THE RUN,
ボイス坂,ぼいすざか,Voice hill (Boisu zaka)
Boy'sたいむ,ぼーいずたいむ,Boy's time
BOYS BE,ぼーいずびー,BOYS BE
voiceful,ぼいすふる,Voiceful
ボイス・ミーツ・ガール,Voice meets girl,
ポイズンガール,Poison Girl,
ホイッスル!,Whistle!,
ホイッスル!W(ダブル),ほいっするだぶる,Whistle! W
ホイップノート,Whip Note (Hoippu nooto),
ヴォイニッチホテル,The Voynich Hotel,
ボイラジ〜僕の好きなパーソナリティ〜,ぼいらじ ぼくのすきなぱーそなりてぃ,Voiradi Boku no suki na Personality
棒がいっぽん,ぼうがいっぽん,Bou ga ippon
放課後アトリエといろ,ほうかごあとりえといろ,Houkago atelier toiro
放課後ウィザード倶楽部,ほうかごうぃざーどくらぶ,Houkago Wizard Club
放課後ウィンド・オーケストラ,ほうかごういんどおーけすとら,Hokago WIND ORCHESTRA
放課後さいころ倶楽部,ほうかごさいころくらぶ,Houkago saikoro club
放課後せんせーしょん!,ほうかごせんせーしょん,Houkago Sensation!
放課後戦線異状あり!,ほうかごせんせんいじょうあり,Houkago sensen ijou ari
放課後ソードクラブ,ほうかごそーどくらぶ,Houkago sword club
放課後!ダンジョン高校,ほうかごだんじょんこうこう,Houkago! dungeon highschool
放課後の王子様,ほうかごのおうじさま,Hokagonoojisama
放課後のカリスマ,ほうかごのかりすま,Charisma after school
放課後の異端者(グノーシス),ほうかごのぐのーしす,Houkago no Gnosis
放課後のトラットリア,ほうかごのとらっとりあ,Houkago no Trattoria
放課後のピアニスト,ほうかごのぴあにすと,Houkago no pianist
放課後のプレアデス Prism Palette,ほうかごのぷれあです ぷりずむぱれっと,WISH UPON THE PLEIADES Prism Palette
放課後の本屋さん,ほうかごのほんやさん,Houkago no honyasan
放課後ヒーロー,ほうかごひーろー,Afterschool Hero
放課後プレイ,ほうかごぷれい,Hokago Play
放課後保健室,ほうかごほけんしつ,After School Nightmare
放課後ミンコフスキー,ほうかごみんこふすきー,Afterschool Minkowski
忘却 (シリーズ),ぼうきゃくしりーず,Forgetting series ( Boukyaku shirizu )
忘却のクレイドル,ぼうきゃくのくれいどる,Amnesia Cradle
忘却のサチコ,ぼうきゃくのさちこ,A MEAL MAKES HER FORGET
忘却の旋律,ぼうきゃくのせんりつ,THE MELODY OF OBLIVION
忘却の覇王 ロラン,ぼうきゃくのはおう ろらん,Boukyaku no Haou Roran
忘却の涯て 16歳の自分への手紙,ぼうきゃくのはて じゅうろくさいのじぶんへのてがみ,Boukyaku no hate
冒険エレキテ島,ぼうけんえれきてとう,Bouken erekitetou
冒険王Ver. 完全版 新・仮面ライダー,ぼうけんおうばーじょん かんぜんばん しんかめんらいだー,BoukenouVer. kanzemban shinmaskedrider
冒険王ビィト,ぼうけんおうびぃと,Beet the Vandel Buster
冒険ガボテン島,ぼうけんがぼでんじま,Bouken Gabotenjima
冒険狂時代,ぼうけんきょうじだい,Boukenkyou jidai
冒険時空タイムネット,ぼうけんじくうたいむねっと,Adventure space-time thyme net
冒険少年,ぼうけんしょうねん,Boken Shonen
冒険ダン吉,ぼうけんだんきち,Bouken Dankichi
冒険!ヴィクトリア号!!,ぼうけん びくとりあごう,Bouken Victoria Gou
冒険ルビ,ぼうけんるび,Bouken rubi
咆哮!島津十字,ほうこう しまづじゅうじ,Shimazu Jyuji
彷徨の雲 北斗の拳 ジュウザ外伝,ほうこうのくも ほくとのけんじゅうざがいでん,Houkou no Kumo: Hokuto no Ken Juuza Gaiden
北条早雲,ほうじょうそううん,HOHJOH SOHUN
北条時宗,ほうじょうときむね,Houjyo Tokimune
砲神エグザクソン,ほうしんえぐざくそん,THE CANNON GOD EXAXXION
封神演義,ほうしんえんぎ,Soul Hunter ( Hoshin Engi )
封神演義 外伝,ほうしんえんぎ がいでん,Houshin Engi Gaiden
坊主DAYS,ぼうずでいず,BousDays
BOZEBEATS,ぼうずびーつ,BOZEBEATS
宝石の国,ほうせきのくに,Houseki no Kuni
暴走系吹奏楽列伝 ブラボー! Brass Boy,ぼうそうけいすいそうがくれつでんぶらぼー ぶらすぼーい,Bousou kei suisougaku retsuden Bravo!
暴想処女,ぼうそうしょじょ,Bososhojyo
包帯クラブ,ほうたいくらぶ,Houtaiclub
包丁さんのうわさ 血ニ染マル学舎,ほうちょうさんのうわさ ちにそまるまなびや,Houchou san no Uwasa Chi ni somaru manabiya
包丁人味平,ほうちょうにんあじへい,Houchounin ajihei
包丁無宿,ほうちょうむしゅく,Houchou Mushuku
報道ギャング ABSURD!,ほうどうぎゃんぐ あぶさーど,News gang ABSURD!
蓬莱トリビュート 中国怪奇幻想選,ほうらいとりびゅーと ちゅうごくかいきげんそうせん,Hourai Tribute Chuugoku kaiki gensousen
暴力大将,ぼうりょくたいしょう,Bouryoku Taishou
ボウリングッド!,Bowlingood!,
放浪見聞録,ほうろうけんぶんろく,Hourou Kenbunroku
放浪息子,ほうろうむすこ,Wandering son
ほえろ!闘志,ほえろとうし,Hoero!Toushi
吼えろペン,ほえろぺん,Hoeropen
鬼灯さん家のアネキ,ほおずきさんちのあねき,Hozuki-san chi no ANEKI
鬼灯さん家のアネキ(+妹),ほおずきさんちのあねきぷらすいもうと,Hozuki-san chi no ANEKI + imouto
鬼燈の島 -ホオズキノシマ-,ほおずきのしま,Hozuki no Shima
鬼灯の冷徹,ほおずきのれいてつ,Hoozuki no Reitetsu
ポーの一族,ぽおのいちぞく,Poe no ichizoku
ほおばれ!草食女子,ほおばれそうしょくじょし,Hoobare! soushoku joshi
ぼおるぺん古事記,ぼおるぺんこじき,Ball-point pen Kojiki
放課後カンパニー,ほかごかんぱにー,Houkago company
ホーカスポーカス,Hocus Pocus,
ホカベン,Hokaben,
ボギーTHE GREAT,ぼぎーざぐれーと,Bogey The Great
僕,ぼく,BOKU
ホークウッド,Hawkwood,
ぼく、オタリーマン。,Boku otariman,
ボク×ネコ?,ぼくかけるねこ,Boku Neko
僕が僕であるために。,ぼくがぼくであるために,Boku ga boku de aru tame ni
ボクガール,Boku girl,
ボク恋コンダクター,ぼくこいこんだくたー,Bokukoi conductor
北斎,ほくさい,Hokusai
ホクサイと飯,ほくさいとめし,Hokusai to Meshi
北斎のむすめ。,ほくさいのむすめ,Hokusai no musume
撲殺天使ドクロちゃん,ぼくさつてんしどくろちゃん,Bokusatsu tenshi Dokuro-chan
ほぐし屋 捷,ほぐしや しょう,Hogushiya Sho
牧場OL,ぼくじょうおーえる,Bokujou OL
ボクシン子,ぼくしんご,Boxingo
僕だけがいない街,ぼくだけがいないまち,Bokudake ga inai machi
僕たちがやりました,ぼくたちがやりました,Bokutachi ga Yarimashita
ぼくたちの疾走,ぼくたちのしっそう,Boku tachi no shissou
ぼくたちのプレイボール,Our Play ball(Boku Tachi No Play ball),
ぼくたちは勉強ができない,ぼくたちはべんきょうができない,Bokutachi ha Benkyou ga dekinai
ぼくたち保育科高校1年生,ぼくたちほいくかこうこういちねんせい,Bokutathi Hoikuka Koukou Itinensei
僕といっしょ,ぼくといっしょ,Boku To Issho
僕と王様,ぼくとおうさま,I and King
僕と彼女の×××,ぼくとかのじょのぺけみっつ,Your and My Secret
僕と君の間に,ぼくときみのあいだに,Boku to kimi no aida ni
ぼくとことりちゃん,Boku to Kotori-chan,
僕と先輩の鉄拳交際,ぼくとせんぱいのてっけんこうさい,Boku to Senpai no Tekken Kousai
北斗の拳,ほくとのけん,Hokuto no Ken (Fist of the North Star)
北斗の拳 イチゴ味,ほくとのけん いちごあじ,Hokuto no ken Ichigo aji
北斗の拳 レイ外伝-餓狼編-,ほくとのけんれいがいでんがろうへん,Hokuto no Ken Rei Gaiden
ボクと魔女の時間,ぼくとまじょのじかん,Boku to Majo no jikan
ぼくと未来屋の夏,ぼくとみらいやのなつ,Boku to Miraiya no Natsu
僕に恋するメカニカル,ぼくにこいするめかにかる,Boku ni Koisuru Mechanical
ぼくの妹さん!,ぼくのいもうとさん,Bokuno Imoutosan (My Sweet Sister ROSALIE!)
僕の妹は漢字が読める,ぼくのいもうとはかんじがよめる,Boku no imouto wa kanji ga yomeru
ぼくの奥さん,ぼくのおくさん,Boku no okusan
ぼくの家庭教師,ぼくのかてきょ,Boku no katekyo
ボクの彼女,ぼくのかのじょ,My Lover
僕の彼女がマジメ過ぎる処女ビッチな件,ぼくのかのじょがまじめすぎるしょじょびっちなけん,Boku no kanojo ga majime sugiru Shojo Bitch na ken
ぼくの彼女はウエートレス,ぼくのかのじょはうえーとれす,Boku no kanojo ha Waitress
僕の彼女は最高です!,ぼくのかのじょはさいこうです,Boku No Kanojo Ha Saikou Desu
僕の彼女はサイボーグ,ぼくのかのじょはさいぼーぐ,My Girlfriend is a Cyborg
ぼくの体はツーアウト -ツーアウトからのヘルスケア-,ぼくのからだはつーあうと,Two Outs kara no Healthcare
僕のかわいい上司さま,ぼくのかわいいじょうしさま,Boku no Kawaii Joushi sama
僕のクラスの織田君は,ぼくのくらすのおだくんは,Boku No Kurasu No Oda Kun Ha
僕の心のヤバイやつ,ぼくのこころのやばいやつ,The Dangers in my heart
ボクの社長サマ,ぼくのしゃちょうさま,My favorite president!! (Boku no shachou sama)
僕の小規模な失敗,ぼくのしょうきぼなしっぱい,My small failure
僕の小規模な生活,ぼくのしょうきぼなせいかつ,Boku no Shokibo na Seikatsu
ぼくの生徒はヴァンパイア,ぼくのせいとはばんぱいあ,The tutor of the vampire (Boku no seito wa vampire)
ぼくの孫悟空,ぼくのそんごくう,My Songokuu
ぼくの地球を守って,ぼくのちきゅうをまもって,Please Save My Earth
ボクの手塚治虫,ぼくのてづかおさむ,My Osamu Teduka
ぼくの動物園日記,ぼくのどうぶつえんにっき,Boku no Doubutuen nikki
ぼくのパート2,ぼくのぱーとつー,Boku no part 2
僕のヒーローアカデミア,ぼくのひーろーあかでみあ,My hero adademia
僕のヒーローアカデミア すまっしゅ!!,ぼくのひーろーあかでみあ すまっしゅ,My hero adademia Smash
ボクの婚約者,ぼくのふぃあんせ,My fiancee
ぼくのブラジャー・アイランド,My Brassiere island. ( Boku no Brassiere island. ),
ぼくのマリー,My Mary,
ボクのマンガ,Boku no manga,
ぼくの村の話,ぼくのむらのはなし,Boku no Mura no Hanashi
僕のランチを邪魔するな!,ぼくのらんちをじゃまするな,Boku no lunch o jama suruna!
ぼくのわたしの勇者学,ぼくのわたしのゆうしゃがく,Boku no Watashi no Yuusha Gaku
ぼくは愛を証明しようと思う。,ぼくはあいをしょうめいしようとおもう,Boku ha ai wo syoumei shiyou to omou
ボクはイケメン,Boku ha Ikemen,
僕は妹に恋をする,ぼくはいもうとにこいをする,I love my sister
ぼくはおとうと,Boku ha otouto,
僕はお姫様になれない,ぼくはおひめさまになれない,Boku wa ohimesama ni narenai
ぼくは、おんなのこ,Boku wa Onnanoko,
僕は殺人犯、生きる価値証明します,ぼくはさつじんはんいきるかちしょうめいします,I am a murderer I will prove my life is valuable
ボクはしたたか君,ぼくはしたたかくん,Boku ha sitataka-kun
ボクは少年探偵ダン♪♪,ぼくはしょうねんたんていだん,Boku wa shounen tantei Dan
僕はどこから,ぼくはどこから,Boku ha doko kara
僕は友達が少ない,ぼくはともだちがすくない,Boku wa tomodachi ga sukunai
僕は友達が少ない+,ぼくはともだちがすくない ぷらす,Boku wa tomodachi ga sukunai+
僕は恥っこが好き,ぼくははじっこがすき,Boku ha Hajikko ga Suki
僕はビートルズ,ぼくはびーとるず,Boku wa Beatles
ぼくは麻理のなか,ぼくはまりのなか,Boku wa Mari no naka
ぼくは岬太郎,ぼくはみさきたろう,Misaki Tarou
僕はムコ養子,ぼくはむこようし,Boku ha mukoyoushi
ボクマン,BOKUMAN,
僕等がいた,ぼくらがいた,BOKURAGAITA
ボクら超常倶楽部です,ぼくらちょうじょうくらぶです,Bokura Choujou club desu
僕らとひとつ屋根の下 〜番町ボーイズ☆Backstage〜,ぼくらとひとつやねのした ばんちょうぼーいずばっくすてーじ,Bokura to hitotsu yane no shita Banchou boys backstage
ぼくらの,Bokurano,
ぼくらのカプトン,BOKURA NO CAPTON,
ぼくらのQ,ぼくらのきゅー,Bokura no Q
ぼくらの時代,ぼくらのじだい,Bokuranojidai
ぼくらの戦国白球伝 SAMURAI BASEBALLERS,ぼくらのせんごくはっきゅうでん さむらいべーすぼーらーず,SAMURAI BASEBALLERS
ぼくらの翼,ぼくらのつばさ,Our wing
ぼくらの七日間戦争(牛島慶子版),ぼくらのなのかかんせんそう うしじまけいこばん,Bokuranonanokakansensou Ushijima Keiko version
ぼくらの七日間戦争(大塚ヨウコ版),ぼくらのなのかかんせんそう おおつかようこばん,Our Seven Days War
ぼくらの☆ひかりクラブ,ぼくらのひかりくらぶ,Our Hikari club
ぼくらのふしだら,Bokura no fushidara,
ぼくらのへんたい,Bokura No Hentai,
僕らの変拍子,ぼくらのへんびょうし,Bokurano Henbyousi
ぼくらのよあけ,Bokura no yoake,
僕らはイタい生き物だ。,ぼくらはいたいいきものだ,Bokuraha Itai Ikimonoda
僕らはいつも,ぼくらはいつも,We are always
ボクらは魔法少年,ぼくらはまほうしょうねん,Bokurawa Mahou Syounen
ボクらはみんな生きている,ぼくらはみんないきている,BOKURA HA MINNNA IKITE IRU
僕らはみんな生きている(山本直樹版),ぼくらはみんないきているやまもとなおきばん,Bokuraha Minna Ikiteiru (Yamamoto Naoki version)
僕らはみんな河合荘,ぼくらはみんなかわいそう,Bokura wa minna Kawaisou
僕らはみんな死んでいる♪,ぼくらはみんなしんでいる,Bokura ha minna Shindeiru
ポグリ,POGURI,
ぼくはガリレオ,Boku ha Garireo,
ボクを包む月の光 -「ぼく地球」次世代編 -,ぼくをつつむつきのひかり ぼくたまじせだいへん,Boku wo tsutsumu Tsuki no hikari
ぼくを野球に連れてって!,ぼくをやきゅうにつれてって,Boku Wo Yakyuu Ni Tsuretette
ぼくんち,Bokunchi,
Pocket,ぽけっと,Pocket
ぽけっとジャーニー,Pocket journey,
ぽけっとタマちゃん,Pocket Tama chan,
ポケットに聖書を―浅美裕子初期作品集,ぽけっとにばいぶるを あさみゆうこしょきさくひんしゅう,Pocket ni bible wo
ポケットモンスター,Pocket monsters,
ポケットモンスターX・Y ポケモン竜王伝,ぽけっともんすたーえっくすわい ぽけもんりゅうおうでん,Pokemon XY pokemon Ryuoden
ポケットモンスター金・銀 ゴールデン・ボーイズ,ぽけっともんすたー きん ぎん ごーるでん ぼーいず,Pokemon kin gin golden boys
ポケットモンスター☆SPECIAL,ぽけっともんすたーすぺしゃる,Pokemon Special
まんが版ポケットモンスター全書,ぽけっともんすたーぜんしょ,Pocket monster zensyo
ポケットモンスターHG・SS ジョウの大冒険,ぽけっともんすたー はーとごーるど そうるしるばー じょうのだいぼうけん,Pocketmonster Heart Gold Soul Silver Jou's great adventure
ポケットモンスター PiPiPi★アドベンチャー,ぽけっともんすたー ぴぴぴ あどべんちゃー,Magical Pokemon Journey (Pocket Monster PiPiPi Adventures)
ポケットモンスターBW 炎雷の英雄,ぽけっともんすたー ぶらっくほわいと えんらいのえいゆう,Pocket monster BW Enrai no eiyuu
ポケットモンスターB・Wグッドパートナーズ,ぽけっともんすたーぶらっくほわいとぐっどぱーとなーず,Pokemon Black White Good partners
ポケットモンスターReBURST,ぽけっともんすたーりばーすと,Pokemon ReBURST
ポケモンカードになったワケ,Pokemon Card Ni Natta Wake,
ポケモンゲットだぜ,Pokemon Get Daze,
ポケモンD・P,ぽけもんでぃーぴー,Pokemon DP
ポケモンボケボケワクワク4コマ劇場,ぽけもんぼけぼけわくわく4こまげきじょう,Pokemon bokeboke wakuwaku 4koma gekijou
ポケモン4コマギャグ劇場,ぽけもんよんこまぎゃぐげきじょう,Pokemon 4 koma Gyagu Gekijo
保健室の死神,ほけんしつのしにがみ,Hokenshitsu no Shinigami
