title,title_furigana,title_en
Far away!,ふぁーあうぇい,Far away
ファイアーエムブレム 暗黒竜と光の剣,ふぁいあーえむぶれむ あんこくりゅうとひかりのけん,Fire Emblem Ankoku Ryu to Hikari no Ken
ファイアーエムブレムif ニーベルングの宝冠,ふぁいあーえむぶれむいふ にーべるんぐのほうかん,Fire Emblem if Neavengerg no houkan
ファイアーエムブレム 聖戦の系譜 (大沢美月版),ふぁいあーえむぶれむ せいせんのけいふ おおさわみつきばん,Fire Emblem: seisen no keifu
ファイアーエムブレム-覇者の剣-,ふぁいあーえむぶれむ はしゃのけん,Fire Emblem:hasya no ken
ファイアキング,Fire king,
ファイアースノーの風,ふぁいあーすのーのかぜ,Fire snow no kaze
ファイアパンチ,Fire Punch,
ファイターズヒストリーダイナマイト,Fighters History Dynamite,
剣豪(ファイター)ゼロ,ふぁいたーぜろ,Fighter Zero
ふぁいてぃんぐSWEEPER,ふぁいてぃんぐすいーぱー,Fighting Sweeper
格闘美神 武龍,ふぁいてぃんぐびゅーてぃーうーろん,Fighting Beauty Wooron
ファイト!,Fight,
ファイト一発!充電ちゃん!!,ふぁいといっぱつじゅうでんちゃん,Fight Ippatsu Juden chan
ふぁいとの暁,ふぁいとのあかつき,Faito no akatuki
ファイナルファンタジー,FINALFANTASY,
ファイナルファンタジーXII,ふぁいなるふぁんたじー12,FINAL FANTASY XII
ファイナルファンタジー・クリスタルクロニクル - はてなき空の向こうに -,ふぁいなるふぁんたじー くりすたるくろにくる はてなきそらのむこうに,FINAL FANTASY CRYSTAL CHRONICLES hatenaki sora no mukouni
ファイブ,Five,
ファイブスター物語(ストーリーズ),ふぁいぶすたーすとーりーず,Five Star Stories
ファイ・ブレイン 最期のパズル,ふぁいぶれいん さいごのぱずる,Phi Brain: Saigo no puzzle
ファイアーエムブレム 聖戦の系譜 藤森ナッツ版,ふぁいやーえむぶれむ せいせんのけいふ,Fire Emblem The Genealogy Of Holly War (Fujimori Nuts ver)
ファイヤー・ガール,Fire girl,
fine.,ふぁいん,Fine.
ファインダー―京都女学院物語―,ふぁいんだー きょうとじょがくいんものがたり,Finder
ファウスト (手塚治虫版),Faust: Ver Osamu Teduka,
ふぁうるちっぷ,Faultip,
FACTORY Z,ふぁくとりーぜっと,FACTRY Z
ファッションリーダー今井正太郎,ふぁっしょんりーだー いまいしょうたろう,Fashion leader Shotaro Imai
ふぁにぃみゅうじあむ,Funny Museum,
ファミ拳リュウ,ふぁみけんりゅう,FAMI KEN RYU
ファミ魂ウルフ,ふぁみこんうるふ,Famikon Wolf
ファミコンCAP,ふぁみこんきゃっぷ,FAMICOM CAP
ファミコン少年団,ふぁみこんしょうねんだん,Famicom shounendan
ファミコン風雲児,ふぁみこんふううんじ,FAMICOM ADVENTURER
ファミコンランナー 高橋名人物語,ふぁみこんらんなー たかはしめいじんものがたり,Famicom runner Takahashi meijin mongatari
ファミコンロッキー,Famicom rocky,
ファミリー!,Family,
F.COMPO(ファミリー・コンポ),ふぁみりーこんぽ,Family Compo
ふぁみりーちゃんねる,Family channel,
ファミレス戦士プリン,ふぁみれすせんしぷりん,Family Restaurant Fighter Purin
二軍(ファーム)昆虫記,ふぁーむこんちゅうき,Second team insect Symbol
ファラ夫,ふぁらお,Pharao
ファラオの墓,ふぁらおのはか,The Pyramid of Pharaoh
ファルコン50,ふぁるこん50,FALCON 50
ファンキー・モンキー・ティーチャー,Funky Monkey Teacher,
ファンシーGUYきゃとらん,ふぁんしーがいきゃとらん,Fancy Guy Kyatoran
ファンシー雑技団,ふぁんしーざつぎだん,Fancy Zatsugidan
FANTA&SWEAT,ふぁんたあんどすうぇっと,FANTA&amp;SWEAT
ふぁんたじあ,Fantasia,
ファンタジスタ,Fantasista,
ファンタジスタ ステラ,FANTASISTA STELLA,
FM戦士SUMOキッズ,ふぁんたじーもでるふぁいたーすもーきっず,Fantasy Model Fighter SUMO Kids
ファンタスティカ,Fantastica,
FANTASMA (ファンタズマ),ふぁんたずま,FANTASMA
ファンテール,Fan tail,
ファントム!,Phantom!,
ファントムウィザード,PHANTOM WIZARD,
PHANTOM DEAD OR ALIVE(ファントム デッド オア アライブ),ふぁんとむ でっと おあ あらいぶ,PHANTOM DEAD OR ALIVE
ファントム無頼,ふぁんとむぶらい,Phantom Burai
ファントム零,ふぁんとむれい,Phantom Rei
funfun工房,ふぁんふぁんふぁくとりー,Fun Fun Factory
ファンブル5,ふぁんぶるふぁいぶ,Fumble Five
ぷあぷあ?,Puapua?,
プアプアLIPS,ぷあぷありっぷす,Poor poor lips
不安ガール,ふあんがーる,Fuan Girl
不安の種(不安の種+),ふあんのたね,Fuan no tame
VS.アゲイン,ぶいえすあげいん,Vs Again
VF〜アウトサイダーヒストリー〜,ぶいえふ あうとさいだーひすとりー,VF OUTSIDER HISTORY
