title,title_furigana,title_en
伊-58浮上せり,い58ふじょうせり,I58 Fujyoseri
いい電子,いいでんし,Mzusina Takayuki no Iidenshi
許嫁協定,いいなずけきょうてい,Iinazuke kyoutei
いいなり!あいぶれーしょん,Iinari!aibure-syonn,
いいなりゴハン,Iinari gohan,
いいひと。,Iihito,
1122,いいふうふ,Iifuufu
いいゆだね!,Ii yu dane!,
いいよね!米澤先生,いいよねよねざわせんせい,Good Mr.Yonezawa
eensy-weensyモンスター,いぃんしぃうぃんしぃもんすたー,EENSY-WEENSY MONSTER
いいんちょ。,Iincho,
委員長お手をどうぞ,いいんちょうおてをどうぞ,Iinchou Ote o Douzo
イエス,Jesus,
Yesterday、Yes a day,いえすたでいいえすあでい,Yesterday Yes a day
イエスタデイをうたって,Sing Yesterday For Me,
Yes(ハヤトコウジ版),いえすはやとこうじばん,Yes
Yes! プリキュア5,いえす ぷりきゅあ5,Yes! Precure 5
Yes! プリキュア5GoGo!,いえすぷれいきゅあ5 ごーごー,Yes! Precure 5 Go Go!
EX少年漂流,いーえっくすしょうねんひょうりゅう,EX Boy Drift (EX Shonen Hyoryu)
イエロー・ダスト,Yellow dust,
イエロードラゴンがあらわれた!,Yellow Dragon ga Araware ta!,
イエローバックス,Yellow backs,
イオ,IO,
イ・オ・ン,Ion,
異骸ーTHE PLAY DEAD/ALIVEー,いがい,Igai THE PLAY DEAD/ALIVE
異界繁盛記 ひよこや商店,いかいはんじょうきひよこやしょうてん,Ikai hanjou ki hiyoko ya shouten
イガグリくん,Mr.IGAGURI,
伊賀ずきん,いがずきん,Iga-zukin
伊賀の影丸,いがのかげまる,Iga no kagemaru
伊賀野カバ丸,いがのかばまる,Iga no Kabamaru
伊賀野カバ丸外伝,いがのかばまるがいでん,Igano Kabamaru Gaiden
伊賀野こカバ丸,いがのこかばまる,IGANOKOKABAMARU
五十嵐大介作品集 そらトびタマシイ,いがらしだいすけさくひんしゅうそらとびたましい,Soratobi tamashii
Eから弾きな。,いーからひきな,E Kara Hikina
怒りのグルメ,いかりのぐるめ,Gourmet of the anger
イカル,Icare,
イカロスの山,いかろすのやま,Mountain of Ikaros (Ikaros no yama)
いきいきごんぼ(いきいきごんぼZ),Ikiikigonbo,
イキガミ,Ikigami,
生き神のファティマ,いきがみのふぁてぃま,Ikigami no Fatima
異議ガール!,いぎがーる,Igi girl!
いきなり幼なじみ!!,いきなりおさななじみ,Ikinari osananajimi!!
いきなりバックドロップ犬,いきなりばっくどろっぷけん,Ikinari Backdrop Dog
いきなり! フルメタル・パニック!,Ikinari! Full Metal Panic!,
イキモノシステム,Ikimono system,
異形人おに若丸,いぎょうにんおにわかまる,IGYOHNIN ONIWAKAMARU
生きるススメ,いきるすすめ,Ikiru susume
イグアナの娘,いぐあなのむすめ,Iguana no musume
いくさの子 織田三郎信長伝,いくさのこ おださぶろうのぶながでん,Ikusa no Ko: Oda Saburo Nobunaga Den
戦場アニメーション -IKUSABA ANIMATION-,いくさばあにめーしょん,IKUSABA ANIMATION
X-assault -イグザルト-,いぐざると,X-assault
イクシオンサーガ,IXION SAGA,
イグナクロス零号駅,いぐなくろすれいごうえき,IGNAJU CROSS GATES STATION THE No.00
IGNITE WEDGE,いぐにーと うぇっじ,Ignite Wedge
イクミの秘密,いくみのひみつ,Ikumi's secret
イーグル,Eagle: The Making of an Asian-American President,
いけいけ!スワローズ,GOGO SWALLOWS,
いけ!いけ!ぼくらのVガンダム!!,いけいけぼくらのぶいがんだむ,GO! GO! OUR VICTORY-G
行け!稲中卓球部,いけ いなちゅうたっきゅうぶ,Ike! Inachu takkyuubu
イケてる2人,いけてるふたり,Iketeru Futari
いけないナビゲーション,Ikenai navigation,
いけない!ルナ先生,いけないるなせんせい,IKENEILUNASENSEI
行け!!南国アイスホッケー部,いけなんごくあいすほっけーぶ,Ike!! Nangoku Ice Hockey Club
池袋ウエストゲートパーク,いけぶくろうえすとげーとぱーく,Ikebukuro West Gate Park
池袋ウエストゲートパークR,いけぶくろうえすとげーとぱーくあーる,Ikebukuro West Gate Park R
IWGP 電子の星,いけぶくろうえすとげーとぱーく でんしのほし,IWGP Denshi no hoshi
池袋レインボー劇場,いけぶくろれいんぼーげきじょう,Ikebukuro Rainbow Gekijou
いこくい!!,Ikokui,
異国少女とすみれの花束,いこくしょうじょとすみれのはなたば,Ikoku shoujo to sumire no hanataba
異国迷路のクロワーゼ,いこくめいろのくろわーぜ,Ikoku meiro no croisee
イコン,Icon,
いざ!!海高剣道部,いざ うみこうけんどうぶ,Iza!!Umikou Kendoubu
イサック,Issak,
ISABU,いさぶ,ISABU
いしいひさいちの大政界,いしいひさいちのだいせいかい,Gavamentworld Of Hisaitiishhi
石田とあさくら,いしだとあさくら,ISHIDA to ASAKURA
化石の記憶,いしのきおく,Ishi no Kioku
石の花,いしのはな,Ishi No Hana
いじめてくん,IJIMETEKUN,
医者を見たら死神と思え,いしゃをみたらしにがみとおもえ,Isha wo Mitara Shinigami to Omoe
異常者の愛,いじょうしゃのあい,Ijousha no ai
遺書、公開。,いしょ こうかい,Isho Koukai
イジらないで、長瀞さん,いじらないでながとろさん,Ijiranaide Nagatorosan
いじわるばあさん,Granny Mischief,
偉人ゲーム,いじんげーむ,Great Man Game
