title,title_furigana,title_en
がぁ〜でぃあんHearts,がぁーでぃあんはーつ,Guardian Hearts
怪異いかさま博覧亭,かいいいかさまはくらんてい,Kaii Ikasama Hakurantei
開運貴婦人マダムパープル,かいうんきふじんまだむぱーぷる,Kaiun kifujin madam purple
海皇紀,かいおうき,Kaiouki
海王ダンテ,かいおうだんて,Dante ocean king
開花のススメ,かいかのすすめ,Kaika no Susume
快感フレーズ,かいかんふれーず,Kaikan fureezu
怪奇警察サイポリス,かいきけいさつさいぽりす,Psy-Police
海帰線,かいきせん,Kaikisen
怪奇千万!十五郎,かいきせんばん じゅうごろう,Various -- mysterious!Jyugoro
怪奇大作戦(影丸穣也・中城けんたろう版),かいきだいさくせん かげまるじょうや なかじょうけんたろうばん,Kaiki daisakusen (Kagemaru Jouya
怪奇大作戦(桑田次郎版),かいきだいさくせん くわたじろうばん,Kaiki daisakusen (Kuwata Jirou)
怪奇大爆ショー,かいきだいばくしょー,Kaiki daibaku show
怪奇人形館,かいきにんぎょうかん,Kaikiningyoukan
怪奇まんだら,かいきまんだら,Kaiki Mandara
怪奇ロマネスク劇画 スカルマン THE SKULL MAN,かいきろまねすくげきが すかるまん,THE SKULL MAN
会計チーフはゆーうつ,かいけいちーふはゆーうつ,Kaikei chief wa yuuutsu
海傑エルマロ,かいけつえるまろ,Plrates el-ma lo
解決!!クエスチョンマンくん,かいけつ くえすちょんまんくん,Kaiketu Mr.Kuesutyon
快傑蒸気探偵団,かいけつじょうきたんていだん,Kaiketsu Jyouki Tanteidan
かいけつゾロリ,Kaiketsu Zorori,
快傑ハリマオ,かいけつはりまお,Kaiketsu Harimao
快傑ライオン丸(一峰大二版・冒険王連載),かいけつらいおんまる かずみねだいじばん ぼうけんおうれんさい,Kaiketsu Lion-Maru Kazumine Daiji Version
鎧光赫赫,がいこうかっかく,Gaikoukakkaku
カイジ,Kaiji,
かいしゃいんのメロディー,Office worker's Melody,
ガイシューイッショク!,Gaishu Isshoku,
怪獣王ゴジラ,かいじゅうおうごじら,KaijuuouGODZILLA
怪獣王子(園田光慶版),かいじゅうおうじ そのだみつよしばん,Kaijuu ouji (Sonoda Mitsuyoshi)
海獣の子供,かいじゅうのこども,Children of the Sea (Kaijuu no Kodomo)
怪獣の飼育委員,かいじゅうのしいくいいん,Kaijuu no shiiku iin
海商王,かいしょうおう,Kaishouou
解錠ジャンキーロック,かいじょうじゃんきーろっく,Kaijou Junkie Rock
街刃〜GAIJIN〜,がいじん,GAIJIN
海人ゴンズイ,かいじんごんずい,The Seaman Gonzui
怪人同盟,かいじんどうめい,Kaijin doumei
ガイスターバーン,GEISTER BAHN,
ガイストクラッシャー,Gaist Crusher,
KAIZER SPIKE (カイゼルスパイク),かいぜるすぱいく,Kaizer Spike
改造人間ロギイ,かいぞうにんげんろぎい,Remodeling human Rogii
快僧のざらし,かいそうのざらし,Kaisounozarasi
海賊とよばれた男,かいぞくとよばれたおとこ,Kaizoku to Yobareta Otoko
怪体真書0,かいたいしんしょぜろ,Kaitai Shinsho Zero
開田さんの怪談,かいださんのかいだん,Kaida San No Kaidan
怪談と踊ろう、そしてあなたは階段で踊る,かいだんとおどろうそしてあなたはかいだんでおどる,"Kaidan to odorou, Soshite anata wa kaidan de odoru"
カイチュー!,Kaichu!,
害虫女子コスモポリタン,がいちゅうじょしこすもぽりたん,Gaiety Jyoti Cosmo Puritan
かいちょー☆,かいちょー,She is a student council president (Kaichoo)
会長はメイド様!,かいちょうはめいどさま,Kaichou wa Maid sama
海底人8823,かいていじんはやぶさ,Kaiteijin 8823
海底人類アンチョビー,かいていじんるいあんちょびー,KAITEIJINRUIANTYOBEE
海底戦隊,かいていせんたい,Kaitei Sentai
海底大戦争,かいていだいせんそう,DEEPSEAWARS
カイテンワン,Kaiten One,
怪盗アマリリス,かいとうあまりりす,Kaitou Amalilis
怪盗ジョーカー,かいとうじょーかー,Joker the phantom thief
怪盗セイント・テール,かいとうせいんとてーる,Saint Tail
快盗天使ツインエンジェルさん!,かいとうついんえんじぇるさん,Kaitou tenshi Twin angel san
怪盗ピッカマン,かいとうぴっかまん,KAITOHPIKKAMAN
怪盗ルヴァン,かいとうるばん,Kaitou Le Vin
怪盗ルパン伝 アバンチュリエ,かいとうるぱんでん あばんちゅりえ,A STORY OF ARSENE LUPIN AVENTuRiER
怪盗ロワイヤル〜ロザルタの秘宝を追え!!〜,かいとうろわいやる ろざるたのひほうをおえ,Bandit Nation: Rozaruta no Hihou o Oe!! (Kaitou Royal)
KITE LIBERATOR,かいとりべれいたー,KITE LIBERATOR
腕 -駿河城御前試合-,かいな するがじょうごぜんじあい,Kaina Surugajo Gozenjiai
カイの旅立ち,かいのたびだち,Kai no tabidachi
怪物王女,かいぶつおうじょ,Princess Resurrection(Kaibutsu Oujo)
怪物王女ナイトメア,かいぶつおうじょ ないとめあ,PRINCESS RESURRECTION NIGHTMARE
怪物くん,かいぶつくん,Kaibutsu-kun
回螺,かいら,Kaira
カイン,Kain,
ガウガウわー太,がうがうわーた,Gau Gau Waata
ガウガウわー太2,がうがうわーたつー,Gau Gau Waata 2
ガウちゃんといっしょ,Wish Gaucyan,
カウボーイビバップ,COWBOY BEBOP,
ガウリンガール,Gaurin Girl,
カウンタック,Countach,
カウントラブル,Kauntoraburu,
帰ってきたウルトラマン(内山まもる版),かえってきたうるとらまん うちやままもるばん,Kaettekita Ultraman
