title,title_furigana,title_en
K,けい,K
けいおん!,K-On! (Keion),
けいおん! college,けいおんかれっじ,K-on! college
けいおん! highschool,けいおん はいすくーる,K-on highschool
ケイくんとアヤメさんがルームシェア,Kei-kun to Ayame-san ga roomshare,
警察犬キンゾー,けいさつけんきんぞー,Keisatsuken Kinzoh
警察犬物語,けいさつけんものがたり,Police Dog Story
警察署長,けいさつしょちょう,Chief of police (Keisatsu shochou)
けいさつのおにーさん,Keisatsu no oniisan,
警視正 椎名啓介,けいしせいしいなけいすけ,Keisisei Keisuke Shiina
警視正大門寺さくら子,けいしせいだいもんじさくらこ,Sakurako Daimonji's Story
警視総監アサミ,けいしそうかんあさみ,Keishisoukan Asami
警死庁24時,けいしちょうにじゅうよじ,Keishichou 24hours.
刑事ゆがみ,けいじゆがみ,Detective Yugami
競女!!!!!!!!,けいじょ,Keijo!!!!!!!!
K ストレイ・ドッグ・ストーリー,けい すとれいどっぐすとーりー,K Stray Dog Story
蛍雪時代,けいせつじだい,The diligent study era
ケイゾク/漫画,けいぞく まんが,Keizoku Manga
携帯電獣テレファング,けいたいでんじゅうてれふぁんぐ,Keitai Denju Telefang
芸能すまいる日和,げいのうすまいるびより,Geinou Smile Biyori
刑務所の中,けいむしょのなか,Inside in prison
刑務所の前,けいむしょのまえ,Keimusho no mae
ゲイン,Gain,
K.O.,けーおー,KO
KOF 炎の不条理劇場,けーおーえふ ほのおのふじょうりげきじょう,KOF honoo no fujouri gekijou
KOFぽよよ〜ん大作戦 〜幸せになれるまで〜,けーおーえふ ぽよよーんだいさくせん,KOF poyoyoon daisakusen
劇画オバQ,げきがおばきゅう,Gekiga obaQ
劇画古事記-神々の物語,げきがこじき かみがみのものがたり,Gekiga Kojiki - The story of the gods
劇画 ゴルバチョフ,げきが ごるばちょふ,GORBACHEV
劇画近藤勇-星をつかみそこねる男-,げきがこんどういさみ ほしをつかみそこねるおとこ,Gekiga Isami Kondo
劇画 小説吉田学校,げきがしょうせつよしだがっこう,Comic story Yoshida school ( Gekiga Shosetsu Yoshida gakkou )
劇画 東欧の反乱,げきが とうおうのはんらん,Gekiga: Touou no hanran
劇画ヒトラー,げきがひとらー,Gekiga Hitler
劇画 プロレス地獄変,げきがぷろれすじごくへん,Gekiga Professional Wrestling jigokuhen
劇画 毛沢東伝,げきがもうたくとうでん,Gekiga Mao Zedong den
激辛お嬢さまは自分を罰したい,げきからおじょうさまはじぶんをばっしたい,Gekikara Ojousama ha Jibun wo basshitai
ゲキカラ文化交流,げきからぶんかこうりゅう,Gekikara bunka kouryuu
激!!極虎一家,げき ごくとらいっか,Geki!! Gokutora Family
劇場版 仮面ライダーヒビキと七人の戦鬼,げきじょうばん かめんらいだーひびきとしちにんのせんき,Gekijouban Kamen rider hibiki to shichi nin no senki
劇場版ポケットモンスター キミにきめた!,げきじょうばんぽけっともんすたー きみにきめた,Gekijouban Pokemon Kimi ni kimeta
