title,title_furigana,title_en
GEAR戦士電童,ぎあふぁいたーでんどう,GEAR FIGHTER DENDOH
キイチ DA GOAL!!!,きいちだごーる,KIICHI DA GOAL!!!
黄色い零戦―イエロー・ファイター,きいろいぜろせんいえろーふぁいたー,Yellow Zerofighter
黄色い手袋X,きいろいてぶくろえっくす,Kiiroi tebukuro X
黄色い本,きいろいほん,A yellow book
消え行く少女,きえゆくしょうじょ,KIEYUKUSHOUJO
記憶鮮明,きおくせんめい,The memory is clear
機械仕掛けのメルディーナ,きかいじかけのめるでぃーな,Kikai Jikake no Meldeena
機械戦士ギルファー,きかいせんしぎるふぁー,Mechanical fighter Gilfar
キカイダー02,きかいだー02,Kikaider 02
キカイ探偵,きかいたんてい,Kikai Tantei
機械人形ナナミちゃん,きかいにんぎょうななみちゃん,Mechanized doll Nanami
奇怪噺 花咲一休,きかいばなし はなさかいっきゅう,Kikaibanashi Hanasaka Ikkyuu
機械惑星ガラクタニア,きかいわくせい がらくたにあ,Garakutania
キガタガキタ! 〜「恐怖新聞」より〜,きがたがきた きょうふしんぶんより,Kigataga kita
GIGANT,ぎがんと,Gigant
ギガントマキア,Gigantomakhia,
喜喜(宇仁田ゆみ作品集),きき,Kiki
企業戦士YAMAZAKI,きぎょうせんしやまざき,Business Commando Yamazaki
企業の犬,きぎょうのいぬ,Kigyou No Inu
キク,KIKU,
KIG⊃R∩MI-キグルミ-,きぐるみ,Kigurumi
きぐるめくるみ,Kigurume kurumi,
喜劇新思想大系,きげきしんしそうたいけい,Kigeki Shin Shiso Taikei
鬼哭忍伝霊牙,きこくにんでんれいが,Kikoku Ninden Reiga
きこちゃんすまいる,Ms.Kiko's smile,
木崎少年のほろにが喫茶巡礼,きざきしょうねんのほろにがきっさじゅんれい,Kizaki Shounen no Horoniga Kissa Junrei
きしとおひめさま,Kishi to Ohimesama,
岸辺露伴は動かない,きしべろはんはうごかない,Kishibe Rohan wa Ugokanai
岸辺露伴 ルーヴルへ行く,きしべろはん るーぶるへいく,Rohan au Louvre
木島日記,きじまにっき,Kijima's Diary
KEY JACK,きーじゃっく,Key Jack
機獣新世紀・ZOIDS(ゾイド),きじゅうしんせいきぞいど,Zoids Chaotic Century
寄宿学校のジュリエット,きしゅくがっこうのじゅりえっと,Kishuku Gakkou no Juliet
騎乗戦士モクバさん,きじょうせんしもくばさん,Kijou Senshi Mokuba san
奇笑天傑物語,きしょうてんけつものがたり,Kishou Tenketsu Monogatari
偽書ゲッターロボ ダークネス,ぎしょげったーろぼ だーくねす,Gisho Getter Robo Darkness
岸和田博士の科学的愛情,きしわだはかせのかがくてきあいじょう,Dr. Kishiwada's Scientific Affection
鬼神童子ZENKI,きしんどうじぜんき,Kishindouji Zenki
機神兵団,きしんへいだん,Kishin Corps
機神咆吼デモンベイン (漫画版),きしんほうこうでもんべいん,Kishin Houkou DemonBane
キス,Kiss,
キスアンドクライ,Kiss and Cry,
キス&ネバークライ,きすあんどねばーくらい,Kiss &amp; Never Cry
傷追い人,きずおいびと,The white heared devil
キス・キス,Kiss kiss,
KISS 狂人、空を飛ぶ,きす きょうじんそらをとぶ,KISS Madman fly in the sky
キス☆クラ,きすくら,KISS&amp;CRY!
kiss×sis,きすしす,Kiss sis
KISSして超能力少女,きすしてえすぱーがーる,"Kiss me,esper girl"
キス、絶交、キス,きす ぜっこう きす ぼくらのばあい,Kiss and break and kiss main
傷だらけの悪魔,きずだらけのあくま,Kizudarake no Akuma
傷だらけの仁清,きずだらけのじんせい,Kizudarake No Jinsei
KISS×DEATH,きすです,KISS DEATH
ギース・ハワード外伝,ぎーすはわーど がいでん,Geese Howard Gaiden
キスメグルセカイ,Kiss meguru sekai,
寄生獣,きせいじゅう,Parasite - Kiseiju -
奇蹟の犬,きせきのいぬ,Kiseki no Inu
奇跡の少年,きせきのしょうねん,A miraculous boy
奇跡のヒト,きせきのひと,KISEKINOHITO
偽装男子,ぎそうだんし,Gisou Danshi
奇相天覚,きそうてんかく,Kisoutenkaku
帰宅部活動記録,きたくぶかつどうきろく,Kitakubu Katudo Kiroku
ギタ×マン!,ぎたまん,Guitar meets manga! (Gitaman!)
来るべき世界,きたるべきせかい,Welcome to the world
キーチ!!,Kiichi!!,
ギチギチくん,Gichigichi kun,
鬼畜島,きちくじま,Kichikujima
鬼畜の菊池くん,きちくのきくちくん,Kichiku no Kikuchi kun
キーチVS,きーちばーさす,Kiichi VS
きーちゃん先生の事情,きーちゃんせんせいのじじょう,KicyanSensei no jijou
きちんと軍配!,きちんとぐんばい,KichintoGunbai!
キッカイくん,Kikkai kun,
K.O.SEN,きっく あうと せん,K.O.SEN
キックオフ,KICK OFF,
キック・ザ・ちゅう,KICK THE CHU,
キックスメガミックス,Kicks megamix,
キックのお姉さん,きっくのおねえさん,Kikku No Oneesan
蹴撃手マモル(キックボクサーマモル),きっくぼくさーまもる,Kick boxer Mamoru
