title,title_furigana,title_en
小悪魔王伝 戦コレ!,こあくまおうでん せんこれ,Koakumaouden SENGOKU COLLECTION!
小悪魔さん,こあくまさん,Koakumasan
GO AHEAD,ごー あへっど,GO AHEAD
GO ANd GO (ゴーアンゴー),ごーあんごー,GO ANd GO
恋ヶ窪プリンセスハニー,こいがくぼぷりんせすはにー,Koigakubo princess honey
恋ヶ窪☆ワークス,こいがくぼわーくす,Koigakubo works
恋風,こいかぜ,Koi Kaze
こいきな奴ら,こいきなやつら,Koiki na Yatsura
御意見無用っ!!,ごいけんむようっ,Goiken Muyou!!
こいこい7,こいこいせぶん,Koi Koi Seven
恋子の毎日,こいこのまいにち,Everyday Of Koiko
恋してフローズン,こいしてふろーずん,KOISHITE FROZEN
恋するエジソン,こいするえじそん,Koi suru Edison
恋する水族マン,こいするすいぞくまん,Koisuru suizoku man
恋するプリン!,こいするぷりん,Koisuru Purin
恋するみちるお嬢様,こいするみちるおじょうさま,Koisuru Michiru Ojousama
恋せよキモノ乙女,こいせよきものおとめ,Koi seyo Kimono Otome
恋染紅葉,こいそめもみじ,Koisome Momiji
こいつら100%伝説,こいつらひゃくぱーせんとでんせつ,Koitsura 100 percent densetsu
恋と嘘,こいとうそ,Koi to uso
恋と選挙とチョコレート,こいとせんきょとちょこれーと,"Love, election &amp; chocolate"
恋と選挙とチョコレートSLC,こいとせんきょとちょこれーと えすえるしー,"Love, elections &amp; chocolate"
恋なんかはじまらない,こいなんかはじまらない,Not start love
恋に恋するユカリちゃん,こいにこいするゆかりちゃん,Koi ni koi suru Yukari chan
コイネコ,Koineko,
恋の神様 古味直志短編集,こいのかみさま こみなおし たんぺんしゅう,Koi no kamisama Komi Naoshi Tanpenshuu
恋の奇跡,こいのきせき,Koi no kiseki
恋のキューピッド 焼野原塵,こいのきゅーぴっど やけのはらじん,The cupid of love Yakenohara Jin
恋のたまご,こいのたまご,Koi no tamago
恋のツキ,こいのつき,Koi no tsuki
恋の罪 -エルネスティナ-,こいのつみえるねすてぃな,Koi No Tsumi Erunesuthina
恋の門,こいのもん,KOI NO MON
恋は雨上がりのように,こいはあめあがりのように,Koi ha ameagari no youni
恋は地獄車,こいはじごくぐるま,Koi wa Jigokuguruma
恋はジャスミン,こいはじゃすみん,Koi wa Jasmine
コイバナ〜恋せよ花火〜,こいばな こいせよはなび,Koi bana
恋はネタ作りの後で,こいはねたづくりのあとで,Koi ha netadukuri no atode
恋は光,こいはひかり,Koi wa hikari
恋人のいる街,こいびとのいるまち,Koibito no iru machi
恋人プレイ,こいびとぷれい,Koibito Play
恋文日和,こいぶみびより,Koibumi biyori
恋文-山本崇一朗短編集-,こいぶみ やまもとそういちろうたんぺんしゅう,Koibumi
コインランドリーの女,こいんらんどりーのおんな,Coin laundry no onna
後遺症ラジオ,こういしょうらじお,Kouishou Radio
項羽と劉邦 (久松文雄版),こううとりゅうほう ひさまつふみおばん,Kou to Ryuho: by Hisamatsu Fumio
項羽と劉邦 -若き獅子たち-,こううとりゅうほうわかきししたち,Kou and Ryuhou
こううんりゅうすい 徐福,こううんりゅうすい じょふく,Kouun Ryuusui Jofuku
GO WEST!,ごーうえすと,GO WEST
航海王子の優雅な船旅,こうかいおうじのゆうがなふなたび,Koukai ouji no yuuga na funatabi
豪快野球坊ベスボル,ごうかいやきゅうぼうべすぼる,Goukai Yakyuubou Besuboru
甲殻機神ヤドカリくん(貝造戦士ヤドカリくん),こうかくきしんやどかりくん,Koukaku kishin Yadokari kun (Kaizou senshi Yadokari kun)
攻殻機動隊,こうかくきどうたい,GHOST IN THE SHELL
攻殻機動隊ARISE 眠らない眼の男 Sleepless Eye,こうかくきどうたいあらいず ねむらないめのおとこ すりーぷれすあい,Ghost in the Shell ARISE Sleepless Eye
攻殻機動隊 STAND ALONE COMPLEX,こうかくきどうたい すたんどあろーんこんぷれっくす,Ghost in the shell STAND ALONE COMPLEX
紅殻のパンドラ,こうかくのぱんどら,Koukaku no pandora
劫火の教典,ごうかのきょうてん,Holy Scripture of the world destroying conflagration.
こうかふこうか,Kou ka fukou ka,
漢書 -沙流譚-,こうがものがたりさるたん,SARUTAN
高機動無職ニーテンベルグ,こうきどうむしょくにーてんべるぐ,High mobility unemployed Nitenberg
剛球少女,ごうきゅうしょうじょ,Goukyu Shoujo
剛Q超児イッキマン,ごうきゅうちょうじいっきまん,Goukyu Choji Ikkiman ( Go-Q-Choji Ikkiman)
工業哀歌バレーボーイズ,こうぎょうあいかばれーぼーいず,Kogyoaika Volley Boys
交響詩篇エウレカセブン,こうきょうしへんえうれかせぶん,Koukyou Shihen Eureka Seven
高校アフロ田中,こうくあふろたなか,Highschool Afro-Tanaka
攻撃目標モンタナ,こうげきもくひょうもんたな,The Anthology of Imperial Japanese Navy
豪血寺一族,ごうけつじいちぞく,GOHKETSJIICHIZOKU
豪血寺一族2,ごうけつじいちぞく2,GOKETUJIITIZOKU2
公権力横領捜査官 中坊林太郎,こうけんりょくおうりょうそうさかんなかぼうりんたろう,The Public Power Misappropriation Investigator Nakabou Rintarou
高校球児ザワさん,こうこうきゅうじざわさん,KouKou Kyuji Zawa-san
高校男子-BOYS-,こうこうだんし ぼーいず,Koukou danshi BOYS
高校鉄拳伝タフ,こうこうてっけんでんたふ,HIGH SCHOOL EXCITING STORY :TOUGH
高校デビュー,こうこうでびゅー,High School Debut(Koukou Debyu-)
高校天使,こうこうてんし,Koukou tenshi
高校の人達,こうこうのひとたち,The People of High school.
GO!GO!爆走ハイスクール,ごうごうばくそうはいすくーる,Go! Go! Burning Run High school
皇国の守護者,こうこくのしゅごしゃ,Tutelary of imperial country (Koukoku-no-syugosya)
皇国の緋色,こうこくのひいろ,Koukoku no hiiro
孔子暗黒伝,こうしあんこくでん,Koushi Ankokuden
甲子園の空に笑え!,こうしえんのそらにわらえ,Koshien no sora ni warae
甲子園へ行こう!,こうしえんへいこう,Koushien e ikou
校舎のうらには天使が埋められている,こうしゃのうらにはてんしがうめられている,Kousha no Ura niwa Tenshi ga Umerarete Iru
校舎の天では悪魔が嗤っている,こうしゃのそらではあくまがわらっている,Kousha no Sora deha Akuma ga Waratteiru
好色哀歌 元バレーボーイズ,こうしょくあいか もとばれーぼーいず,Koushoku Aika Moto Volley Boys
光路郎,こうじろう,Koujirou
