title,title_furigana,title_en
Q[クー],くー,Q
クアドリガ 徳川四天王,くあどりが とくがわしてんのう,Quadriga Tokugawa shitennou
喰いしん坊,くいしんぼう,Kuishinbou
喰いタン,くいたん,Kuitan
クイーンエメラルダス,QUEENEMELARUDUS,
クイーン・オブ・サーカスの猫,くいーんおぶさーかすのねこ,Queen of Circus no neko
グイン・サーガ,GUIN SAGA,
グイン・サーガ -七人の魔道師-,ぐいんさーが しちにんのまどうし,GUIN SAGA: Seven Ma
クイーンズブレイド ストラグル,Queen's Blade Struggle,
クイーンズブレイド -Hide&Seek-,くいーんずぶれいど はいどあんどしーく,Queen's Blade-Hide&amp;Seek-
クイーンズブレイド リベリオン 青嵐の姫騎士,くいーんずぶれいど りべりおん あおあらしのひめきし,Queen's Blade Rebellion Aoarashi no Himekishi
クイーンズブレイド 流浪の戦士,くいーんずぶれいど るろうなのせんし,Queen's Blade Wandering Warriors
クインティ,Quinty,
クイーンビー,Queen Bee,
クイーンフェニックス,Queen Phenix,
空海 -KU-KAI- 美しき王妃の謎,くうかい うつくしきおうひのなぞ,KUKAI Utsukushiki Ouhi no nazo
空間凶機デバステイター,くうかんきょうきでばすていたー,Kukan Kyoki DEVASTATOR
空気の底,くうきのそこ,Kuuki no soko
空想科学エジソン,くうそうかがくえじそん,Pataphysics Edison
空想科学X,くうそうかがくえっくす,Kuusou kagaku X
空想科学大戦,くうそうかがくたいせん,The great dream science war
空想画廊,くうそうがろう,Art gallery of imagination
空想亭こばなし,くうそうていこばなし,Kuusoutei Kobanashi
空想郵便局,くうそうゆうびんきょく,Kuusou Yuubinkyoku
空談師,くうだんし,Kudanshi
空中庭園の人々,くうちゅうていえんのひとびと,Kuucyuu Teien no hitobito
空挺ドラゴンズ,くうていどらごんず,Kuutei Doragonzu
空電ノイズの姫君,くうでんおいずのひめぎみ,Rocky Princess
喰う寝るふたり住むふたり,くうねるふたりすむふたり,Kuu Neru Futari Sumu Futari
空母いぶき,くうぼ いぶき,KUUBO IBUKI
空也上人がいた,くうやしょうにんがいた,Kuya shounin ga ita
くおん・・・,Kuon,
九月十月,くがつじゅうがつ,September October
クギ子ちゃん,くぎこちゃん,Kugikochan
釘師サブやん,くぎしさぶやん,Kugishi sabuyan
GU-GUガンモ(グーグーガンモ),ぐーぐーがんも,GU-GU Ganmo
繰繰れ!コックリさん,ぐぐれ こっくりさん,Gugure!Kokkurisan
草壁署迷宮課おみやさん,くさかべしょめいきゅうかおみやさん,Kusakabesho Meikyuuka Omiyasan
腐った教師の方程式,くさったきょうしのほうていしき,Kusatta Kyousi No Houteisiki
くじびきアンバランス,Kujibiki Unbalance,
孔雀王,くじゃくおう,Kuzyaku ou
孔雀貝(みどりの真珠),くじゃくがいみどりのしんじゅ,Kujakugai midori no sinju
くじらジュブナイル,Kujira Juvenile,
くじらの親子,くじらのおやこ,Kuzira No Oyako (Parent And Child Of A Whale)
くじら日和,くじらびより,Hoeel days
クズの本懐,くずのほんかい,Kuzu no honkai
久住くん、空気読めてますか?,くずみくんくうきよめてますか,Kuzumi kun kuuki yomete masuka
葛本さんちの四兄弟,くずもとさんちのよんきょうだい,Kuzumoto san chi no Yon Kyodai (4 brothers of Kuzumoto family)
くすりのマジョラム,Kusuri no Majoramu,
グズ六行進曲,ぐずろくこうしんきょく,GUZUROKU March
クソガキ,KUSOGAKI,
クソババァに花束を!!,くそばばあにはなたばを,Kusobabaa Ni Hanataba Wo
くそまん〜サイテーの漫画短編集〜,くそまんさいてーのまんがたんぺんしゅう,KUSOMAN
くだみみの猫,くだみみのねこ,Kudamimi no neko
くだんからの伝言,くだんからのでんごん,Kudan massage
クダンノゴトシ,Kudan no Gotoshi,
口入屋兇次,くちいれやきょうじ,Kuchiireya Kyouji
くちびるためいきさくらいろ,Kuchibiru Tameiki Sakurairo,
くちびるに歌を,くちびるにうたを,Kuchibiru ni uta o
唇にパンク,くちびるにぱんく,Kuchibiru ni punk
口笛小曲集,くちぶえしょうきょくしゅう,Kuchibue Shoukyokushuu
唇役主丞 乾いて候,くちやくもんど かわいてそうろう,Kawaite sourou
クッキングパパ,Cooking Papa,
クックドッポ,Cook Doppo,
ぐっじょぶ!,Good Job!,
靴ずれ戦線,くつずれせんせん,Kutsuzure sensen
GE〜グッドエンディング〜,ぐっどえんでぃんぐ,GE - Good Ending -
GOOD KISS! Version2.0,ぐっどきずばーじょん2,Goodkissversio2.0
Good night! Angel,ぐっどないとえんじぇる,Good night! Angel
グッドモーニング☆コール,ぐっどもーにんぐこーる,Good morning cole
Good Morning ティーチャー,ぐっどもーにんぐてぃーちゃー,Good morning teacher
クーデタークラブ,Coup d'etat club,
クーデルカ,Koudelka,
クドわふたー,Kudo Wafuter,
クナイ伝,くないでん,Kunai den
国が燃える,くにがもえる,KUNI GA MOERU
國崎出雲の事情,くにさきいずものじじょう,Kunisaki Izumo no jijou
クニミツの政,くにみつのまつり,Kunimitsu no matsuri
くーねるまるた,Kuunerumaruta,
くーねるまるた ぬーぼ,Ku Neru Maruta Novo,
クノイチノイチ!,Kunoiti Inochi,
くのいち生徒会こいき七変化!!,くのいちせいとかいこいきしちへんげ,Kunoichi seitokai koiki shichihenge!!
くノ一ツバキの胸の内,くのいちつばきのむねのうち,Kunoichi Thubaki No Mune No uchi
クノイチノイチ!ノ弐,くのいちのいちのに,Kunoichi no Ichi no Ni
クーの世界,くーのせかい,Coo's world
ぐーぱん!,GU-PAN!,
首斬り朝,くびきりあさ,Kubikiri Asa
くぴっと一杯,くびっといっぱい,Kubitto ippai
クピドの悪戯 「虹玉」,くぴどのいたずら にじだま,Cupid no Itazura: Nijidama
クマクマずんずん,KUMAKUMAZUNZUN,
くましろくろ,Kumashirokuro,
クマ男子,くまだんし,Kuma danshi
くまちゃん,Kuma tyan,
クマトラ,KUMATRA,
熊西美術部らふすけ先輩,くまにしびじゅつびらふすけせんぱい,Kumanishi Bijutsubu Rafusuke Senpai
クマのプー太郎,くまのぷーたろう,Kuma No Putaro
くまみこ,Kumamiko,
グミ・チョコレート・パイン,GUMMI CHOCOLATE PINE,
雲盗り暫平,くもとりざんぺい,KUMOTORIZANPEI
くも漫。,くもまん,Kumoman
クライシスダイバー,Crises Diver,
暗い廊下とうしろの玄関,くらいろうかとうしろのげんかん,Kurai rouka to ushiro no genkan
Cryingフリーマン,くらいんぐふりーまん,Crying Freeman
クラウ ファントムメモリー,KURAU Phantom Memory,
クラウン,Crown,
くらクラ,Kurakura,
くらげ中二,くらげちゅうに,JERRYFISH JUNIORHIGHSCHOOL 2th
