title,title_furigana,title_en
マァチャンの日記帳,まぁちゃんのにっきちょう,Matyan no nikkityo
舞,まい,Mai
マイアニマル,My Animal,
マイアミ☆ガンズ,まいあみがんず,Miami Guns
MIA-雲上のネバーランド-,まい うんじょうねばーらんど,Mia Unjou Neverland
舞-乙HiME,まいおとめ,My-Otome
舞-乙HiME嵐,まいおとめあらし,My-Otome Arashi
マイガール,MY GIRL,
舞妓さんちのまかないさん,まいこさんちのまかないさん,Maikosanchi no Makanaisan
迷子屋,まいごや,Maigoya
毎週火曜はチューズデイ!,まいしゅうかようはちゅーずでい,Maishuu Kayou wa Tuesday!
マイスター,Meister,
まいっちんぐマチコ先生(シリーズ),まいっちんぐまちこせんせい,Maitching Machiko Sensei
マイティジャック,Mighty Jack,
マイティジャック THE SHADOW FORCE,まいてぃじゃっく ざ しゃどーふぉーす,Mighty Jack THE SHADOW FORCE
マイティハート,Mighty Heart,
まいてはいけないローゼンメイデン,Maite wa Ikenai Rozen Maiden,
毎度!浦安鉄筋家族,まいど うらやすてっきんかぞく,Maido!Urayasu Tekkin Kazoku
毎度ラーメン屋です,まいどらーめんやです,MAIDORAMENYADESU
マイナス,Minus,
毎日かあさん,まいにちかあさん,Mainichi Kasan
毎日が新選組!,まいにちがしんせんぐみ,Mainichi ga shinsengumi!
毎日が夏休み,まいにちがなつやすみ,Mainichi ga Natsuyasumi
毎日が日曜日,まいにちがにちようび,Every day is Sunday.
毎日晴天!,まいにちせいてん,Mainiti Seiten!
舞-HiME,まいひめ,My-HiME
舞-HiME戦(EXA),まいひめいくさ,My-Hime EXA
舞姫〜ディーヴァ,まいひめ でぃーば,Maihime Diva
マイペース風太郎,まいぺーすふうたろう,Mypacefutarou
マイペース!ゆず☆らん,まいぺーすゆずらん,My pace! YuzuRan
マイボーイ,My boy,
マイホームみらの,My Home Mirano,
まい・ほーむ,Mai's Home ( Mai Home ),
MYHOMEギジェ,まいほーむぎじぇ,Myhome Gije
マイホームヒーロー,My Home Hero,
マイぼーる!,Mai ball!,
魔入りました!入間くん,まいりましたいりまくん,Mairimashita! Irima-kun
マイルノビッチ,MAIRUNOVICH,
万祝,まいわい,Maiwai
MIND ASSASSIN〜マインド・アサシン〜,まいんどあさしん,Mind Assassin
マインド・ゲーム,Mind game,
MOUSE(マウス),まうす,MOUSE
マウス―アウシュヴィッツを生きのびた父親の物語,まうす あうしゅびっつをいきのびたちちおやのものがたり,Maus: A Survivor's Tale
舞う竜の記憶,まうりゅうのきおく,Memory of the dancing dragon
マウンドの稲妻,まうんどのいなずま,Mound no Inazuma
マウンドの太陽,まうんどのたいよう,Maundo No Taiyou
マウンドファーザー,Mound Father,
マエストロの暇つぶし,まえすとろのひまつぶし,Maestro no Himatsubushi
前田利家,まえだとしいえ,MAEDATOSHIIE
魔王様ちょっとそれとって!!,まおうさまちょっとそれとって,Maho sama Chotto Sore Totte!!
魔王さまのペロペロ計画,まおうさまのぺろぺろけいかく,Maousama no Peropero keikaku
魔王〜JUVENILE REMIX〜,まおう じゅうないるりみっくす,Maoh JUVENILE REMIX
魔王城でおやすみ,まおうじょうでおやすみ,Maojo de Oyasumi
魔王城のお姫様,まおうじょうのおひめさま,Maoujou no ohimesama
魔王遭難中!!!,まおうそうなんちゅう,Maou Sounan Chuu
魔王ダンテ,まおうだんて,Mao Dante
魔王ダンテ対ゲッターロボG,まおうだんてたいげったーろぼじー,Demon Lord Dante VS Getter Robo G
魔王の秘書,まおうのひしょ,Maou no hisho
マオマオ,Mao mao,
まおゆう魔王勇者,まおゆうまおうゆうしゃ,Archenemy and Hero
まおゆう魔王勇者「この我のものとなれ、勇者よ」「断る!」,まおゆうまおうゆうしゃ このわれのものとなれ ゆうしゃよ ことわる,"Archenemy and Hero ''Kono ware no mono to nare, Yuusha yo'' ''Kotowaru!''"
まおゆう4コマ「向いてませんよ、魔王様」,まおゆうよんこま むいてませんよまおうさま,Maoyuu 4koma ''Muitemasenyo Maou-sama''
魔海,まかい,Makai
魔界医師メフィスト,まかいいしめふぃすと,Makai ishi Mephisto
魔界王子 devils and realist,まかいおうじ でびりず あんど りありすと,Makai ouji devils and realist
魔界学園,まかいがくえん,Makai Gakuen
魔界衆,まかいしゅう,Makaisyu
魔界ゾンべえ,まかいぞんべえ,MAKAI ZONBEH
魔界都市〈新宿〉,まかいとししんじゅく,Makai toshi Shinjuku
魔界都市ハンター,まかいとしはんたー,Makaitosihuntar
魔界のオッサン,まかいのおっさん,Makai no ossan
MMR-マガジンミステリー調査班-,まがじんみすてりーちょうさはん,MMR Magazine Mystery Search group
魔風が吹く,まかぜがふく,Makze Ga fuku
まかせてイルか!,Makasete Iruka!,
まかせてダーリン,Makasete Daling,
まかせてPETくん,まかせてぺっとくん,Makasete PET-kun
まがつき,Magatsuki,
禍霊ドットコム,まがつひどっとこむ,Magatsuhi.com
魔カリキュラム!,まかりきゅらむ,Ma curriculum
魔狩人,まかりゅうど,Demon Hunter
