title,title_furigana,title_en
冥王計画ゼオライマーΩ(オメガ),めいおうけいかくぜおらいまーおめが,Project Zeorymer Omega
冥界だより,めいかいだより,Meikai dayori
冥界人形レヴィ・ドール,めいかいにんぎょうれびどーる,Meikai Ningyou Levi Doll
メイキャッパー,Make-upper,
名球会コミックスシリーズ,めいきゅうかいこみっくすしりーず,Best Baseball players comics
迷宮〜京&一平〜シリーズ,めいきゅう きょうあんどいっぺい しりーず,Labyrinth KYO &amp; IPPEI Series
迷宮魔術団,めいきゅうまじゅつだん,MEIKYUU MAJUTSU DAN
冥宮ミステリーファイルちょっと探偵気分,めいきゅうみすてりーふぁいる ちょっとたんていきぶん,Meikyu Mystery File Chotto Tantei Kibun
冥宮ミステリーファイルVISIONZ,めいきゅうみすてりーふぁいる びじょんず,Meikyu Mystery File VISIONZ
めいぐる,MEIGURU,
明治ハナアリ同盟,めいじはなありどうめい,Meiji hanaari doumei
冥銭のドラグーン,めいせんのどらぐーん,MEISEN NO DRAGOON
迷走王ボーダー,めいそうおうぼーだー,Meisouou Border
迷走乙女日記,めいそうおとめにっき,Meisou otome nikki
迷想区閾,めいそうくいき,Meisou Kuiki
名探偵江戸川乱子,めいたんていえどがわらんこ,Meitantei Edogawa Ranko
名たんていカゲマン,めいたんていかげまん,Meitantei Kageman
名探偵キドリ,めいたんていきどり,Mei Tantei Kidori
名探偵コナン,めいたんていこなん,Detective Conan
名探偵コナン 異次元の狙撃手(スナイパー),めいたんていこなん いじげんのすないぱー,Detective Conan Dimensional Sniper
名探偵コナン 漆黒の追跡者(チェイサー),めいたんていこなん しっこくのちぇいさー,Detective Conan The Raven Chaser
名探偵コナン 純黒の悪夢(ナイトメア),めいたんていこなん じゅんこくのないとめあ,Detective Conan 2016 Junkoku no nightmare
名探偵コナン 世紀末の魔術師,めいたんていこなん せいきまつのまじゅつし,Detective Conan The Last Wizard of the Century
名探偵コナン ゼロの日常(ティータイム),めいたんていこなん ぜろのてぃーたいむ,Detective Conan ZERO's Tea Time
名探偵コナン 天国へのカウントダウン,めいたんていこなん てんごくへのかうんとだうん,Detective Conan Countdown to Heaven
名探偵コナン 特別編,めいたんていこなん とくべつへん,Detective Conan special version
名探偵コナン 時計じかけの摩天楼,めいたんていこなん とけいじかけのまてんろう,Detective Conan The Time-Bombed Skyscraper
名探偵コナン 犯人の犯沢さん,めいたんていこなん はんにんのはんざわさん,Meitantei Conan Hannin no Hanzawa-san
名探偵コナン 迷宮の十字路(クロスロード),めいたんていこなん めいきゅうのくろすろーど,Detective Conan Crossroad in the Ancient Capital
迷探偵史郎シリーズ,めいたんていしろうしりーず,Trouble Detective Shirou Series
名探偵ズッコケ三人組,めいたんていずっこけさんにんぐみ,Meitantei Zukkoke Sanningumi
名探偵部この後すぐ!,めいたんていぶこのあとすぐ,Meitanteibu konoatosugu
名探偵保健室のオバさん,めいたんていほけんしつのおばさん,Meitantei Hokenshitu no Obasan
名探偵マーニー,めいたんていまーにー,Detective Marnie (Meitantei Marnie)
名探偵三毛猫ホームズ,めいたんていみけねこほーむず,Detectibe Cat Holmes ( Mei Tantei Mike-neko Holmes )
名探偵 Mr.カタギリ,めいたんてい みすたーかたぎり,Meitantei Mr.KATAGIRI
名探偵夢水清志郎事件ノート,めいたんていゆめみずきよしろうじけんのーと,Meitantei Yumemizu Kiyoshirou Jiken Note
メイちゃんの執事,めいちゃんのしつじ,A steward to the May
酩酊!怪獣酒場,めいてい かいじゅうさかば,Meitei Kaiju Sakaba
酩酊! 怪獣酒場2nd,めいてい かいじゅうさかば せかんど,Meitei Kaiju Sakaba 2nd
メイデンス・オーダー,Maidens order,
メイド・イン・ハニー,Made in honey,
メイド諸君!,めいどしょくん,Meido Shokun
メイド刑事,めいどでか,Maid Police (Meido Deka)
めいなのフクロウ,Meina With Owl,
メイのないしょ make miracle,めいのないしょ めいくみらくる,May no naisho make miracle
メイプル戦記,めいぷるせんき,Maple Senki
名門!第三野球部,めいもんだいさんやきゅうぶ,Meimon daisan yakyuubu
名門!多古西応援団,めいもんたこにしおうえんだん,Meimon Takonishi Oendan
明稜帝 梧桐勢十郎,めいりょうていごとうせいじゅうろう,Meiryoutei Gotou Seijuurou
メェ〜探偵フワロ,めぇーたんていふわろ,Mee tantei Fuwaro
目隠しの国,めかくしのくに,Blind world
メカ沢くん,めかざわくん,Mekazawakun
めがねーちゃん,Meganeechan,
眼鏡なカノジョ,めがねなかのじょ,Megane Na Kanojo
眼鏡橋華子の見立て,めがねばしはなこのみたて,Meganebashi Hanako No Mitate
女神異聞録ペルソナ,めがみいぶんろくぺるそな,Megami ibunroku Persona (Revelations: Persona)
女神候補生,めがみこうほせい,Candidate for Goddess
女神の鬼,めがみのおに,Megami No Oni
メガミのカゴ,Basket of Goddess (Megami no kago),
女神天国 新女神誕生編,めがみぱらだいす しんめがみたんじょうへん,Megami Tengoku: Shin megami tanjou hen
メガMEGAみーな,めがめがみーな,MEGA MEGA MIINA
めがもの!,Megamono!,
メガロボクス 宿命の双拳,めがろぼくす しゅくめいのそうけん,Megalobox Shukumei no Souken
メガロマニア,Megalomania,
メグミックス,Megumix,
め組の大吾,めぐみのだいご,Megumi no Daigo
メサイア・ナイト天空のエスカフローネ(HITOMI天空のエスカフローネ),めさいあないとてんくうのえすかふろーね ひとみてんくうのえすかふろーね,HITOMI Vision of Escaflowne
めざせ一等賞,めざせいっとうしょう,LETSRANK1
めしあげ!! ~明治陸軍食料物語~,めしあげめいじりくぐんしょくりょうものがたり,Meshiage Meiji Rikugun Shokuryou Monogatari
飯うま探偵うまし!,めしうまたんていうまし,Meshiuma Tantei Umashi
めしにしましょう,Meshi Ni Simashou,
めしぬま。,Meshinuma,
めしねこ 大江戸食楽猫物語,めしねこ おおえどしょくらくねこものがたり,Meshineko Oedoshokurakunekomonogatari
飯盛り侍,めしもりざむらい,Mesimori Samurai
MAJOR (メジャー),めじゃー,MAJOR
MAJOR 2nd,めじゃー せかんど,MAJOR 2nd
救世主ラッキョウ,めしやらっきょう,Messiah Rakkyou
meth・e・meth(メスメス),めすめす,Meth e meth (Mesumesu)
めぞん一刻,めぞんいっこく,Maison Ikkoku
メゾン・ド・ペンギン,Maison de penguin (Mezon do pengin),
メダカの王国,めだかのおうこく,Medaka's Kingdom(Medaka no Oukoku)
めだかボックス,Medaka Box,
メダ子さんの恋スル侵略計画,めだこさんのこいするしんりゃくけいかく,Medako San No Koi Suru Shinryaku Keikaku
メタリカメタルカ,Metallica metaluca,
メタルK,めたるけい,METAL K
メタルファイト ベイブレード,Metal fight Beyblade,
METAL FINISH,めたるふぃにっしゅ,METAL FINISH
メタルブラック,Metal Black,
メダロッターりんたろう(メダロットR),Medaroter Rintaro,
メダロット,Medarot,
メダロット・ナビ,Medarot navi,
滅子に夜露死苦,めつこによろしく,Metsuko Ni Yoroshiku
めっちゃキャン,Meccha Kyan,
メットマン,Metman,
MEDIGIRL,めでぃがーる,Medigirl
メテオド,METEORITE BREED,
メデューサの朝,めでゅーさのあさ,Medusa no Asa
め〜てるの気持ち,めーてるのきもち,Me-teru no kimochi
メトロイド,Metroid,
メトロイド サムス&ジョイ(メトロイド EX),めとろいど さむすあんどじょい,Metroid Samus and Joy
メトロポリス,Metropolis,
瑪瑙之竜,めのうのりゅう,Agate Dragon
目の玉日記,めのたまにっき,Menotama nikki
メビウスギア,Mebius Gear,
MEMESIS -メメシス-,めめしす,Memesis
メメント†モリ,めめんともり,Memento Mori
メモリーグラス,Memory Glass,
メラニックウーマンIONA,めらにっくうーまんいおな,Melanic woman IONA
メラニンボーイ,MELANIN BOY,
メラン・コリー,Melan Collie,
Merry Wind,めりーうぃんど,Merry Wind
メリーちゃんと羊,めりーちゃんとひつじ,Merry&amp;sheep
MAR (メル),める,Marchen Awakens Romance
MARΩ,めるおめが,Marchen Awakens Romance Omega
メルカノ,Meru kano,
MELTY BLOOD,めるてぃぶらっど,MELTY BLOOD
MELTY BLOOD 路地裏ナイトメア,めるてぃぶらっど ろじうらないとめあ,MELTY BLOOD Rojiura Nightmare
メルヘン王子グリム,めるへんおうじぐりむ,Marchen Ouji Grimm
メルモちゃん,Melmo (MERUMO Chan),
女郎〜MELLOW〜,めろう,MELLOW
メロポンだし!,Meropon dashi!,
メロ3!(メロメロメロ!),めろめろめろ,Mero mero mero!
瞳をそらさずにいて,めをそらさずにいて,Look at this
