title,title_furigana,title_en
見上げてごらん,みあげてごらん,Miagetegoran
見上げると君は,みあげるときみは,Miageruto Kimi Ha
ミイラの飼い方,みいらのかいかた,Miira no kaikata
美羽のちょっと怖い話,みうのちょっとこわいはなし,Miu no chotto kowaihanashi
"みうまん ""腐""っても仲村家!!",みうまん くさってもなかむらけ,Miu Man
見栄っぱりシンドローム,みえっぱりしんどろーむ,Mieppari Syndrome
ミエリーノ柏木,みえりーのかしわぎ,MIELINO KASHIWAGI
みえるひと,Mieru Hito (Seeable one),
みおにっき,Mio's diary (Mio nikki),
未確認少年ゲドー,みかくにんしょうねんげどー,Mikakunin shonen gedo
未確認で進行形,みかくにんでしんこうけい,Mikakunin de Shinkoukei
未確認プリンス物体U.P.O,みかくにんぷりんすぶったいゆーぴーおー,Unconfirmed Prince object U.P.O
三日月パン,みかづきぱん,Mikazuki pan
みかにハラスメント,Mika ni Harrusment,
身から出た錆,みからでたさび,Mi kara deta sabi
ミカるんX,みかるんくろす,Mikarun X
三河物語,みかわものがたり,Mikawa monogatari
ミガワリメーカー,Migawari Maker,
みかん絵日記,みかんえにっき,Mikan Enikki
みかん絵日記・特別編,みかんえにっき とくべつへん,Mikan Enikki special story
未完成ピアニスト,みかんせいぴあにすと,Mikansei pianist
未完成ファミリー,みかんせいふぁみりー,Mikansei Family
みきおとミキオ,Mikio and Mikio,
ミキストリ -太陽の死神-,みきすとり たいようのしにがみ,MIKISUTORI
ミキストリⅡ-太陽の死神-,みきすとりつーたいようのしにがみ,MIQUIZTLI 2
ミギとダリ,Migi &amp; Dari,
右向け左!,みぎむけひだり,The left for right!
右向け右!,みぎむけみぎ,Migi muke migi
三鬼本家の食卓,みきもとけのしょくたく,The family affair of MIKIMOTO.
MIXIM☆11 (ミクシム☆イレブン),みくしむいれぶん,MiXiM 11
みくみくパンデミック,Miku Miku Pandemic,
みくもとかさね,Mikumotokasane,
ミクロイドS,みくろいどえす,Microid S
ミクロマン,Microman,
ミケさんは役に立たない!?,みけさんはやくにたたない,Mike-san ha yaku ni tatanai!?
ミコさんは腑に落ちない,みこさんはふにおちない,Miko San Ha Funiotinai
命(MIKOTO),みこと,MIKOTO
命〜紅の守護神〜,みこと くれないのまもりがみ,MIKOTO Vermilion Guardian
みこと日記,みことだいありー,Mikoto Diary
みことの一手!,みことのいって,Mikoto no itte!
ミサイル ハッピー!,Misairu happy,
ミサイルマンマミー,Missileman Mammy,
美咲ヶ丘ite,みさきがおかあいと,Misakigaoka ite
美咲ナンバーワン!!,みさきなんばーわん,Misaki No.1!!
巫鎖呱 MISAKO,みさこ,MISAKO
みしかか!,Mishikaka,
三島凛は信じない,みしまりんはしんじない,Rin Mishima does not believe
ミス愛子,みすあいこ,Miss Aiko
みずいろ,Mizuiro,
水色時代,みずいろじだい,Aqua Age (Mizuiro Jidai)
みずいろミュージアム,Mizuiro museum,
