title,title_furigana,title_en
もういーよ,Mouiiyo,
猛禽ちゃん,もうきんちゃん,Mokin Chan
もう、しませんから。,Mou Shimasen kara,
猛獣性少年少女,もうじゅうせいしょうねんしょうじょ,Moujuuseisyounensyoujo
もうすぐ死ぬひと,もうすぐしぬひと,SEEKING FOR DEATH
もうすこしがんばりましょう,Mou sukoshi ganbari mashou,
もぅスンゴイ!!,Mou Sungoi!!,
妄想高校教員 森下,もうそうこうこうきょういん もりした,Mousou Koukou Kyouin Morishita
妄想少女オタク系,もうそうしょうじょおたくけい,Mousoushoujo Otakukei
妄想少年観測少女,もうそうしょうねんかんそくしょうじょ,Mousoushonenkansokushojo
妄想戦士ヤマモト,もうそうせんしやまもと,Mousou Senshi Yamamoto
妄想トラッカー8823,もうそうとらっかー8823,Moso Trakker 8823
妄想メガネ,もうそうめがね,Mousou megane
もうダメかもしれない,Mou Dame Kamoshirenai,
魍魎戦記MADARA,もうりょうせんきまだら,MOURYOUSENKIMADARA
魍魎戦記MADARA 赤 (LASA),もうりょうせんき まだら らさ,MADARA LASA
魍魎の匣,もうりょうのはこ,Mouryou no hako
魍魎の揺りかご,もうりょうのゆりかご,Mouryo no Yurikago
萌えカレ!!,もえかれ,Moekare!!
もえタイ,Moe tai,
もえちり!,MOECHIRI!,
萌道,もえどう,Moe Dou
燃えもえ,もえもえ,Moemoe
燃えよぺン,もえよぺん,MOEYOPEN
燃える!お兄さん,もえるおにいさん,Moeru! Onisan
燃える!!女子プロレス,もえるじょしぷろれす,Burning!! Woman Professional Wrestling
燃えるV,もえるぶい,BURNING V
もぎたて☆アイドル人間,もぎたて あいどるにんげん,Mogitate Idolningen
もぐささん,Mogusa san,
もぐささんは食欲と闘う,もぐささんはしょくよくとたたかう,Mogusa San Ha Syokuyoku To Tatakau
木星じん〜地球侵略大作戦〜,もくせいじん ちきゅうしんりゃくだいさくせん,Mokuseijin
木造迷宮,もくぞうめいきゅう,MOKUZOU MEIKYUU
もぐっこモグタンVSまじょっ子ソンソン,もぐっこもぐたんたいまじょっこそんそん,MOLEBOYMOGTAN VS WITCHSONSON
木曜日のフルット,もくようびのふるっと,FURUTTO ON THURSDAY
土竜の唄,もぐらのうた,Mogura no uta
モグリ陰陽師SAYMAY,もぐりおんみょうじせいめい,Moguri Onmyouji SAYMAY
喪黒福次郎の仕事,もぐろふくじろうのしごと,Work of moguro fukujiro
模型戦士ガンプラビルダーズA,もけいせんし がんぷらびるだーずえーす,GUNPLA BUILDER A
もここー,MOKO-KOH,
モコと歪んだ殺人鬼ども,もことゆがんださつじんきども,Moko to yuganda Satsujinki Domo
もこもこBOX,もこもこぼっくす,Moko Moko Box
もしかしてKOIBITO,もしかしてこいびと,Moshikashite KOIBITO
もしかしてヴァンプ,Mosikasite Vanpu,
もし高校野球の女子マネージャーがドラッカーの『マネジメント』を読んだら,もしこうこうやきゅうのじょしまねーじゃーがどらっかーのまねじめんとをよんだら,Moshi Koukou Yakyuu no Joshi Manager ga Drucker no Management o Yondara
もしもしぐま,Moshimoshiguma,
モジャ公,もじゃこう,Mojako
もずく、ウォーキング!,"Mozuku,Walking!",
百舌谷さん逆上する,もずやさんぎゃくじょうする,Mozuya san Gyakujou suru
M・S DOLLS,もーそーどーるず,M.S Dolls
モチョミオ!!!,MOCHOMIO!!!,
モーツァルトは子守唄を歌わない,もーつぁるとはこもりうたをうたはない,Not singer song Amadeusu
もっかい!,Mokkai!,
もっけ-勿怪-,もっけ,Mokke
モッコロくん,Mokkoro kun,
もっと!委員長,もっといいんちょう,Motto! Iinchou
もっとGOODキッス!,もっとぐっどきす,Motto Good Kiss
もっと心に星の輝きを,もっとこころにほしのかがやきを,Motto Kokoro ni Hoshi no kagayaki wo
もっと!夫婦な生活,もっとふうふなせいかつ,Motto!Fuufu na seikatsu
モテキ,Moteki,
モテキング!,Moteking!,
モートゥルコマンドーGUY,もーとぅるこまんどーがい,Mortal commando GUY
もどって!まもって!ロリポップ,Modottute! Mamottute! Loli Pop,
本秀康の描く4ページ 4ページマンガ大全1988〜2004,もとひでやすのかく4ぺーじまんがたいぜん1988から2004,Four pages of comics perfection 1988-2004 that Hideyasu Moto draws
本秀康名作劇場,もとひでやすめいさくげきじょう,Hideyasu Moto masterpiece theater
元ヤン,もとやん,Motoyan
モートリ〜妄想の砦〜,もーとり もうそうのとりで,Motori - Moso no Toride
もーにんぐMOON,もーにんぐむーん,Mouning MOON
モーニングを作った漫画たち,もーにんぐをつくったまんがたち,Morning o tsukutta manga tachi
モネさんのマジメすぎるつき合い方,もねさんのまじめすぎるつきあいかた,Monesan No Majime Sugiru Tsukiaikata
物語の中の人,ものがたりのなかのひと,Monogatari no naka no hito
Monochrome Myst,ものくろーむみすと,Monochrome Myst
もののがたり,Mononogatari,
もののけ草子,もののけぞうし,Mononoke Zoushi
もののけ! にゃんタロー,Mononoke! nyantaro,
もののけもの,Mononokemono,
ものの歩,もののふ,Mononofu
もののふことはじめ,Mononofu Kotohajime,
モノローグジェネレーション,Monologue Generation,
モバイルガールめもり,Mobile Girl Memori,
モブ子の恋,もぶこのこい,Mobuko no koi
モブサイコ100,もぶさいこひゃく,Mobpsycho100
MOB〜私立宝蔵学園萌え部〜,もぶしりつほうぞうがくえんもえぶ,MOB Shiritsu Houzou Gakuen Moebu
紅葉の棋節,もみじのきせつ,Momiji no Kisetsu
揉み払い師,もみばらいし,Momibaraishi
モメンタム,Momentum,
桃色サバス,ももいろさばす,PINKCOLORSABAS
ももいろシスターズ,Momoiro Sisters,
桃色シンドローム,ももいろしんどろーむ,Momoiro syndrome
ももいろスウィーティ―,ももいろすうぃーてぃー,Momoiro swiitie(Momoiro suuitei)
ももいろ討鬼伝 モモタロウくん,ももいろとうきでん ももたろうくん,Momoirotoukiden momotaroukun
桃色ヘヴン!,ももいろへぶん,Momoiro Heaven!
桃色ミステリー,ももいろみすてりー,Momoiro mystery
桃色メロイック,ももいろめろいっく,Momoiro Meloik
ももえん。,Momoen,
ももかコミカライズド,Momoka comicalized,
桃組っ!!,ももぐみっ,MOMO-GUMI!!
ももくり,Momokuri,
