title,title_furigana,title_en
MW,むう,MW
夢奥の細道,むおうのほそみち,Muoo no Hosomichi
昔、朧なる男ありけり,むかしおぼろなるおとこありけり,Mukashi Oboro naru Otoko ari keri
昔話のできるまで,むかしばなしのできるまで,Mukashibanashi no dekirumade
百足 -ムカデ-,むかで,Mukade
ムカムカパラダイス,Mukamuka Paradise,
ムカンノテイオー,Mukannoteio,
剥き出しの白鳥,むきだしのしらとり,Mukidashi no Shiratori
麦の惑星,むぎのわくせい,Mugi no wakusei
報いは報い、罰は罰,むくいはむくいばつはばつ,Mukui wa mukui batsu wa batsu
夢空界,むくうかい,Mukukai
骸姫,むくろひめ,MUKURO-HIME
夢幻街,むげんがい,MUGENGAI
夢幻紳士,むげんしんし,Mugen Shinshi
夢幻伝説タカマガハラ,むげんでんせつたかまがはら,Fairy Tale Legend of Takamagahara (Mugen Densetsu Takamagahara)
夢幻の軍艦大和,むげんのぐんかんやまと,Mugen no Gunkan Yamato
無限の住人,むげんのじゅうにん,Blade of the Immortal (Mugen no Juunin)
無限のリヴァイアス,むげんのりうぁいあす,Mugen no Ryvius
むこうぶち 〜高レート裏麻雀列伝〜,むこうぶち こうれーとうらまーじゃんれつでん,Mukoubuchi
ムサシ,Musashi,
武蔵伝〜異説 剣豪伝奇〜,むさしでん いせつ けんごうでんき,MUSASHIDEN
六三四の剣,むさしのけん,Musashi No Ken
武蔵野線の姉妹,むさしのせんのしまい,Musashinosen no shimai
むさしの無,むさしのむ,Musashino mu
ムシウタ,Musiuta,
蟲師(むしし),むしし,Mushishi
蟲師 外譚集,むしし がいたんしゅう,Mushishi Gaitanshuu
虫と歌 市川春子作品集,むしとうた いちかわはるこさくひんしゅう,Mushi to uta
蟲と眼球とテディベア,むしとめだまとてでぃべあ,Mushi to Medama to Teddy bear
ムジナ,Mujina,
むじな注意報!,むじなちゅういほう,Mujina Chuihou
ムシヌユン,Mushinuyun,
むしまろ!,Mushimaro!,
無邪気の楽園,むじゃきのらくえん,Paradise of Innocence (Mujaki no rakuen)
武者番長風雲録 SDガンダム,むしゃばんちょうふううんろく,Musha Banchou Fuunroku SD Gundam
武者武者道中 ティラの介,むしゃむしゃどうちゅう てぃらのすけ,Musha Musha Dochu Tyrannosuke
無重力コミュニケイション,むじゅうりょくこみゅにけいしょん,The Weightless Communication
無常草紙,むじょうそうし,Mujyou soushi
無職転生 〜異世界行ったら本気だす〜,むしょくてんせい いせかいいったらほんきだす,Mushoku Tensei Isekai ittara honki dasu
無人惑星サヴァイヴ,むじんわくせいさはばいぶ,Planet Survival
息子の俺への態度が基本的にヒドイので漫画にしてみました。,むすこのおれへのたいどがきほんてきにひどいのでまんがにしてみました,Musuko no Ore heno taido ga kihonteki ni hidoinode Manga ni shitemimashita
娘の家出,むすめのいえで,Musume no Iede
娘。物語 ―モーニング娘。オフィシャルストーリー,むすめ ものがたり もーにんぐむすめ おふぃしゃるすとーりー,Morning daughters story
むすんでひらいて,Musunde Hiraite,
むすんでひらいて (イコール版),Musunde hiraite I love you! You love me?,
無双神機ライガスト,むそうしんきらいがすと,Incomparableness mystery rye gusto
ムダヅモ無き改革,むだづもなきかいかく,The Legend of Koizumi (Mudazumo Naki Kaikaku)
ムダヅモ無き改革 プリンセスオブジパング,むだづもなきかいかく ぷりんせすおぶじぱんぐ,Mudazumo Naki Kaikaku PRINCESS OF ZIPANGU
むちゃくちゃ大好き。,むちゃくちゃだいすき,Muchakuchadaisuki
陸奥圓明流外伝-修羅の刻,むつえんめいりゅうがいでんしゅらのとき,Shura No Toki
ムツゴロウが征く,むつごろうがゆく,MUTSUGOROH GA YUKU
ムッツリ真拳,むっつりしんけん,Muttsuri shinken
無敵看板娘,むてきかんばんむすめ,Muteki Kanban Musume
無敵看板娘N(ナパーム),むてきかんばんむすめ なぱーむ,Mutekikanbanmusume napamu
無敵鋼人ダイターン3,むてきこうじんだいたーん3,Muteki koujin Daitarn3
無敵超人ザンボット3,むてきちょうじんざんぼっと3,Muteki choujin Zambot3
無敵鉄姫スピンちゃん,むてきてっきすぴんちゃん,Muteki Tekki Spin-chan (Invincible Iron Princess Spin-chan)
無敵の人,むてきのひと,Muteki no hito
無敵のヴィーナス,むてきのびーなす,Muteki no Venus (Shiina Ayumi)
無敵のビーナス,むてきのびーなす,GREATEST VENUS
無敵冒険シャクマ,むてきぼうけんしゃくま,Matchless adventure Shakuma
武天のカイト,むてんのかいと,Muten no Kaito
無刀ブラック,むとうぶらっく,Mutou Black
宗像教授シリーズ,むなかたきょうじゅしりーず,Munakata Kyouju Ikou roku
胸さわぎの放課後,むなさわぎのほうかご,Munasawagi no houkago
胸が鳴るのは君のせい,むねがなるのはきみのせい,Mune ga naru noha Kimi no sei
胸キュン刑事,むねきゅんでか,MUNEKYUNDEKA
電影遊技,むーびーげーむ,Movie game
ムヒョとロージーの魔法律相談事務所,むひょとろーじーのまほうりつそうだんじむじょ,Muhyo and Logy
ムヒョとロージーの魔法律相談事務所 魔属魔具師編,むひょとろーじーのまほうりつそうだんじょ まぞくまぐしへん,Muhyo to Roji no mahoutitsu soudan jimusho Mazoku magushi hen
無謀キャプテン,むぼうきゃぷてん,Mubou Captain
無防備マン,むぼうびまん,Mu bou bi man
無防備マンが行く!,むぼうびまんがいく,Mu bou bi man ga iku
無用ノ介,むようのすけ,MUYOUNOSUKE
村枝賢一短編集,むらえだけんいちたんぺんしゅう,Kenichi Muraeda sketchbook
村上海賊の娘,むらかみかいぞくのむすめ,Murakami Kaizoku no Musume
村上かつら短編集1,むらかみかつらたんぺんしゅう1,Murakami Katsura Tanpenshu 1
村上かつら短編集2,むらかみかつらたんぺんしゅう2,Murakami Katsura Tanpenshu 2
紫色のクオリア,むらさきいろのくおりあ,Murasaki-iro no Qualia
村ドル,むらどる,Mura idol (Muradoru)
ムラマサ,Muramasa,
村祀り,むらまつり,Mura Matsuri
MURCIELAGO -ムルシエラゴ-,むるしえらご,MURCIELAGO
MOON EDGE,むーんえっじ,MOON EDGE
MUNTO -ユメミぱらどっくす-,むんと,MUNTO
ムーン・ライティング,Moon lighting,
MOONLIGHT MILE(ムーンライトマイル),むーんらいとまいる,MOONLIGHT MILE
ムーン・ロスト,Moon Lost,
