title,title_furigana,title_en
内閣権力犯罪強制取締官 財前丈太郎,ないかくけんりょくはんざいきょうせいとりしまりかんざいぜんじょうたろう,Government Crime Investigation Agent ZAIZAN JOTARO
内閣総理大臣 織田信長,ないかくそうりだいじん おだのぶなが,Naikaku souridaijin Oda Nobunaga
ないしょのつぼみ,Naisyo no Tubomi,
ナイショの戸黒さん,ないしょのとぐろさん,Naisyo no Togurosan
ないしょのハーフムーン,Secret of half moon,
ないしょのプリンセス,Secret princess,
ナイショのマンガ家 となりのゆとりさん,ないしょのまんがか となりのゆとりさん,Naisho no mangaka Tonari no yutori-san
ないしょのラッキードール,Secret lucky dool,
ナイスガイ転校生よしお,ないすがいてんこうせいよしお,Niceguy Tenkousei Yoshio
NightWalker-ナイトウォーカー-,ないとうぉーかー,NightWalker
ナイトガンダム物語,ないとがんだむものがたり,Knight Gundam Story
ナイトぼっち,Knight Botti,
ナイトメア☆チルドレン,ないとめあ ちるどれん,Nightmare Children
ナイトメア・ファンク,Nightmare funk,
ナイト・ラヴァーズ,Night robbers,
ナイーヴ,Naive,
ナイン,NINE,
19-NINETEEN-,ないんてぃーん,NINETEEN
Now playing,なうぷれいんぐ,Now playing
直江兼続 〜信義の執政〜,なおえかねつぐ しんぎのしっせい,Naoe Kanetsugu Shingi no Shissei
奈緒子,なおこ,Naoko
修理もん研究室,なおしもんけんきゅうしつ,Naoshimon Laboratory
ナオミだもん,Naomi damon,
長い道,ながいみち,Nagai Michi
中川翔子物語 〜空色デイズ〜,なかがわしょうこものがたり そらいろでいず,Nakagawa Shouko Monogatari: Sorairo Days
永久保交幽録,ながくぼこうゆうろく,Nagakubo kouyuuroku
ながされて藍蘭島,ながされてあいらんとう,Nagasarete Airanto
流されて八丈島,ながされてはちじょうじま,Nagasarete Hachijojima
流され者,ながされもの,Nagasare mono
永沢君,ながさわくん,Nagasawa kun
なかじまなかじま,Nakajima Nakajima,
中空知防衛軍,なかそらちぼうえいぐん,NAKASORACHI-BOHEIGUN
中田さんちの田中くん,なかたさんちのたなかくん,Nakata san chi no Tanaka kun
長門有希ちゃんの消失,ながとゆきちゃんのしょうしつ,Nagato yuki chan no shoshitsu
中原くんの過保護な妹,なかはらくんのかほごないもうと,Nakahara-kun no kahogo na imouto
