title,title_furigana,title_en
NieA_7 (ニアアンダーセブン),にああんだーせぶん,Nie_7
≒-ニア・イコール-,にあいこーる,Near Equal (Nia ikoru)
にぃづまごっこ,Niizuma gokko,
ニイハオ キョンシーくん,NIE HAO KYONSHIE KUN,
202号室の×××ちゃん,にいまるにごうしつのほにゃららちゃん,202 goushitsu no honyarara-chan
新山たかし短編集,にいやまたかしたんぺんしゅう,Takashi Niiyama Shorts ( Niiyama Takashi Tanpen shu )
2-Aの魔法使い,にえーのまほうつかい,2-A no mahoutsukai
仁王〜金色の侍〜,におうこんじきのさむらい,Niou Konjiki No Samurai
にがくてあまい,BitterSweet,
二月の勝者 -絶対合格の教室-,にがつのしょうしゃ ぜったいごうかくのきょうしつ,Nigatsu No Syousya Zettai Goukaku No Kyoushitsu
肉女のススメ,にくおんなのすすめ,Niku Onna no Susume
肉極道,にくごくどう,Niku Gokudou
にくったらシェリフ,NIKUTTARA SHERIFF,
逃げる男,にげるおとこ,Nigeru Otoko
逃げるは恥だが役に立つ,にげるははじだがやくにたつ,Nigeru wa Haji daga Yaku ni tatsu
ニコイチ,Nikoichi,
ネコじまにゃんだフル,Nekojima nyandafuru,
にこたま,Nikotama,
にこにこエガ夫,にこにこえがお,Nikoniko Egao
ニコニコ日記,にこにこにっき,Niko Niko Nikki
にこプリトランス,Nico Pri Trans (Niko Puri Toransu),
にじいろコンプレックス,Nijiiro complex,
虹色town,にじいろたうん,Niji-iro town
虹色デイズ,にじいろでいず,Nijiiro Days
虹色とうがらし,にじいろとうがらし,Nijiirotougarashi
虹色のトロツキー,にじいろのとろつきー,Niji Iro No Torotuky
にじいろ☆プリズムガール,にじいろぷりずむがーる,Nijiiro prism girl
虹色ラーメン,にじいろらーめん,Rainbow color Ramen
虹ヶ原ホログラフ,にじがはらほろぐらふ,Nijigahara Horograf
二次元王子オオタくん,にじげんおうじおおたくん,Nijigenouji Ootakun
二次元JUMPIN',にじげんじゃんぴん,Nijigen Jumpin
仁科てすらは推理しない,にしなてすらはすいりしない,Nishina Tesura Ha Suiri Shinai
虹のとりで,にじのとりで,The Reinbow Fortress
虹のプレリュード,にじのぷれりゅーど,Niji no Prelude
虹のランナー,にじのらんなー,Runner of Rainbow (Niji no Runner)
虹浜ラブストーリー,にじはまらぶすとーりー,Nijihama Love Story
21エモン,にじゅういちえもん,21 Emon
21時のシンデレラガール,にじゅういちじのしんでれらがーる,Girl likes the Cinderella until 21:00
21世紀少年,にじゅういっせいきしょうねん,Twenty-first century boys
29歳独身中堅冒険者の日常,にじゅうきゅうさいどくしんちゅうけんぼうけんしゃのにちじょう,Nijuukyuusai dokushin chuuken boukensha no nichijou
25時のバカンス 市川春子作品集(2),にじゅうごじのばかんす いちかわはるこさくひんしゅう 2,Vacation of 25:00 Haruko Ichikawa anthology 2
23のさかな,にじゅうさんのさかな,23 fishes (23 no sakana)
20面相にお願い!!,にじゅうめんそうにおねがい,Nijuumensou ni onegai!!
二十面相の娘,にじゅうめんそうのむすめ,Nijuumensou no musume
24時間サンシャイン!,にじゅうよじかんさんしゃいん,24h sunshine!
24のひとみ,にじゅうよんのひとみ,24 no Hitomi
20世紀少年-本格科学冒険漫画,にじゅっせいきしょうねん,20th Century Boys(20seiki syonen)
虹を呼ぶ男,にじをよぶおとこ,Niji wo yobu otoko
ニセコイ,Nisekoi,
ニセモン(じゃがいもん),Nisemon,
2001夜物語,にせんいちやものがたり,2001 Nights
ニタイとキナナ,Nitai and Kinana,
似たもの一家,にたものいっか,The Similar Family. ( Nita mono Ikka )
日常,にちじょう,Nichijou
日米決戦レイテ1944,にちべいけっせんれいて1944,Japan Vs Usa Leyte 1944
日米太平洋決戦!!,にちべいたいへいようけっせん,Battle of Pacific Japan Vs USA
日曜日はげんき!!,にちようびはげんき,Nichiyoubi ha Genki!!
2丁目のドンキホーテ,にちょうめのどんきほーて,2choume no Don Quijote
二丁目路地裏探偵奇譚,にちょうめろじうらたんていきたん,2Chome Back of Alley Detective's Strange Story
日露戦争物語,にちろせんそうものがたり,Nitiro sensou monogatari
日給おいくら?,にっきゅうおいくら,Nikkyu Oikura?
ニッケルオデオン,Nickel Odeon,
ニッポンのワカ奥さま,にっぽんのわかおくさま,Nippon no wakaokusama
ニッポン博物誌,にっぽんはくぶつし,Nippon Hakubutsushi
日本発狂,にっぽんはっきょう,Nipon Hakyo
日本フーリガン,にっぽんふーりがん,Nippon Hooligans
ニート女と小学2年生,にーとおんなとしょうがくにねんせい,Neet onna to shougaku ninensei
ニートピア,Neetpia,
二度めの夏、二度と会えない君,にどめのなつ にどとあえないきみ,Nidome no Natsu Nidoto aenai kimi
NEEDLESS,にーどれす,NEEDLESS
ニトロガール,NITRO GIRL,
ニナライカ,Nina leica,
ニニンがシノブ伝,ににんがしのぶでん,Ninin Ga Shinobuden
2年2組のスタジアムガール,にねんにくみのすたじあむがーる,2nen 2kumi no stadium girl
ニノ前しいの使い方,にのまえしいのつかいかた,Ninomae Shii no tsukaikata
鈍色の箱の中で,にびいろのはこのなかで,Nibiiro no hako no nakade
200年の夜と孤独 〜おひとりさま吸血鬼〜,にひゃくねんのよるとこどくおひとりさまきゅうけつき,200 nen no yoru to kodoku ohitorisama kyuuketsuki
ニーベルングの指環,にーべるんぐのゆびわ,DusOfNeavengerg
ニポンゴ,Nipongo,
日本国初代大統領・桜木健一郎,にほんこくしょだいだいとうりょうさくらぎけんいちろう,The First president of Japan Kenichirou Sakuragi
日本国大統領 桜坂 満太郎,にほんこくだいとうりょう さくらざかまんたろう,Mihonkoku Daitoryo Sakurazaka Mantaro
日本史探偵コナン,にほんしたんていこなん,Nihonshi tantei Conan
日本人の知らない日本語,にほんじんのしらないにほんご,Nihonjin no shiranai Nihongo
日本沈没,にほんちんぼつ,Nihon Chinbotsu
日本特撮映画師列伝 ゴジラ狂時代,にほんとくさつえいがしれつでん ごじらきょうじだい,Godzilla-kyou jidai
日本の兄弟,にほんのきょうだい,Nihon no Kyoudai
日本橋ヨヲコ短篇集 バシズム,にほんばしよをこたんぺんしゅう ばしずむ,Nihonbashi Yoko Tanpen shu BASHISM
日本ふかし話,にほんふかしばなし,NIHON FUKASHI BANASHI
にゃん組長,にゃんくみちょう,Nyan Kumichou
にゃんこい!,Nyan Koi!,
にゃんこデイズ,Nyanko Days,
ニューカマー〜来るべき者達〜(REVENGER METAL KⅡ),にゅーかまーきたるべきものたちりべんじゃーめたるけいつー,New comer Revernger Metal K2
ニュクスの角灯,にゅくすのらんたん,Nyx no Rantan
NEW GAME!,にゅーげーむ,NEW GAME!
NEWS×it,にゅーすいっと,NEWS it
ニュー土木,にゅーどぼく,New engineering
NEWRAL NETWORK ミリンダファイト,にゅーとらるねっとわーくみりんだふぁいと,NEWRAL NETWORK MIRINDA FIGHT
ニューヨーク・ニューヨーク,Newyork Newyork,
女犯坊(坂本六有版),にょはんぼう さかもとむうばん,Nyohanbou Muu Sakamoto ver
ニョロ子の生放送!,にょろこのなまほうそう,Nyoroko no namahousou!
にょろーん ちゅるやさん,Nyoron Churuya san,
ニライカナイ,Nirai Kanai,
にらぎ鬼王丸,にらぎきおうまる,Niragi Kioumaru
二輪乃花,にりんのはな,A COUPLE OF FLOWERS
NIRVANA-ニルヴァーナ-,にるばーな,NIRVANA
ニルヴァーナ・パニック!!,Nirvana Panic!!,
NIWA,にわ,NIWA
庭先案内,にわさきあんない,Niwasaki Annai
人気者でいこう,にんきものでいこう,Ninkimono de ikou
人形師の夜,にんぎょうしのよる,Night Of Doll Master
人形芝居,にんぎょうしばい,Ningyou Shibai
人形少女,にんぎょうしょうじょ,A doll girl(Ningyou shoujo)
任侠沈没,にんきょうちんぼつ,NINKYOU CHINBOTSU
人形峠,にんぎょうとうげ,Ningyou touge
人形の国,にんぎょうのくに,Country of the doll
人形はこたつで推理する,にんぎょうはこたつですいりする,Ningyou wa kotatsu de suiri suru
仁侠姫レイラ,にんきょうひめれいら,NINKYO HIME LEIRA
人魚の傷,にんぎょのきず,Mermaid's Wound
人魚の森,にんぎょのもり,Mermaid Forest (Ningyo no mori)
人魚姫のごめんねごはん,にんぎょひめのごめんねごはん,Ningyohime no gomenne gohan
NINKU -忍空-,にんくう,Ninkuu
人間回収車,にんげんかいしゅうしゃ,Ningenkaisyusya
人間カード,にんげんかーど,Ningen Card
人間凶器カツオ!,にんげんきょうきかつお,Ningenkyouki Katsuo
人間昆虫記,にんげんこんちゅうき,Ningen Kontyuki
人間失格,にんげんしっかく,No Longer Human
人間だってアニモー,にんげんだってあにもー,Ningen datte Animo
人間でした,にんげんでした,Ningen Deshita
人間でした 2ndシーズン,にんげんでした せかんどしーずん,Ningen Deshita 2nd Season
人間ども集まれ!,にんげんどもあつまれ,Ningen domo Atsumare
忍者キャプター,にんじゃきゃぷたー,Ninja Captor
ニンジャじゃ阿仁丸,にんじゃじゃあにまる,Ninja ja Animaru
ニンジャスレイヤー,NINJA SLAYER,
ニンジャスレイヤー殺,にんじゃすれいやーきるず,NINJA SLAYER KILLS
ニンジャスレイヤー グラマラス・キラーズ,NINJA SLAYER GLAMOROUS KILLERS,
忍者ハグレ〜小西紀行短編集〜,にんじゃはぐれ こにしのりゆきたんぺんしゅう,Ninja Hagure
忍者ハットリくん,にんじゃはっとりくん,Ninja Hattori kun
忍者パパ,にんじゃぱぱ,Ninja PAPA
忍者武芸帳 影丸伝,にんじゃぶげいちょう かげまるでん,Ninja Bugei-chou
忍者ボーイとんとん飛丸,にんじゃぼーいとんとんとびまる,Ninjaboy Tonton Tobimaru
忍者マン一平,にんじゃまんいっぺい,NINJAMANIPPEI
忍者無芸帖,にんじゃむげいちょう,NINJAMUGEITYOU
忍たま乱太郎,にんたまらんたろう,Nintama Rantarou
忍たま乱太郎(小倉あん子版),にんたまらんたろう おぐらあんこばん,Nintama Rantaro (Anko Ogura version)
忍闘炎伝,にんとうほむらでん,NINTOH HOMURADEN
にんにんっ,Nin Nin,
忍パラサイト,にんぱらさいと,Nin parasite
忍風!肉とめし,にんぷうにくとめし,Ninpuu Niku To Meshi
忍ペンまん丸,にんぺんまんまる,Ninpen Manmaru
忍法十番勝負,にんぽうじゅうばんしょうぶ,Ninpo Jyuban-syobu
