title,title_furigana,title_en
ノアズノーツ,Noah's Notes,
ノアの宇宙船,のあのうちゅうせん,Noah's Spaceship
ノアの末裔,のあのまつえい,Progeny of Noah
ノイジィ・ガール,Noisy Girl,
NOiSE,のいず,NOISE
ノイズ (筒井哲也),Noise Tsutsui Tetsuya,
NeuN〈ノイン〉,のいん,Neun
脳カレ,のうかれ,NouKare
のうけん,Nouken,
悩殺ジャンキー,のうさつじゃんきー,Nousatu Jyanky
能田達規作品集 おまたせ! ピース電器店,のうだたつきさくひんしゅう おまたせぴーすでんきてん,Tatsuki Nouda's Short Stories Omatase ! Peace Denki ten
脳内格闘アキバシュート,のうないかくとうあきばしゅーと,Nounai Kakutou Akiba Shoot
濃爆おたく先生,のうばくおたくせんせい,Noubaku otaku sensei
濃爆おたく大統領,のうばくおたくだいとうりょう,Nobaku Otaku President
脳みそプルン!,のうみそぷるん,Noumiso prun!
のうりん,No-rin,
のうりん プチ,No-rin petit,
NOeSIS 嘘を吐いた記憶の物語,のえしす うそをついたきおくのものがたり,NOeSIS
ノエルの気持ち,のえるのきもち,Noel no Kimochi
乃木坂春香の秘密,のぎさかはるかのひみつ,Nogisaka Haruka no Himitsu
軒猿,のきざる,Nokizaru
乃木若葉は勇者である,のぎわかなはゆうしゃである,Nogi Wakana wa yuusha dearu
ノーゲーム・ノーライフ,NO GAME NO LIFE,
ノケモノと花嫁 THE MANGA,のけものとはなよめ ざ まんが,A reject and the bride
ノーサイド,NO SIDE,
ノーサンキューノーサンキュー 土田世紀短編集,のーさんきゅーのーさんきゅー つちだせいきたんぺんしゅう,No thank you no thank you Seiki Tsuchida short edit
ノ・ゾ・キ・ア・ナ,Nozokiana,
ノゾ×キミ(ノゾミとキミオ),のぞきみ のぞみときみお,Nozo X Kimi (Nozomi to Kimio)
のぞき屋,のぞきや,Nozoki Ya
のぞみウィッチィズ,Nozomi Witches,
のぞみちゃんホットライン,Nozomi tyan,
のだめ カンタービレ,Nodame Cantabile,
のたり松太郎,のたりまつたろう,Notari Matsutaro
のちの真田幸村である,のちのさなだゆきむらである,Nochi no Sanada Yukimura de Aru
K.O.マサトメ,のっくあうとまさとめ,KO Masatome
のってるヒーローくん,NOTTERU HERO KUN,
ノー・トラップ,NO TRAP,
ののかノート,Nonoka note,
ののことのらと,Nonoko to nora to,
ののちゃん (となりのやまだ君),NonoChan (Tonarino Yamadakun),
ノノノノ,Nononono,
のの美捜査中!,ののみそうさちゅう,Nonomi Sosachu!
野ばらの精,のばらのせい,Nobara no sei
野原ひろし 昼メシの流儀,のはらひろし ひるめしのりゅうぎ,Nohara Hiroshi Hirumeshi no ryuugi
野武がゆく,のぶがゆく,Nobu ga yuku
野武士のグルメ,のぶしのぐるめ,Gourmet of the bandit
野ブタ。をプロデュース,のぶたをぷろでゅーす,Nobuta o produce
信長,のぶなが,Nobunaga
信長協奏曲,のぶながこんつぇると,Nobunaga Concerto
のぶながちゃん公記,のぶながちゃんこうき,Nobunaga-chan kouki
信長のシェフ,のぶながのしぇふ,Nobunaga no chef
信長の忍び,のぶながのしのび,Nobunaga no Shinobi
信長の忍び外伝 尾張統一記,のぶながのしのびがいでんおわりとういつき,Nobunaga no Shinobi Gaiden Owari Toitsuki
信長を殺した男〜本能寺の変 431年目の真実〜,のぶながをころしたおとこ,The man who killed Nobunaga
ノブナガン,NOBUNAGUN,
のーぶら,No bura,
NOBELU - 演- (ノベル),のべる,NOBELU
のぼうの城,のぼうのしろ,NOBO NO SHIRO
のぼる小寺さん,のぼるこてらさん,Noboru Kotera San
ノーマーク爆牌党,のーまーくばくはいとう,No Mark Bakuhaito
ノーマン,Norman,
のみじょし,Nomijoshi,
野宮警部補は許さない,のみやけいぶほはゆるさない,NOMIYA KEIBUHO HA YURUSANAI
野村24時,のむらにじゅうよじ,Nomura 24 hours.
のら,Nora,
NORA (筧一成版),のら かけいかずなり,NORA KAZUNARI KAKEI
ノラガミ,Noragami,
のらくろ,Norakuro,
のらみみ,NORAMIMI,
野良をつく,のらをつく,Nora o tsuku
のりおダちょ〜ん,のりおだちょーん,Norio da choon
のりりん,Noririn,
ノルマンディーひみつ倶楽部,のるまんでぃーひみつくらぶ,Normandie Himitsu Club
のんきくん,Nonki Kun,
のんき君,のんきくん うえだまさし,Nonki Kun Ver Masashi Ueda
ノンキャリアウーマン,Noncyariawoman,
NON STOP!恭兵,のんすとっぷきょうへい,NON STOP KYOHEI
のんのんばあとオレ,Nonnon baa to ore,
のんのんびより,Non Non Biyori,
