title,title_furigana,title_en
オイ!! オバさん,Oi!! Obasan,
おいしい神しゃま,おいしいかみしゃま,Oishii Kamishama
おいしい関係,おいしいかんけい,Oishii Kankei
おいしい銀座,おいしいぎんざ,Delicious Ginza
美味しんぼ,おいしんぼ,Oishinbo
おいでませり,Oidemaseri,
おいでよ どうぶつの森 〜しあわせ通信〜,おいでよどうぶつのもり しあわせつうしん,Oideyo doubutsu no mori Shiawase tsuushin
おいでよ動物病院!,おいでよどうぶつびょういん,Welcome to the animal hospital.
お〜い!!マンガだよ〜ん ゆでたまご短編集1,おーいまんがだよーんゆでたまごたんぺんしゅう1,Oi manga dayon
オーイ!!やまびこ,Hey! Echo,
お〜い!竜馬,おーいりょうま,Ooi Ryouma
オイレンシュピーゲル(曽我部修司版),Eulenspiegel ver.Sogabe,
オイレンシュピーゲル(二階堂ヒカル版),Eulenspiegel ver.Nikaidou,
王狩,おうがり,Ogari
王家の紋章,おうけのもんしょう,Embrem of King's family
王国ゲェム,おうこくげぇむ,Oukoku Game
逢刻町そらそれ,おうこくちょうそらそれ,Oukokuchou sorasore
黄金戦士ゴールドライタン,おうごんせんしごーるどらいたん,Golden Warrior Gold Lightan
黄金太閤記,おうごんたいこうき,OGON TAIKOKI
黄金都市 (短編集),おうごんとし,Ougon Toshi
黄金の酔拳士,おうごんのどらっけん,Ougon no drakken
黄金のラフ 〜草太のスタンス〜,おうごんのらふ そうたのすたんす,Golden Rough Stance of Souta
黄金バット(週刊少年キング版),おうごんばっと しゅうかんしょうねんきんぐばん,Ougon Bat (Shounen King)
王様ゲーム【水野十子版】,おうさまげーむ,King game
王様ゲーム 起源,おうさまげーむ きげん,Ousama Game Kigen
王様ゲーム 終極,おうさまげーむ しゅうきょく,Ousama Game Shuukyoku
王様ゲーム(連打一人版),おうさまげーむ れんだひとりばん,Ousama Game
王様のオーパーツ,おうさまのおーぱーつ,KING'S OOPARTS
王様の仕立て屋〜サルト・フィニート〜,おうさまのしたてや さるとふぃにーと,Sarto Finite
王様の耳はオコノミミ,おうさまのみみはおこのみみ,Osama no mimi ha Okonomimi
王様はロバ〜はったり帝国の逆襲〜,おうさまはろばはったりていこくのぎゃくしゅう,Ousama ha roba
王子様のつくりかた,おうじさまのつくりかた,Make of prince
奥州藤原四代,おうしゅうふじわらよんだい,Oushu Fujiwara four generations
凹村戦争,おうそんせんそう,Ouson Sensou
おうちがいちばん,Ouchi ga ichiban,
oh!体験時代,おうっ たいけんじだい,Oh Taiken Zidai
応天の門,おうてんのもん,Oten no mon
王道の狗,おうどうのいぬ,Odo no inu
Oh!透明人間,おう とうめいにんげん,Oh toumei ningen
Oh!透明人間21,おう とうめいにんげん にじゅういち,Oh toumei ningen 21
おうどうもん,Oudoumon,
王ドロボウJING,おうどろぼうじん,King of Bandit JING (Oh Dorobou JING)
逢魔ヶ刻動物園,おうまがときどうぶつえん,Oumaga Toki Doubutsuen
桜蘭高校ホスト部,おうらんこうこうほすとくらぶ,Ouran High School Host Club
王室教師ハイネ,おうりつきょうしはいね,KONIGLICHE FAMILIE LEHRER
王狼,おうろう,OUROU
王狼伝,おうろうでん,OUROUDEN
O/A,おーえー,O A
オエカキスト!,Oekakist!,
お江戸はねむれない!,おえどはねむれない,Not sieep Edo
OL進化論,おーえるしんかろん,OL sinnkaronn
OLはとぽっぽ,おーえるはとぽっぽ,OL hatopoppo
OLパラダイス,おーえるぱらだいす,OL Paradise
大あばれゴジラ,おおあばれごじら,Ooabare Godzilla
大いなる完,おおいなるかん,Ooinaru Kan(the great Kan)
大江戸きっちん,おおえどきっちん,Oedo kitchen
大江戸国芳 よしづくし,おおえどくによし よしづくし,Ooedo Kuniyoshi Yoshi Dukushi
大江戸ジゴロ,おおえどじごろ,OHEDO JIGORO
大江戸バーリトゥード,おおえどばーりとぅーど,Ooedo Valetudo
大江戸ロケット,おおえどろけっと,Oh!-EDO Rocket
大江山流護身術道場,おおえやまりゅうごしんじゅつどうじょう,Ooeyama ryuu goshinjutsu doujou
大奥,おおおく,Oh-oku
大奥でございます。,おおおくでございます,OH OKU DE GOZAIMASU
おおかみかくし 滅紫の章,おおかみかくしけしむらさきのしょう,Okami kakushi keshimurasaki no shou
おおかみこどもの雨と雪,おおかみこどものあめとゆき,Ookamikodomo no ame to yuki
大上さん、だだ漏れです,おおがみさんだだもれです,Oogami San Dadamore Desu
大上さんとケルベロスゥ!,おおがみさんとけるべろすぅ,Oogami-san to kerberos!
オオカミ少女と黒王子,おおかみしょうじょとくろおうじ,Ookami shoujo to kuro ouji
狼少年ケン,おおかみしょうねんけん,Ookami shounen Ken
狼と香辛料,おおかみとこうしんりょう,Spice and Wolf (Okami to Koshinryo)
オオカミなんかコワくないっ!?,Who's afraid of Wolves!?,
狼なんて怖くない!! -冨樫義博短編集-,おおかみなんてこわくない とがしよしひろたんぺんしゅう,Okami nante kowakunai
狼の星座,おおかみのせいざ,Ookami no seiza
オオカミの手かします!,おおかみのてかします,Ookami no te kashimasu
おおきく振りかぶって,おおきくふりかぶって,Ookiku furikabutte (Big Windup!)
おおきに関ジャニ∞!!,おおきにかんじゃにえいと,Ookini Kanjani Eight
大斬─オオギリ─,おおぎり,Oogiri
