title,title_furigana,title_en
LIAR GAME (ライアーゲーム),らいあーげーむ,Liar Game
LIAR GAME roots of A 甲斐谷忍短編集,らいあーげーむ るーつおぶえー かいたにしのぶたんぺんしゅう,LIAR GAME roots of A Kaitani Shinobu shortstories
ライアー×ライアー,らいあー らいあー,LIAR LIAR
ライオット・ガール,The Riot Girl,
ライオンハート,Lion Heart,
ライオン丸G,らいおんまるじー,Lion-Maru G
雷火,らいか,RAIKA
らいか・デイズ,Raika days,
ライカンスロープ冒険保険,らいかんすろーぷぼうけんほけん,Lycanthrope bouken hoken
雷撃一代,らいげきいちだい,RAIGEKIITIDAI
雷神Raiging!,らいじん,Raiging
雷神〜RISING〜,らいじんぐ,RISING
ライジングインパクト,Rising Impact,
ライジング・サン,Rising Sun,
ライジングサン(藤原さとし版),Rising Sun Fujiwara Satoshi Version,
ライスショルダー,Rice shoulder,
雷星伝ジュピターO.A.,らいせいでんじゅぴたーおーえー,JUPITER O.A.
来世であいましょう,らいせであいましょう,Raise de Aimasyo
来世は他人がいい,らいせはたにんがいい,Raise Ha Tanin Ga Ii
ライチ☆光クラブ,らいちひかりくらぶ,Lychee Light Club
ライツ―永遠の光芒―,らいつ えいえんのこうぼう,THE LIGHTS
REIDEEN,らいでぃーん,REIDEEN
らいでん,Raiden,
LIGHT WING,らいと ういんぐ,LIGHT WING
RIDE ON!,らいどおん,RIDE ON!
ライトニング・ブリゲイド,Lightning brigade,
RIDEBACK -ライドバック-,らいどばっく,RIDEBACK
ライバル,Rival,
ライバルはキュートBOY,らいばるはきゅーとぼーい,Raibal ha cuteboy
ライバル〜番外編〜,らいばるばんがいへん,Rival Bangai Story
ライフ2 ギバーテイカー,らいふ2 ぎばーていかー,Life 2 giver taker
ライフ,Life,
ライフ・イズ・マネー,LIFE IS MONEY,
LIVE,らいぶ うめざわはると,LIVE
LIFE:ERRORS (ライフ・エラーズ),らいふえらーず,LIFE ERRORS
LIVES〜ライブス〜,らいぶす,LIVES
ライプニッツ,Leibnitz,
LIFE★LIFE,らいふらいふ,LIFE LIFE
ライフル・イズ・ビューティフル,Rifle is beautiful,
ライミングマン,Ryming Man,
雷鳴のザジ,らいめいのざじ,Raimei no ZAJI
ライン,Line,
LINE OFFLINE〜ボクら図鑑〜,らいん おふらいん ぼくらずかん,LINE OFFLINE -Boku ra zukan-
ラヴラビイズ,LOVELOVIES,
ラウンダバウト,Roundabout,
らき☆すた,らきすた,Raki Suta (Lucky Star)
らき☆すた ポケットとらべら〜ず,らきすた ぽけっととらべらーず,Lucky Star pocket traveras
LA QUINTA CAMERA 〜5番目の部屋〜,ら くいんた かーめら ごばんめのへや,LA QUINTA CAMERA
楽園Node,らくえんのーど,Rakuen Node
楽園ルウト,らくえんるうと,Paradiss of Ruuto
楽ガキFighter〜HERO OF SAINT PAINT〜,らくがきふぁいたー ひーろーおぶせいんとぺいんと,Raku Gaki Fighter HERO OF SAINT PAINT
ラクゴモン。,RAKUGOMON.,
楽勝!ハイパードール,らくしょうはいぱーどーる,HYPER DOLL THE EASY FIGHTER
落第騎士の英雄譚,らくだいきしのきゃばるりぃ,A TALE OF WORST ONE
落第忍者乱太郎,らくだいにんじゃらんたろう,Rakudai Ninja Rantarou
ラグタイムブルース,Lugtimebruse,
らくてんパパ,Rakuten Papa,
ラグナロック・ガイ,RAG-NA-ROK (Story of RAGNAROK),
楽楽(宇仁田ゆみ作品集),らくらく,Raku raku
楽々神話,らくらくしんわ,Rakuraku shinwa
ラグーンエンジン,LAGOON ENGINE,
羅喉伝,らごうでん,Ragouden
ラジアータ ストーリーズ The Epic of JACK,らじあーた すとーりーず ざ えぴっく おぶ じゃっく,RADIATA STORIES The Epic of JACK
ラジアータ ストーリーズ The Song of RIDLEY,らじあーたすとーりーず ざ そんぐ おぶ りどりー,RADIATA STORIES The Song of RIDLEY
ラジエーションハウス,Radiation House,
ラジオでGO!,らじおでごー,Radio de GO!
ラジオヘッズ,RADIO HEADS,
ラジヲマン,Radioman,
ラジカル16,らじかる16,Radical-16 (Radical sixteen)
ラジカルガーディアン,RADICAL GUARDIAN,
ラジカル庭球団,らじかるていきゅうだん,Radical Tennis Club (Radical Teikyuu Dan)
ラジ娘のひみつ,らじこのひみつ,Radiko no himitsu
ラジコンキッド,Rajikon Kid,
ラジコン探偵団,らじこんたんていだん,Rajikon tanteidan
ラジコンボーイ,Razikon Boy,
裸者と裸者 -孤児部隊の世界永久戦争-,らしゃとらしゃ こじぶたいのせかいえいきゅうせんそう,Nudity and Nudity Worldever wars
ラシャーヌ!,Rasha-nu,
ラストイニング,Last Inning,
ラストエグザイル-銀翼のファム-,らすとえぐざいる ぎんよくのふぁむ,LAST EXILE Ginyoku no Femme
ラストエグザイル-砂時計の旅人-,らすとえぐざいる すなどけいのたびびと,LAST EXILE -Sunadokei no tabibito-
ラスト☆シーン,らすとしーん,Last scene
ラストニュース,LAST NEWS,
ラストピア,Lastpia,
Rust Blaster(ラストブラスター),らすとぶらすたー,Rust Blaster
ラスト〜僕らは未来のために〜,らすと ぼくらはみらいのために,LAST
ラストマン,LASTMAN,
LASTMAN -ラストマン- (二宮裕次版),らすとまん にのみやゆうじばん,LASTMAN (Yuji Ninomiya version)
ラストメンヘラー,Last Menhealer,
ラスト・ワルツ,Last waltz,
らずべりぃMix,らずべりぃみっくす,Raspberry Mix
らせつの花,らせつのはな,Fiower of RASETU
ラ・セーヌの星,らせーぬのほし,La Seine no Hoshi
ラーゼフォン,Rahxephon,
螺旋島 〜THE ISLAND OF GENE〜,らせんじま,The islando fo gene
ラチェット&クランク ガガガ!銀河のがけっぷち伝説,らちぇっとあんどくらんく がががぎんがのがけっぷちでんせつ,Ratchet &amp; crank gagaga ginga no gakeppuchi densetsu
ラチェット・シティ,RATCHET CITY,
落花流水,らっかりゅうすい,Rakka Ryuusui
ラッキー嬢ちゃんのあたらしい仕事,らっきーじょうちゃんのあたらしいしごと,New work of the Miss Lucky
LUCKY STRIKE (乾良彦),らっきーすとらいく いぬいよしひこ,LUCKY STRIKE
ラッキーストライク! (みそおでん),Lucky Strike! miso-oden,
LUCKY 7 STAR,らっきーせぶんすたー,LUCKY 7 STAR
ラッキーどんきー,Lucky Donkey,
ラッキーナイトカスタードくん,Lucky knight Custard-kun,
ラッキー・ブレイク,Lucky Break,
ラッキーボーイ,Lucky boy,
ラッキーマイン,The Lucky Mine,
辣韮の皮,らっきょうのかわ,Rakkyonokawa
RACK-13係の残酷器械-,らっく じゅうさんけいのざんこくきかい,Rack
Luck Stealer,らっくすてぃーらー,Luck Stealer
ラッコ11号,らっこじゅういちごう,Rakko 11 gou
Lassie(ラッシー),らっしー,Lassie
RASH!!,らっしゅ,RASH
RATMAN,らっとまん,RATMAN
