title,title_furigana,title_en
RAY,れい,RAY
RAVE(レイヴ),れいう,Rave Master
霊界教室,れいかいきょうしつ,Reikai kyousitsu
0(れい)からはじめましょう,れいからはじめましょう,0 kara hajimemashou
RAY〜THE OTHER SIDE〜 (RAY+),れいざあざーさいど,RAY THE OTHER SIDE
霊獣記,れいじゅうき,Reijuuki
レイスイーパー,Ray Sweeper,
冷蔵庫探偵,れいぞうこたんてい,Reizouko Tantei
霊長類最強伝説ゴリ夫,れいちょうるいさいきょうでんせつごりお,Reichorui Saikyo Densetsu Gorio
レイトン教授とユカイな事件,れいとんきょうじゅとゆかいなじけん,Professor Layton and the Cheerful Mystery (Layton Kyoju to Yukaina Jiken)
霊能探偵ルナ&サイコ,れいのうたんているなあんどさいこ,Reinou Tantei Runa and Psycho
霊能バトル,れいのうばとる,REINOU Batlle
霊能力者 小田霧響子の嘘,れいのうりょくしゃ おだぎりきょうこのうそ,Reinouryokusha Odagiri Kyouko No Uso
霊媒師いずな Ascension,れいばいしいずなあせんしょん,Reibaishi Izuna Ascension
RAVE〜プルーの犬日記〜,れいぶ ぶるーのいぬにっき,RAVE Blue's dog diary.
黎明のアルカナ,れいめいのあるかな,DAWN of the ARCANA
黎明の艦隊,れいめいのかんたい,Reimeinokantai
レイラ,Reira,
レイリ,Reiri,
玲瓏館健在なりや,れいろうかんけんざいなりや,Reiroukan kenzainariya
レイン,Rein,
Rainbow☆Starbow,れいんぼーすたーぼー,Rainbow Starbow
レインボー戦隊,れいんぼーせんたい,Rainbow Sentai
RAINBOW 二舎六房の七人,れいんぼー にしゃろくぼうのしちにん,RAINBOW Nisha Rokubou no Shichinin
レインマン,RAIN MAN,
REVEREND D,れうぇれんど でぃー,REVEREND D
烈王 (レオ),れお,LEO
零王!,れお あさいしんごばん,Reo!
LEO the GOLD,れおざごーるど,LEO the GOLD
レオちゃん,LEO THE CUB LION,
LEGAの13(レーガのサーティーン),れーがのさーてぃーん,LEGA no Thirteen
レーカン!,RE-KAN!,
Re:CREATORS わんもあ!,れくりえいたーずわんもあ,Re Creators One More
RECORD,れこーど,RECORD
レジェンズ,Legends,
レジェンド・オブ・クリスタニア はじまりの冒険者たち,れじぇんどおぶくりすたにあ はじまりのぼうけんしゃたち,Legend of Christanear venturers of the opening
レジェンド・チェンバー,Legend chamber,
レジデン都市505,れじでんしてぃごーまるご,Rejiden City 505
れすきゅーME!,れすきゅーみい,Rescue ME!
Restore Garage 251(Restore Garage 251車屋夢次郎),れすとあがれーじにごいち れすとあがれーじにごいちくるまやゆめじろう,Restore Garage 251
レース鳩0777,れーすばとあらし,Race hato 0777
Wrestling with もも子,れすりんぐ うぃず ももこ,Wrestling with Momoko
レタス2個分のステキ,れたすにこぶんのすてき,Lettuce Niko bunn no Suteki
烈火の炎,れっかのほのお,Frame Of Recca
REC (レック),れっく,REC
REX 恐竜物語,れっくす きょうりゅうものがたり,REX Kyouryuu monogatari
レッケン!,Rekken!,
レッズ・イン・ブルー,RedsInBlue,
烈!!!伊達先パイ,れつ だてせんぱい,Retsu!!! DATE Sempai
レッツ☆光二!,れっつ こうじ,Let's Koji!
Let's豪徳寺,れっつごうとくじ,Let's Goutokuji
Let'sダチ公,れっつだちこう,Let's Dachi Kou
LET'Sぬぷぬぷっ,れっつぬぷぬぷっ,LET'S NUPUNUPU
れっつ!ハイキュー!?,Let's! Haikyu!?,
Let's 武闘派,れっつぶとうは,Let's Butouha
レッツ☆ラグーン,れっつらぐーん,LET'S LAGOON
レッツラゴン,Letsulagon,
redEyes(レッドアイズ),れっどあいず,RedEyes
レッドスプライト,Red sprite,
RDG レッドデータガール,れっどでーたがーる,RDG Red Data Girl
レッドマスク,RED MASK,
Red Raven - レッド レイヴン -,れっどれいぶん,Red Raven
烈風,れっぷう,Reppu
烈風!!獣機隊二〇三,れっぷうじゅうきたい203,Repu Jyukitai 203
レディ!!,Lady!!,
レディー・ヴィクトリアン,Lady Victorian,
LADY!グルンサ,れでぃぐるんさ,LADY! Gurunsa
L16,れでぃーしっくすてぃーん,L16
レディ・ジャスティス,Lady Justice,
LADYリンクス,れでぃりんくす,Lady Links
レトルトパウチ!,Retort pouch,
レニフィルの冒険,れにふぃるのぼうけん,Lenifill no bouken
レヴァリアース,Revery Earth,
Levius-レビウス-(Levius/est),れびうす れびうすえすと,Levius(Levius/est)
レベルE,れべるいー,Level E
レ・ミゼラブル,Re mizeraburu,
レムリア〜海の黙示録〜,れむりあ うみのもくじろく,Lemuria
レモネード,Lemonade,
レモネードBOOKS,れもねーどぶっくす,Lemonade Books
レモンエンジェル,Lemon angel,
レモン・キッド,Lemon kid,
檸檬プラネット,れもんぷらねっと,Remon planet
恋愛映画のように、は,れんあいえいがのようには,Renaieiga no youniha
恋愛怪談サヨコさん,れんあいかいだんさよこさん,Renai Kaidan Sayoko-san
レンアイガク,RenAiGaku,
れんあいこわい,Renai kowai,
恋愛視角化現象,れんあいしかくかげんしょう,Renai Shikakuka Genshou
レンアイ至上主義,れんあいしじょうしゅぎ,Love is best
恋愛しませんか?,れんあいしませんか,Renai shimasenka
恋愛ジャンキー,れんあいじゃんきー,Love Junkies
恋愛出世絵巻えん×むす,れんあいしゅっせえまきえんむす,EnMusu
恋愛専科,れんあいせんか,Department of Love
恋愛ディストーション,れんあいでぃすとーしょん,Renai DISTORTION
恋愛カタログ,れんあいのかたろぐ,Renai No Catalog
恋愛暴君,れんあいぼうくん,Renai boukun
レンアイ漫画家,れんあいまんがか,Renai mangaka
蓮華(レンカ),れんか,Renka
蓮華伝説アスラ,れんげでんせつあすら,Renge densetu Asura
れんげ ヌードルライフ,Renge Noodle Life,
聯合艦隊司令長官山本五十六,れんごうかんたいしれいちょうかんやまもといそろく,Rengou Kantai Sireichoukan Yamamoto Isoroku
煉獄に笑う,れんごくにわらう,Rengoku ni Warau
煉獄のカルマ,れんごくのかるま,Rengoku no karma
連載終了!,れんさいしゅうりょう,Rensai syuuryou
連鎖 MODERN ENIGMA,れんさ もだんえにぐま,Chain MODERN ENIGMA
RANGEMAN-レンジマン-,れんじまん,RANGEMAN
恋情デスペラード,れんじょうですぺらーど,RENJOH DESPERADO
錬人,れんじん,RENJIN
レンズマン(三浦みつる版),Lensman (Miura Mitsuru),
レンズマン(村野守美版),Lensman (Murano Moribi),
レンタルきゅーと,Rental Cute,
レンタルマギカ from SOLOMON,れんたるまぎか ふろむ そろもん,Rental Magica from solomon
