title,title_furigana,title_en
リアリスの私写真,りありすのししゃしん,Realis's photo
Really? Really! REMEMBER MEMORIES,りありーりありーりめんばーめもりーず,Really? Really! REMEMBER MEMORIES
リアル,Real,
リアルアカウント,Real Account,
リアル鬼ごっこ,りあるおにごっこ,Riaru oni gotsuko
リアル鬼ごっこ2,りあるおにごっこつー,Real Onigoko 2
リアルバウトハイスクール,Real Bout High School,
REALPG,りあるぴーじー,REALPG
リアル・メタフィジックス,Real metaphysics,
リヴァイアサン,Leviathan,
リウーを待ちながら,りうをまちながら,Riuu O MachiNagara
リオンさん、迷惑です。,りおんさんめいわくです,Rion San Meiwaku Desu
リカ,RIKA,
りきじょ,Rikijo,
力人伝説 -鬼を継ぐもの-,りきじんでんせつ おにをつぐもの,Rikijin densetsu: Oni wo tsugu mono
力道山プロレス地獄変 木村政彦はなぜ力道山を殺さなかったのか,りきどうざんぷろれすじごくへんきむらまさひこはなぜりきどうざんをころさなかったのか,Rikidozan Protesting Jigoku hen
陸軍中野予備校,りくぐんなかのよびこう,RIKUGUNNAKANOYOBIKO
陸上防衛隊まおちゃん,りくじょうぼうえいたいまおちゃん,Ground Defence Force Mao-chan (Rikujyou Boueitai Mao-chan)
リクドウ,Rikudou,
理系の人々,りけいのひとびと,The people of Sciences
リコーダーとランドセル,Recorder and Satchel,
リコとハルと温泉とイルカ,りことはるとおんせんといるか,Riko to Haru to Onsen to Iruka
離婚同居,りこんどうきょ,Rikon Doukyo
Lisa Step!,りさすてっぷ,Lisa Step!
リスキーエッジ,Risky edge,
リスク,Risk,
リストランテ・パラディーゾ,Ristorante Paradiso,
リスボックリ,Risubokkuri,
リズム,Rhythm,
リセット,Reset,
リセット・ポイント,RESET POINT,
りぜるまいん,Rizelmine,
Re:ゼロから始める異世界生活 第一章 王都の一日編,りぜろからはじめるいせかいせいかつ だいいっしょう おうとのいちにちへん,Re:Zero kara hajimeru isekai seikatsu Episode 1
Re:ゼロから始める異世界生活 第三章 Truth of Zero,りぜろからはじめるいせかいせいかつ だいさんしょう とぅるーすおぶぜろ,Re:Zero kara hajimeru isekai seikatsu Episode 3
Re:ゼロから始める異世界生活 第二章 屋敷の一週間編,りぜろからはじめるいせかいせいかつ だいにしょう やしきのいっしゅうかんへん,Re:Zero kara hajimeru isekai seikatsu Episode 2
リーゼロッテと魔女の森,りーぜろってとまじょのもり,Lieselotte to majo no mori
理想のヒモ生活,りそうのひもせいかつ,Risou no himo seikatsu
Leader's High!,りーだーずはい,Leader's High!
リーチマン,REACH MAN,
立-Ritz-,りつ,Ritz
リッキー台風,りっきーたいふう,RICKYTIPHOON
R.O.D.-READ OR DIE-,りーどおあだい,READ OR DIE
R.O.D.-READ OR DREAM-,りーどおあどりーむ,READ OR DREAM
リトルウィッチアカデミア(左藤圭右版),Little Witch Academia,
リトルウィッチアカデミア 月夜の王冠,りとるうぃっちあかでみあ つきよのおうかん,Little Witch Academia Tsukiyo no oukan
リトルウィッチアカデミア(てりてりお版),Little Witch Academia (Teri Terio),
リトル〜神様修行中〜,りとる かみさましゅぎょうちゅう,Little
リトル巨人くん,りとるきょじんくん,Ritoru kyozin kun
リトルコップ,Litlle Cop,
リトル・ジャンパー,LITTLE JUMPER,
打撃王 凛,りとるすらっがー りん,LITTLE SLUGGER RIN
リトルバスターズ!(あなぐらもぐら版),Liittle Busters,
リトルバスターズ!エクスタシー,Little Busters EX,
リトルバスターズ! エクスタシー 笹瀬川佐々美 -Black Cat Fantasia-,りとるばすたーず えくすたしー ささせがわささみ ぶらっくきゃっとふぁんたじあ,Liittle Busters! Ecstasy Sasasegawa Sasami Black Cat Fantasia
リトルバスターズ! EX The 4コマ,りとるばすたーず えくすたしー ざよんこま,Little Busters! EX The 4koma
リトルバスターズ! エクスタシー 朱鷺戸沙耶 -SCHOOL REVOLUTION-,りとるばすたーず えくすたしー ときどさや すくーるれぼりゅーしょん,Liittle Busters! Ecstasy Tokido Saya SCHOOL REVOLUTION
リトルバスターズ! エクスタシー 二木佳奈多 -My Minroud-,りとるばすたーず えくすたしー ふたきかなた まいみんろーど,Little Busters! Ecstasy Futaki Kanata My Minroud
リトルバスターズ! エクスタシー ワンダービット ワンダリング,Little Busters! Ecstasy wonderbit wandering,
リトルバスターズ! End of Refrain,りとるばすたーず えんどおぶりふれいん,Little Busters! End of Refrain
リトルバスターズ!(黒八版),Liittle Busters! (Kurohachi),
リトルバスターズ! The 4コマ,りとるばすたーず ざよんこま,Little Busters! The 4koma
リトルバスターズ!(高木信孝版),Liittle Busters! (Takagi Nobutaka),
リトルバスターズ! 能美クドリャフカ,りとるばすたーず のうみくどりゃふか,Little Busters! Noumi Kudryavka
