title,title_furigana,title_en
ロウきゅーぶ!,RO-KYU-BU!,
老人賭博,ろうじんとばく,Old man gambling
蝋燭姫,ろうそくひめ,Candle princess
ロウマン,LAWMAN,
路地恋花,ろぉじこいばな,Roji Koibana
ローカル女子の遠吠え,ろーかるじょしのとおぼえ,Local joshi no touboe
6センチの絆,ろくせんちのきずな,6cm no kizuna
ロクダイ,Rokudai,
ろくでなしBLUES(ブルース),ろくでなしぶるーす,Rokudenashi Blues
ろくでなしぶるーちゅ,ROKUDENASHI BLUECHU,
六道の悪女たち,ろくどうのおんなたち,Rokudou no onnatachi
六文銭ロック,ろくもんせんろっく,Rokumonsen Rock
ロケットでつきぬけろ!,Rocket de tukinukero,
R・PRINCESS〜ロケット・プリンセス〜,ろけっとぷりんせす,R Princess
ロケットマン,Rocket man,
ロケハン,Location hunting,
ロコ・モーション,Loco-Motion,
ろこモーション(小山田いく版),Roko motion,
ロコモーション(吉田まゆみ版),Loco motion written by Mayumi Yoshida,
ロザリオとバンパイア,Rosario and Vampire,
路地裏バンチ,ろじうらばんち,Back Street Bunch
ローズガンズデイズ 哀愁のクロスナイフ,ろーずがんずでいず あいしゅうのくろすないふ,Rose Guns Days Aishuu no cross knife
ロスタイム,Loss time,
LOST + BRAIN (ロストブレイン),ろすとぶれいん,LOST BRAIN
LOST MAN,ろすとまん,Lost Man
ロスト・ユニバース,Lost Universe,
ロスト・ユニバースすぺしゃる,Lost universe special,
ロストワールド,Lost World,
ROSE HIP ZERO,ろーずひっぷぜろ,ROSE HIP ZERO
ROSE HIP ROSE,ろーずひっぷろーず,ROSE HIP ROSE
Rozen Maiden (ローゼンメイデン),ろーぜんめいでん,ROSEN-MAIDEN
ローゼンメイデン0-ゼロ-,ろーぜんめいでんぜろ,Rozen Maiden Zero
ローゼンメイデン dolls talk,ろーぜんめいでん どーるず とーく,Rozen Maiden dolls talk
六花の勇者,ろっかのゆうしゃ,Rokka no yusha
ロッカフェラー・スカンク,THE ROCKA FELLER SKANK,
ロッキンユー!!!,Rocking you!!!,
ロック&ジェム,ろっくあんどじぇむ,Rock and Gem
LOCK ON!,ろっくおん,LOCK ON!
ロック冒険記,ろっくぼうけんき,THE ADVENTURE OF ROCK
ロックマン(シリーズ),ROCKMAN,
ロックマン8(ロックマン&フォルテ),ろっくまん8,Megaman 8(Megaman and Forte)
ロックマン エグゼ,Rockman Exe,
ロックマンX(シリーズ),ろっくまんえっくす,ROCKMAN X
ロックマン ギガミックス,ROCKMAN GIGAMIX,
ロックマンゼクス(ロックマンゼクス アドベント),ROCKMAN ZX,
ロックマンゼロ,Rockman Zero,
ロックマンMANIAX,ろっくまんまにあっくす,ROCKMAN MANIAX
ロックマン メガミックス,ROCMAN MEGAMIX,
ロックマンワールド(シリーズ),Rockmanworld,
ロック・リーの青春フルパワー忍伝,ろっくりーのせいしゅんふるぱわーにんでん,Rock Lee No Seishin Full Power Ninden
ロックンゲームボーイ,Rock'n Game Boy,
Rock'n爆音,ろっくんこーる,Rock'n Coal
RRR (ロックンロールリッキー),ろっくんろーるりっきー,RRR
ロッテのおもちゃ!,Rotte's toy!,
ロップくん,Roppu kun,
六本木特命刑事COOL,ろっぽんぎとくめいでかくーる,ROPPONGI TOKUMEI DEKA COOL
覇-LORD,ろーど,LOAD
ロード・エルメロイII世の事件簿,ろーどえるめろいにせいのじけんぼ,Lord El-Melloi II no jikenbo
ロード・オブ・ザ・パチ子,ろーどおぶざぱちこ,Road of the Pachiko
ロードス島戦記 灰色の魔女,ろーどすとうせんきはいいろのまじょ,Record Of Lodoss War The gray witch
ロードス島戦記 ファリスの聖女,ろーどすとうせんき ふぁりすのせいじょ,Record of Lodoss War the Lady of Pharis
ロードス島戦記 炎の魔神,ろーどすとうせんきほのおのまじん,Record Of Lodoss War The malevolent deity of the flame
ROAD(塀内夏子版),ろーど ほりうちなつこばん,ROAD
ロードランナー,ROAD RUNNER,
ロビング・スコンク大逆転!,ろびんぐすこんくだいぎゃくてん,ROBING SKONK DAIGYAKUTEN
ロビンちゃん,Robin chan,
ローファイ・アフタースクール 〜五十嵐藍短編集〜,ろーふぁいあふたーすくーるいがらしらんたんぺんしゅう,Lo-fi After School
RPL〜ろーぷれ〜,ろーぷれ,RPL
ろーぷれぐるぐる,Roupure Guruguru,
RPG伝説ヘポイ,ろーぷれでんせつへぽい,RPG Densetsu Hepoi
ろぼおっ!,Roboo,
ロボ子ちゃんオーバーケア,ろぼこちゃんおーばーけあ,Robokochan Overcare
ロボ娘のアーキテクチャ,ろぼこのあーきてくちゃ,Quark's ARCHITECTURE
ロボこみ,Robokomi,
ロボこん!!,Robotcon,
ロボチョイA,ろぼちょいえーす,ROBO CHOI ACE
ロボッ太くん,ろぼったくん,ROBOTTAKUN
ロボットガールズZ,ろぼっとがーるずぜっと,ROBOT GIRLS Z
ロボット刑事,ろぼっとけいじ,Robotdecabary
ロボット残党兵,ろぼっとざんとうへい,Robot Zantouhei
ロボット三等兵,ろぼっとさんとうへい,Robot Santouhei
ロボットボーイズ,Robot Boys,
ろぼっとポリスゴヨーダくん,Robot police Goyodakun,
ロボットポンコッツ,Robot ponkottsu,
ROBOTICS;NOTES ドリームシーカー,ろぼてぃっくすのーつ どりーむしーかー,ROBOTICS;NOTES Dreamseeker
ROBOTICS;NOTES REVIVAL LEGACY,ろぼてぃっくすのーつ りばいばるれがしー,ROBOTICS;NOTES REVIVAL LEGACY
ロボとうさ吉,ろぼとうさきち,Robo&amp;Usakichi
ロボニートみつお,Robo Niito Mitsuo,
ROBOT×LASERBEAM(ロボレーザービーム),ろぼれーざーびーむ,ROBOT LASERBEAM
ロマノフ王朝伝説 北の密使,ろまのふおうちょうでんせつきたのみっし,Romanov Ouchou no Densetsu: Kita no Misshi
Roman,ろまん,Roman
浪漫倶楽部,ろまんくらぶ,Romance Club (Roman Club)
Romancers,ろまんさーず,Romancers
浪漫三重奏,ろまんさんじゅうそう,Romansannjuuso
ロマンシア「浪漫境伝説」,ろまんしあ,Romancia
ロマンシング サ・ガ,Romancing Sa Ga,
ロマンシングサガ2 (漫画版),ろまんしんぐさが2,Romancing saga2
ロマンチックください,Makes me fell romantic,
ロマンチック-山本崇一朗(裏)短編集-,ろまんちっく やまもとそういちろううらたんぺんしゅう,Romantic
ロマンチックアンティーク エミリィ My Love!!,ろまんてぃくあんてぃーくえみりいまいらぶ,Romantic Antiec Emily My Love!!
ROM―レス。,ろむれす,ROM-LESS
ロリコンフェニックス,Lolita Complex Phoenix,
ろりせん?,Lolisen? (Rorisen?),
ローリング☆ガールズ,ろーりんぐがーるず,THE ROLLING GIRLS
ろ〜りんぐ☆が〜るず インスピレーション×旅人,ろーりんぐがーるず いんすぴれーしょんとらべらー,THE ROLLING GIRLS Inspiration Traveller
ロロッロ!,Rororro!,
ロロの旅路,ろろのたびじ,Roro no tabiji
LOAN WOLF,ろーんうるふ,LOAN WOLF
LONG GOODBYE(ロング・グッドバイ),ろんぐぐっどばい,LONG GOODBYE
ろんぐらいだぁす!,Longriders!,
ロンジコーン,Ronjicorn,
ロン先生の虫眼鏡,ろんせんせいのむしめがね,Ron sensei no Mushimegane
ロンド・カプリチオーソ,Rondo capriccioso,
龍の首領,ろんどん,Ron-Don
ローンナイト(ローンナイト2),Loan knight,
ロンリーロード,Lonely Road,
ロンリー・ロン,Lonely RON,
