title,title_furigana,title_en
ルイは友を呼ぶ,るいはともをよぶ,Rui wa tomo o yobu
ルウ・ガル,Ru Garu,
ROOKIES(ルーキーズ),るうきいず,Rookies
琉伽といた夏,るかといたなつ,LUCA the summer I shared with you
ルー=ガルー 忌避すべき狼,るーがるー きひすべきおおかみ,Loups=garous Kihi subeki Okami
るきさん,Miss RUKI (Ruki san),
るくるく,Lucu lucu,
ルーザーズ 〜日本初の週刊青年漫画誌の誕生〜,るーざーずにほんはつのしゅうかんせいねんまんがしのたんじょう,Losers Nihon Hatsu No Syuukan Seinen Manngashi No Tanjou
ルサンチマン,Ressentiment,
ルシフェルの右手,るしふぇるのみぎて,Lucifer's right hand
ルーズ!ルーズ!!,Loose!Loose!!,
Look at ME!!,るっくあっとみー,Look at ME!!
LOOK UP!,るっくあっぷ,LOOK UP!
ルードヴィッヒ革命,るーどうぃっひかくめい,Ludwig Revolutional
ルードウィヒ・B,るーどうぃひ びー,Ludwig B
ルーとソロモン,Ru- to soromon,
√中学生(ルート中学生),るーとちゅうがくせい,Route Chuugakusei
ルート225,るーとにひゃくにじゅうご,Route225
√P ルートパラダイス,るーとぱらだいす,Route paradise
ルドルフ・ターキー,Rudolf Turkey,
ルナティック雑技団,るなてぃっくざつぎだん,Runatic Zatsugi dan
ルナティックHoney,るなてぃっくはにー,Lunatic honey
月的愛人(ルナティックラヴァーズ),るなてぃっくらばーず,Lunatic lovers
ルナハイツ,Luna Heights,
LUNAR ヴェーン飛空船物語,るなべーんひくうせんものがたり,Lunar Vane Hikuusen Monogatari
LUNAR-幼年期の終り,るなようねんきのおわり,Lunar Childhood's End
LUNALUNA,るなるな,LUNALUNA
Runin,るーにん,Runin
ルネサンス・イヴ,Renaissance Eve,
ルパン小僧,るぱんこぞう,Lupin boy
ルパン三世,るぱんさんせい,Lupin The 3rd (Lupin Sansei)
ルパン三世 VS 名探偵コナン THE MOVIE,るぱんさんせいぶいえすめいたんていこなん ざむーびー,Lupin the Third vs Detective Conan THE MOVIE
ルパン三世Y,るぱんさんせいわい,Lupin the 3rd Y
ルパン8世,るぱんはっせい,Lupin the 8th
ルーヴルの猫,るーぶるのねこ,Cat of the Louvre
るべどの奇石,るべどのきせき,Rubedonokiseki
ルポルタージュ,Reportage,
るみちゃんの事象,るみちゃんのじしょう,Rumi-chan no jishou
ルーム,Room,
ルームメイト,ROOMMATE,
ルリカ発進!,るりかはっしん,Rurika Hasshin!
瑠璃宮夢幻古物店,るりきゅうむげんこぶつてん,Rurikyuu Mugen Kobutsuten
瑠璃と料理の王様と,るりとりょうりのおうさまと,Ruri To Ryouri No Ousama To
ルルメイト,Lulumate,
流浪青年シシオ,るろうせいねんししお,Wandering young man Shishio
るろうに剣心 裏幕 -炎を統べる-,るろうにけんしん うらまく ほのおをすべる,Rurouni Kenshin Uramaku Honoo o suberu
るろうに剣心―キネマ版―,るろうにけんしん きねまばん,Rurouni Kenshin Kinema version
るろうに剣心〜明治剣客浪漫譚〜,るろうにけんしん めいじけんかくろまんたん,Rurouni Kenshin
るろうに剣心 -明治剣客浪漫譚・北海道編-,るろうにけんしん めいじけんかくろまんたん ほっかいどうへん,Rurouni Kenshin Meiji kenkaku romantan Hokkaidouhen
るんは風の中,るんはかぜのなか,Run ha kaze no naka
るんるんカンパニー,Run run company,
