title,title_furigana,title_en
THE UNLIMITED 兵部京介,ざ あんりみてっど ひょうぶきょうすけ,THE UNLIMITED Hyoubu kyousuke
菜,さい,SAI
最下層淫売遊女,さいかそういんばいゆうじょ,Saikasou imbai yuujo
サイカチ,SAIKACHI,
雑賀六字の城 信長を撃った男,さいがろくじのしろ のぶながをうったおとこ,Saiga rokujinosiro
最強拳士伝説 ファミコマンドー竜,さいきょうけんしでんせつ ふぁみこまんどーりゅう,FAMI COMMANDO RYU
最狂超プロレスファン烈伝,さいきょうすーぱーぷろれすふぁんれつでん,Saikyo Super Pro-Wrestring Fun Retsuden
最強伝説 黒沢〜The Legend of A strongest Man〜,さいきょうでんせつくろさわ,The Legend of A strongest Man
最強!都立あおい坂高校野球部,さいきょう とりつあおいざかこうこうやきゅうぶ,Saikyou toritu aoisaka koukou yakyuubu
最近、妹のようすがちょっとおかしいんだが。,さいきんいもうとのようすがちょっとおかしいんだが,Saikin Imouto no yousu ga chotto okasii n daga
最近この世界は私だけのモノになりました,さいきんこのせかいはわたしだけのものになりました,Saikin kono sekai ha watashi dakeno mono ni narimashita
最近の赤さん,さいきんのあかさん,Recent baby
サイクロプス少女さいぷ〜,さいくろぷすしょうじょさいぷ,Cyclops Girl Cypu
サイケまたしても,Psyche matashitemo,
西郷隆盛,さいごうたかもり,Takamori Saigou
サイコスタッフ,PSYCHO STAFF,
サイコドクター,Saiko doctor,
サイコドクター楷恭介,さいこどくたーかみきょうすけ,Psycho doctor Kyousuke Kai
最後の楽園(最後の学園),さいごのがくえん,Saigono rakuen
最後の制服,さいごのせいふく,Saigo no Seifuku
最後のレストラン,さいごのれすとらん,THE LAST RESTAURANT
PSYCHO-PASS サイコパス 2,さいこぱす2,PSYCHO-PASS 2
PSYCHO-PASS サイコパス,さいこぱす,PSYCHO-PASS
PSYCHO-PASS サイコパス 監視官 狡噛慎也,さいこぱす かんしかん こうがみしんや,PSYCHO-PASS Kanshikan Kougami Shinya
サイコバスターズ,Psycho Busters,
最後は? ストレート!!,さいごは すとれーと,The last-pitch fastball
PSYCHO+,さいこぷらす,PSYCHO+
サイコメトラー,PSYCHOMETRER,
サイコメトラーEIJI,さいこめとらーえいじ,Psychometler Eiji
サイコろまんちか,Psycho romantica,
最終兵器彼女,さいしゅうへいきかのじょ,"She, the ultimate weapon (Saisyu Heiki Kanojyo)"
最上の命医,さいじょうのめいい,Saijou no meii
最上の明医〜ザ・キング・オブ・ニート〜,さいじょうのめいい ざ きんぐ おぶ にーと,Saijou no Meii - The King of Neet -
再生学校,さいせいがっこう,Saisei gakkou (Reconstruction Agency)
サイダースファンクラブ,CIDERS FAN CLUB,
最底辺の男 -Scumbag Loser-,さいていへんのおとこ,Saieihen no Otoko -Scumbag Loser-
咲いて孫市,さいてまごいち,Saite Magoichi
斉藤さん,さいとうさん,Mrs.SAITO
サイトーくんは超能力者らしい,さいとーくんは えすぱーらしい,Rumor says that Saito is an ESPER
サイドストーリー・オブ・ガンダムZ,さいどすとーりーおぶがんだむぜーた,Side story of Gundam Z
サイドボーン,SIDE BORNE,
賽ドリル,さいどりる,Sai drill
電脳少女☆Mink,さいばーあいどるみんく,Cyber Idol Mink
最果てにサーカス,さいはてにさーかす,Une saison dans la vie de Chuya et de Hideo
CYBERブルー,さいばーぶるー,CYBER BLUE
サイバーブルー 失われた子供たち,さいばーぶるー うしなわれたこどもたち,CYBER BLUE: LOST NUMBER CHILDREN
サイバー桃太郎,さいばーももたろう,Cyber MOMOTAROH
西原理恵子の人生画力対決,さいばらりえこのじんせいがりょくたいけつ,Saibara Rieko no jinsei garyoku taiketu
裁判員の女神,さいばんいんのめがみ,Saibanin No Megami
裁判長!ここは懲役4年でどうすか,さいばんちょうここはちょうせきよねんでどうすか,Saiban-chou Koko ha Choueki 4 nen de dousuka
サイファー,PSYFER,
CIPHER(サイファ),さいふあ,CIPHER
Xiphos,さいふぉす,Xiphos
菜〜ふたたび〜,さい ふたたび,SAI Returns
サイボーイ,CY-BOY,
サイボーグ009,さいぼーぐ009,Cyborg 009
サイボーグクロちゃん,Cyborg Kurochan,
サイボーグクロちゃん番外バトル,さいぼーぐくろちゃんばんがいばとる,Cyborg Kurochan extra battle
SS〜サイボーグサラリーマン〜,さいぼーぐさらりーまん,Cyborg Salaryman
CYBORGじいちゃんG,さいぼーぐじいちゃんじー,Cyborg Jiityan G
サイボーグ009完結編 conclusion GOD'S WAR,さいぼーぐぜろぜろないんかんけつへん こんくるーじょん ごっず うぉー,Cyborg009 Kanketsuhen conclusion GOD'S WAR
サイボーグ009(シュガー佐藤版),さいぼーぐぜろぜろないん しゅがーさとうばん,Cyborg009 Sugar Sato ver.
サイボーグ009 00学園危機一髪,さいぼーぐぜろぜろないん ぜろぜろがくえんききいっぱつ,Cyborg009 00 Gakuen Kikiippatsu
サイボーグ009(土山よしき版),さいぼーぐぜろぜろないん つちやまよしきばん,Cyborg009 Yoshiki Tsuchiyama ver.
