title,title_furigana,title_en
聖アベリア女学院,せいあべりあじょがくいん,St.ABELIA Girl School (Sei aberia jogakuin)
聖域コンシェルジュ,せいいきこんしぇるじゅ,SEI-IKI CONCIERGE
聖王伝キリン,せいおうでん きりん,Seiouden KIRIN
正解するカド 青い春とレールガン,せいかいするかど あおいはるとれーるがん,KADO:The Right Answer Aoi Haru to Railgun
生活,せいかつ,Seikatsu
正義警官モンジュ,せいぎけいかんもんじゅ,Seigi Keikan Monju
正義の鬼 艮,せいぎのおに うしとら,USHITORA
正義の殺人鬼,せいぎのさつじんき,Seigi No Satsujinki
正義のシンボル コンドールマン(ひおあきら版),せいぎのしんぼる こんどーるまん ひおあきらばん,Condorman
正義の味方,せいぎのみかた,Seigi No Mikata
正義の味方計画,せいぎのみかたぷろじぇくと,Project ally of justice
正義の味方モンキーズ,せいぎのみかたもんきーず,Seigi no Mikata Monkeys
世紀末のエンジェル,せいきまつえんじぇる,Last century for angel
世紀末格闘少女伝説ぐれん,せいきまつかくとうしょうじょでんせつぐれん,Seikimatsu Kakutou Syoujo Densetsu Guren
世紀末堕天使を探して,せいきまつだてんしをさがして,Seikimatsu Datenshi o Sagashite
世紀末博狼伝サガ,せいきまつばくろうでんさが,SAGA
世紀末プライムミニスター,せいきまつぷらいむみにすたー,Seikimatsu prime minister
世紀末リーダー伝たけし!,せいきまつりーだーでんたけし,Seikimatatsu Leader Den Takeshi
セイクリッドセブン,Sacred Seven,
聖結晶アルバトロス,せいけっしょうあるばとろす,Holy Crystal Albatross
青血のハグルマ,せいけつのはぐるま,Seiketunohaguruma
青拳狼,せいけんうるふ,SEIKEN WOLF [Ikegami Ryoichi]
聖剣コトノハ,せいけんことのは,Seiken Kotonoha
聖剣伝説 ‐レジェンドオブマナ-,せいけんでんせつれじぇんどおぶまな,Sword of Mana - Legend of Mana -
聖剣の刀鍛冶,せいけんのぶらっくすみす,The Sacred Blacksmith
聖痕のクェイサー,せいこんのくぇいさー,Seikon no Qwaser
生者の行進,せいじゃのこうしん,Seija no koushin
青春甘辛煮,せいしゅんあまからに,Seishun Amakarani
青春改札口,せいしゅんかいさつぐち,Seishun kaisatsuguchi
青春過剰Sisters,せいしゅんかじょうしすたーず,Seishun kajou sisters
青春奇人伝!240学園,せいしゅんきじんでんにしおがくえん,Seisyun Kijinden Nishio Gakuen
青春してるかい!,せいしゅんしてるかい,Seishun Shiterukai!
青春少年マガジン1978〜1983,せいしゅんしょうねんまがじん1978から1983,Seishun Shonen Magazine 1978-1983
青春スウィートトラック,せいしゅんすうぃーととらっく,Seishun sweet track
青春相関図,せいしゅんそうかんず,Seishun soukanzu
青春動物園ズウ,せいしゅんどうぶつえんずう,Seishun Doubutuen ZOO
青春×機関銃,せいしゅんときかんじゅう,Seishun x kikanju
青春ドーパミン,せいしゅんどーぱみん,Seishun Dopamine
セイシュンの食卓,せいしゅんのしょくたく,Seishun no shokutaku
青春ヒヒヒ,せいしゅんひひひ,Seishun hihihi
青春ビンタ!,せいしゅんびんた,Seishun Binta!
青春5,せいしゅんふぁいぶ,Seishunfive
青春フォーゲット!,せいしゅんふぉーげっと,Seishun forget!
青春兵器ナンバーワン,せいしゅんへいきなんばーわん,Seishunheiki No.1
青春ラリアット!!,せいしゅんらりあっと,Seishun Lariat!!
青春Re:トライ,せいしゅんりとらい,Seishun Re:Try
成城紅茶館の事情,せいじょうこうちゃかんのじじょう,Sejoukouchakannojijou
青少年アシベ,せいしょうねんあしべ,Seishounen Ashibe
性食鬼,せいしょくき,Seisyokuki
せいせいするほど、愛してる,せいせいするほどあいしてる,Seiseisuruhodo aishiteru
