title,title_furigana,title_en
C,しー,C
G,じー,G
しあわせ,Happiness -Shiawase-,
幸福喫茶三丁目,しあわせきっささんちょうめ,Happy cafe
シアワセ行進曲,しあわせこうしんきょく,Shiawase Koshinkyoku
しあわせ団地,しあわせだんち,Shiawase Danchi
しあわせのかたち,Stile By Happy,
しあわせの星 ハガル,しあわせのほし はがる,Star of the happiness Haghall
幸せレストラン,しあわせれすとらん,Happy Restaurant
爺さんと僕の事件帖,じいさんとぼくのじけんちょう,Jiisan to Boku no Jikenchou
シーイズマイン,Shi-izumain,
四稲家の人々,しいなけのひとびと,Shiina ke no hitobito
椎名百貨店超GSホームズ極楽大作戦,しいなひゃっかてんすーぱーじーえすほーむずごくらくだいさくせん,Shiina hyakkaten super GS ho-muzu gokuraku daisakusen
シェアバディ,Share Body,
JA〜女子によるアグリカルチャー〜,じぇいえー じょしによるあぐりかるちゃー,JA Joshi ni yoru Agriculture
Shake Down,しぇいくだうん,Shake Down
Jドリーム,じぇいどりーむ,J-dream
Jドリーム・完全燃焼編,じぇいどりーむかんぜんねんしょうへん,J-dream kanzen nenshou-hen
Jドリーム・飛翔編,じぇいどりーむひしょうへん,J-dream hishou-hen
シェイファー・ハウンド,Schaferhund,
シェイプアップ乱,しぇいぷあっぷらん,Shape-up Ran
GA 芸術科アートデザインクラス,じーえー げいじゅつかあーとでざいんくらす,GA Art department art design class (GA Art Geijutsuka Art Design Class)
JKすぷらっしゅ!,じぇーけーすぷらっしゅ,JK splash!
THE EDGE,じ えっじ,THE EDGE
CAとお呼びっ!,しーえーとおよびっ,CA to oyobi!
ジェネラル・ルージュの凱旋,じぇねらるるーじゅのがいせん,The Triumphant Return of General Rouge
ジェノサイダー,Genocider,
完殺者真魅,じぇのさいだーまみ,Genocider Mami
ジェノサイド 真田十勇士VS里見八犬士,じぇのさいど さなだじゅうゆうしばーさすさとみはっけんし,Genocide
ジェノサイバー,Genocyber,
GENOMES(ジェノムズ),じぇのむず,GENOMES
GA道 (GAみち),じーえーみち,GA-MITI
C.M.B.森羅博物館の事件目録,しーえむびーしんらはくぶつかんのじけんもくろく,C.M.B.
ジェリービーンズ,JELLY BEANS,
シェリフ,Sheriff,
ジェリーボーイ,Jerry Boy,
シェリル〜キス・イン・ザ・ギャラクシー〜,しぇりる きすいんざぎゃらくしー,SHERYL -Kiss in the Galaxy-
THE END,じ えんど,THE END
Z-END(ジエンド),じえんどじえんど,Z-END (Kenichi Muraeda)
ジェントルさん,Gentlesan,
ジオと黄金と禁じられた魔法,じおとおうごんときんじられたまほう,Jio to Ogon to Kinjirareta Maho
汐ノ宮綾音は間違えない。,しおのみやあやねはまちがえない,Shionomiya Ayane wa machigaenai
ジオブリーダーズ,GEOBREEDERS,
ジオラマボーイパノラマガール,Georama boy panorama garl,
SHIORI EXPERIENCE ジミなわたしとヘンなおじさん,しおりえくすぺりえんす じみなわたしとへんなおじさん,SHIORI EXPERIENCE jimina watashi to henna ojisan
栞と紙魚子の生首事件,しおりとしみこのなまくびじけん,Shiori to shimiko no namakubijiken
しおんの王,しおんのおう,THE FLOWERS OF HARD BLOOD
シオン魔日記,しおんまにっき,The diary of sion
ジガ -ZIGA-,じが,ZIGA
しかくいシカク,Square Square (Shikakui Shikaku),
四角いジャングル,しかくいじゃんぐる,Shikakui Janguru
仕掛人藤枝梅安,しかけにんふじえだばいあん,Shikakenin Fujiedabaian(BAIAN The ASSASSIN)
仕掛人 藤枝梅安(武村勇治版),しかけにん ふじえだばいあん たけむらゆうじばん,Shikakenin Fujieda Baian 2016
シカゴ,Sikago,
四月は君の嘘,しがつはきみのうそ,4gatsu wa kimi no uso
シガテラ,Shigatera,
屍姫,しかばねひめ,Shikabane Hime
屍牙姫,しがひめ,Shigahime
死がふたりを分かつまで,しがふたりをわかつまで,Shi ga Futari wo Wakatsu made
時間救助隊 タイマー3,じかんきゅうじょたい たいまーすりー,TIMER 3
時間旋律,じかんせんりつ,Time melody
時間をとめて待っていて,じかんをとめてまっていて,Time stpo foll in love
史記,しき,Shiki
敷居の住人,しきいのじゅうにん,Shikii no Juunin
四季おりおりっ!,しきおりおり,Shiki Oriori
シキソー 警視庁第4機動捜査隊,しきそー けいしちょうだいよんきどうそうさたい,Shikisou
式の前日,しきのぜんじつ,The Wedding Eve
屍鬼,しき ふじさきりゅう,Shiki
弑逆契約者ファウスツ,しぎゃくけいやくしゃふぁうすつ,Shigyaku Keiyakusya Fausts
自虐の詩,じぎゃくのうた,Jigyaku no uta
C級さらりーまん講座,しーきゅうさらりーまんこうざ,Workers Course C Class
ジキルとハイドと裁判員,じきるとはいどとさいばんいん,Jekyll to Hyde to Saibanin
時空英雄仮面ライダー,じくうえいゆうかめんらいだー,Jikuueiyuumaskedrider
時空探偵ゲンシクン、進め!ジクモン探偵団,じくうたんていげんしくんすすめじぐもんたんていだん,Jiku tantei Gensikun suusme Jigumon tanteidan
時空転抄ナスカ,じくうてんしょうなすか,Nazca
ZIG★ZAG,じくざぐ,ZIGZAG
ジグザグ雷道,じぐざぐらいど,Jiguzagu Raido
しくしくしくし,Shikushikushikushi,
シグナル100,しぐなるひゃく,Signal 100
シグナルブルー,Signal Blue,
G組のG,じーぐみのじー,G gumi no G
シグルイ,Shigurui,
Secret,しーくれっと,Secret
シークレットコード 不機嫌な暗号探偵,しーくれっとこーど ふきげんなあんごうたんてい,Secret Code A DISPLEASED DETECTIVE OF CIPHER
シークレット5,しーくれっとふぁいぶ,Secret 5
ZIG world can't Allow Terror,じぐわーるどちゃんとあろうてろ,ZIG world can't Allow Terror
死刑執行中脱獄進行中,しけいしっこうちゅうだつごくしっこうちゅう,Shikei shikkou chu datsugoku sinkou chu
死刑囚042,しけいしゅうおしに,Shikeishuu 042
死刑遊戯,しけいゆうぎ,Death Penalty
事件記者トトコ!,じけんきしゃととこ,Jiken kisha Totoko!
事件列島ブル,じけんれっとうぶる,Jiken Rettou Bull
始皇帝暗殺,しこうていあんさつ,Assassinated by Fast Imperial
じごくあね,Jigoku Ane,
地獄甲子園,じごくこうしえん,JIGOKU KOUSHIEN
地獄少女,じごくしょうじょ,Hell Girl (Jigoku Shoujo)
地獄星レミナ,じごくせいれみな,Jigokusei Remina
地獄先生ぬ〜べ〜,じごくせんせいぬーべー,Hell Teacher Nube (Jigoku Sensei Nube)
地獄先生ぬ〜べ〜 NEO,じごくせんせいぬーべーねお,Jigoku Sensei Nube Neo
G〜GOKUDO GIRL〜,じー ごくどうがーる,G GOKUDO GIRL
地獄堂霊界通信,じごくどうれいかいつうしん,Jigokudou Reikai Tsuushin
地獄のアリス,じごくのありす,Jigoku no Alice
地獄の家,じごくのいえ,Hell's house
地獄の軍団,じごくのぐんだん,Army corps of the hell
地獄の子守唄,じごくのこもりうた,Lullabies From Hell
地獄のどくどく姫,じごくのどくどくひめ,Jigoku no Dokudoku hime
地獄のリラックス温泉,じごくのりらっくすおんせん,JIGOKU NO RELAX ONSEN
地獄楽,じごくらく,Jigokuraku
Cコート,しーこーと,C court
仕事でおさる,しごとでおさる,Shigoto de osaru
シコふんじゃえば?,Shiko funjaeba?,
じこまん 〜自己漫〜,じこまん,JIKOMAN
ジゴロー,ZIGOROU,
ジゴロ次五郎,じごろじごろう,Jigoro Jigorou
ジーザス,Jesus,
SCISSORS(シザーズ),しざーず,SCISSORS
JESUS 砂塵航路,じーざすさじんこうろ,JESUS Sajin Kouro
自殺サークル,じさつさーくる,SUICIDE CIRCLE
自殺島,じさつとう,Suicide Island (Jisatsuto)
獣〜シシ〜,しし,Shishi
シージェッター海斗,しーじぇったー かいと,SEA JETTER KAITO
じじばばファイト!,JIJI BABA FIGHT!,
思春機13号,ししゅんき13ごう,Shishunki 13 gou
思春期シンドローム,ししゅんきしんどろーむ,Sisyunki syndrome
思春期生命体ベガ,ししゅんきせいめいたいべが,Shishunki Seimeitai Vega
思春期刑事ミノル小林,ししゅんきでかみのるこばやし,Shishunki Deka Minoru Kobayashi
思春期のアイアンメイデン,ししゅんきのあいあんめいでん,Shisyunki no Ironmaiden
思春鬼のふたり,ししゅんきのふたり,Shishunki no futari
思春期ビターチェンジ,ししゅんきびたーちぇんじ,SHISYUNKI BITTER CHANGE
思春期未満お断り,ししゅんきみまんおことわり,Doing and refusal of
史上最強の弟子ケンイチ,しじょうさいきょうのでしけんいち,Sijou saikyou no deshi kenichi
G'sあんだーぐらうんど,じーずあんだーぐらうんど,G's underground
静かなるドン,しずかなるどん,Shizukanaru Don
しずかの山,しずかのやま,Shizuka no yama
しずくの風景,しずくのふうけい,Sizuku no huukei
シスコなふたり,SHISUKO NA FUTARI,
侵略妹アリス (シスターアリス),しすたーありす,Sister Alice
しすたー・いん・らう!,Sister in law!,
シスターとヴァンパイア,Shisuta- to vanpaia,
シスターレッド,SISTER RED,
シスプラス,Sis Plus,
私説昭和文学,しせつしょうわぶんがく,My theory Showa literature
私設花野女子怪館,しせつはなのじょしかいかん,Shisetsu Hanano joshikaikan
ジゼル・アラン,Gisele Alain,
G戦場ヘヴンズドア,じーせんじょうへうんずどあ,G Senjo Heaven's Door
時代劇傑作集,じだいげきけっさくしゅう,Jidaigeki Kessakushu
自宅警備姫テラス,じたくけいびひめてらす,NEET Princess Terrass
仕立屋工房 Artelier Collection,したてやこうぼう,Shitateya koubou: Artelier Collection
下町の太陽(ドクター),したまちのどくたー,Shitamachi No Doctor
示談交渉人M,じだんこうしょうにんえむ,Negotiator M( Jidan Koushou nin M )
シチサンメガネ,Shichi-san Megane,
7時間目の音符,しちじかんめののーと,7jikanme no note
七人の侍,しちにんのさむらい,Seven Samurai
7人のシェイクスピア,しちにんのしぇいくすぴあ,Shitinin No Sheikusupia
七人のナナ,しちにんのなな,SEVEN OF SEVEN
7人ライダー最後の大決戦,しちにんらいだーさいごのだいけっせん,7 Riders the final battle
シチ=フク,しちふく,SHICHI=FUKU
SIX,しっくす,SIX
しっくすてぃず,60's,
漆黒のカース,しっこくのかーす,SHIKKOKU NO KAHSU
漆黒の薔薇バルドゥイーン,しっこくのばら ばるどぅいーん,Balduin rose of Darkness
執事少女とお嬢様,しつじしょうじょとおじょうさま,Shitsuji shoujo to ojousama
失踪宣言,しっそうせんげん,Shissou Sengen
失踪日記,しっそうにっき,Sissou Nikki
失踪日記2 アル中病棟,しっそうにっき2 あるちゅうびょうとう,Sissou nikki2 Aruchu Byoutou
失踪人ハンターエル,しっそうにんはんたーえる,Shissounin Hunter Eru
しったかブリリア,Sittaka Brilla,
実は私は,じつはわたしは,I am...
疾風ういんどみる!,しっぷうういんどみる,Shippuu windmill!
疾風迅雷,しっぷうじんらい,Shippuujinrai
疾風天国 風のクロノア,しっぷうてんごく かぜのくろのあ,Shippuu Tengoku kaze no Kuronoa
しっぷうどとう,Sittupuu Dotou,
疾風・虹丸組,しっぷうにじまるぐみ,Shippuu Nijimarugumi
疾風のジーク 杉根英朋短編集,しっぷうのじーく すぎねひでともたんぺんしゅう,Sippuu no Zeek Hidetomo Sugine Short stories
疾風の勇人,しっぷうのはやと,Shippu no Hayato
失恋ショコラティエ,しつれんしょこらてぃえ,Shitsuren Chocolatier
実録鬼嫁日記,じつろくおによめにっき,Jitsuroku Oniyome Nikki
実録!神輪会,じつろくしんわかい,Jituroku Sinwakai
実録たかされ,じつろくたかされ,Jitsuroku Taka-Sare
実録 泣くまでボコられてはじめて恋に落ちました。,じつろく なくまでぼこられてはじめてこいにおちました,Jitsuroku Nakumade Bokorarete Hajimete Koi ni ochimashita
CITY(あらゐけいいち),してぃ あらいけいいち,City
GT-R,じーてぃーあーる,GT-R
GTO,じーてぃーおー,GTO
GTO SHONAN 14 DAYS,じーてぃーおー しょうなん ふぉーてぃーん でいず,GTO SHONAN 14 DAYS
GTO パラダイス・ロスト,じーてぃーおー ぱらだいすろすと,GTO paradise lost
CITY GAME 〜都市遊戯〜,してぃーげーむ としゆうぎ,CITY GAME
CITY HUNTER(シティーハンター),してぃーはんたー,City Hunter
