title,title_furigana,title_en
ゾイドSS,ぞいどえすえす,ZOIDS SS
ZOIDSバトルカード戦士 コマンダーTERU,ぞいどばとるかーどせんしこまんだーてる,Commander TERU(ZOIDS Battlecard senshi Commander TERU)
ゾイドバトルコミック,ZOIDSBATTLECOMIC,
ZOIDS惑星Zi,ぞいどぷらねっとずぃー,GALAXY QUEST PLANET Zi
SOIL,そいる,Soil
総員玉砕せよ!,そういんぎょくさいせよ,Souin Gyokusai Seyo!
早雲の軍配者,そううんのぐんばいしゃ,Souun no Gunbaisha
蒼眼赤髪〜ローマから来た戦国武将〜,そうがんせきはつ ろーまからきたせんごくぶしょう,Sougan Sekihatsu - Roma kara kita sengoku bushoo
葬儀屋リドル,そうぎやりどる,Undertaker Riddle
蒼穹三国志,そうきゅうさんごくし,Sokyu SANGOKUSHI
蒼穹のアリアドネ,そうきゅうのありあどね,Ariadne in the blue sky.
蒼穹のファフナー - Dead Aggressor -,そうきゅうのふぁふなー,Fafner in the Azure: Dead Aggressor (Soukyu no Fafner: Dead Aggressor)
蒼穹のファフナー(月刊少年シリウス版),そうきゅうのふぁふなー げっかんしょうねんしりうすばん,Fafner in the Azure: Dead Aggressor 2014
送球ボーイズ,そうきゅうぼーいず,Sokyu Boys
蒼空戦線,そうくうせんせん,The Air Combat In The Pacific War
蒼空の盾(イージス),そうくうのいーじす,Soukuu no Aegis
双月巫女,そうげつみこ,Sougetsumiko
装甲騎兵ボトムズ(岡崎優版),そうこうきへいぼとむず おかざきゆうばん,Armored Trooper Votoms (Okazaki Yuu)
装甲騎兵ボトムズ 赫奕たる異端,そうこうきへいぼとむずかくやくたるいたん,Armored Trooper Votoms Kakuyakutaru Itan
装甲騎兵ボトムズ CRIMSON EYES,そうこうきへいぼとむずくりむぞんあいず,ARMORED TROOPER VOTOMS CRIMSON EYES
装甲騎兵ボトムズ(のなかみのる版),そうこうきへいぼとむず のなかみのるばん,Armored Trooper Votoms
総合時間事業会社 代表取締役社長専属秘書 田中誠司,そうごうじかんじぎょうがいしゃ だいひょうとりしまりやくしゃちょうせんぞくひしょ たなかせいじ,Sougou jikan jigyou gaisha Daihyou torishimariyaku shachou Senzoku hisho Tanaka Seiji
奏光のストレイン,そうこうのすとれいん,Soukou no Strain
装甲武神ヤマテック,そうこうぶしんやまてっく,Armored Wushin Yamatech
草子ブックガイド,そうこぶっくがいど,Souko book guide
宗三郎・見参!,そうざぶろうけんざん,Souzaburou came.
掃除当番 武富健治作品集,そうじとうばん たけとみけんじさくひんしゅう,Souji Touban
創聖のアクエリオン 〜虚空の天翅〜,そうせいのあくえりおん こくうのてんし,Sousei no Aquarion Kokuu no Tenshi
創聖のアクエリオン 〜未来神話〜,そうせいのあくえりおん みらいしんわ,Genesis of Aquarion mirai shinwa
双星の陰陽師,そうせいのおんみょうじ,Sousei no onmyouji
創世のタイガ,そうせいのたいが,Sousei no Taiga
葬送鬼レギナルト,そうそうきれぎなると,Sousouki reginald
創造者の罠,そうぞうしゃのわな,Sozosha no Wana
葬送のリミット,そうそうのりみっと,Limit Of Funeral
壮太くんのアキハバラ奮闘記,そうたくんのあきはばらふんとうき,Soutakun no Akihabara huntouki
創太郎の出張ぼっちめし,そうたろうのしゅっちょうぼっちめし,Sotaro's lonely lunch of business trip
蒼天航路,そうてんこうろ,Soten Koro
蒼天の拳,そうてんのけん,Souten no Ken
ソウナンですか?,Sounandesuka?,
象の怒り,ぞうのいかり,Anger of the elephant
象の背中,ぞうのせなか,Zou no senaka
双亡亭壊すべし,そうぼうていこわすべし,Souboutei kowasu beshi
走馬灯株式会社,そうまとうかぶしきがいしゃ,Revolving lantern a stock company
総務部総務課 山口六平太,そうむぶそうむかやまぐちろっぺいた,Soumubu Soumuka Yamaguchi Roppeita
総理の椅子,そうりのいす,Souri no isu
創竜伝,そうりゅうでん,Souryuden
総理を殺せ,そうりをころせ,Kill the Prime Minister
ソウルイーター,SOUL EATER,
ソウルイーターノット!,SOUL EATER NOT!,
ソウルガジェット,SOUL GADGET,
SOUL CATCHER(S) (ソウルキャッチャーズ),そうるきゃっちゃーず,Soul Catchers
SOUL 覇 第2章,そうるはだいにしょう,Soul Ha 2nd
ソウルメッセンジャー,Soul messenger,
ソウルリヴァイヴァー,SOUL ReVIVER,
ソウルリヴァイヴァー SOUTH,そうるりばいばーさうす,Soul Reviver SOUTH
蔵六の奇病,ぞうろくのきびょう,ZOUROKUNOKIBYOU
続・11人いる! 東の地平・西の永遠,ぞく11にんいる ひがしのちへいにしのとわ,Zoku 11 nin iru higashi no chihei nishi no towa
ゾクセイ,Zokusei,
そこテストにでます!,Soko test ni demasu!,
そこぬけRPG,そこぬけあーるぴーじー,Sokonuke RPG
そこはぼくらの問題ですから,そこはぼくらのもんだいですから,Sokoha Bokurano Monndai Desukara
そして-子連れ狼 刺客の子,そして こづれおおかみ しかくのこ,Sosite Kodure Okami Shikaku no ko
そして僕らは家族になる,そしてぼくらはかぞくになる,Soshite bokura wa kazoku ni naru
ゾゾゾ ゾンビ〜くん,ぞぞぞ ぞんびーくん,Zozozo Zonbikun
育ってダーリン!!,そだってだーりん,Sodatte Darling!!
ソダテコ,SODATEKO,
卒業 - さらば、ワイルドターキーメン -,そつぎょう さらば わいるどたーきーめん,"Graduation: Good bye, Wild-Turkey-Men"
速攻生徒会,そっこうせいとかい,SOKKOU SEITOKAI
ソップ型,そっぷがた,Soppu gata
そーどあーと☆おんらいん。,そーどあーとおんらいん,Sword Art Online
ソードアート・オンライン アインクラッド,Sword Art Online Aincrad,
ソードアート・オンライン オルタナティブ ガンゲイル・オンライン,Sword Art Online Alternative Gun Gale Online,
ソードアート・オンライン ガールズ・オプス,Sword Art Online Girls ops,
ソードアート・オンライン キャリバー,Sword Art Online Caliber,
ソードアート・オンライン ファントム・バレット,Sword Art Online Phantom Bullet,
ソードアート・オンライン フェアリィ・ダンス,Sword Art Online Fairy Dance,
ソードアート・オンライン プログレッシブ,Sword Art Online Progressive,
ソードアート・オンライン マザーズ・ロザリオ,Sword Art Online Mothers Rosario,
装刀凱-ソードガイ-,そーどがい,SWORDGAI
装刀凱Evolve-ソードガイ ヱヴォルヴ-,そーどがいえぼるぶ,SwordGai Evolve
