title,title_furigana,title_en
ZOO (ズー),ずー,ZOO
水域,すいいき,Suiiki
水軍の将 小西行長伝,すいぐんのしょう こにしゆきながでん,Suigun no shou Konishi Yukinaga den
水滸伝 (横山光輝版),すいこでん,Water Margin
水滸伝 (夏秋のぞみ版),すいこでん かしゅうのぞみばん,Water Margin(Kasyu Nozomi version)
水滸伝 (さいとう・たかを版),すいこでんさいとうたかをばん,Suikoden Saitou Takao Ver
彗星★少年団,すいせいしょうねんだん,Suisei Shounendan
翠星のガルガンティア,すいせいのがるがんてぃあ,Gargantia on the Verdurous Planet
翠星のガルガンティア 水端のベローズ,すいせいのがるがんてぃあ みずはなのべろーず,Gargantia on the Verdurous Planet Mizuhana no Bellows
翠星のガルガンティア 〜めぐる航路、遥か〜,すいせいのがるがんてぃあ めぐるこうろはるか,Gargantia on the Verdurous Planet -Meguru kouro haruka-
水族館ガール,すいぞくかんがーる,Suizokukan Girl
Switch,すぃっち,Switch
スイッチガール!!,Switch girl,
switch(波切敦版),すいっち なみきりあつしばん,Switch Namikiri Astushi Ban
スイッチ ―望月花梨版―,すいっち もちづきかりんばん,Switch by Karin Motizuki
スイーツどんぶり,Sweets Donburi,
SWEET三国志,すいーとさんごくし,SWEET SANGOKUSHI
スイートプリキュア♪,すいーとぷりきゅあ,Suite Precure
スイートプールサイド,Sweet Poolside,
すいーとプロミス,Sweet promise,
Sweet Home,すいーとほーむ,Sweet Home
スイート マジック シンドローム,Sweet Magic Syndrome,
すいーとるーむ?,SWEET ROOM?,
睡沌氣候,すいとんきこう,Suitonkikou
炊飯器少女コメコ,すいはんきしょうじょこめこ,Rice cooker girl Komeko (Suihanki shoujo Komeko)
水平線のシャチ,すいへいせんのしゃち,Suiheisen No Shachi
すいまさんといっしょ,Suima-san to issho,
スイようび,Suiyoubi,
推理の星くん,すいりのほしくん,Little detective trickstar Hoshi
Switch‐スウィッチ,すうぃっち よねはら ひでゆき,Switch Switch
Swing JOKER,すうぃんぐじょーかー,Swing JOKER
SWOT,すうぉっと,SWOT
数学女子,すうがくじょし,Suugaku joshi
すうぱあかぐや姫,すうぱあかぐやひめ,Super Kaguya-hime
据次タカシの憂鬱,すえつぐたかしのゆううつ,Disconsolate days of Takashi Suetsugu
スカイガールズ,SKY GIRLS,
スカイハイ,SKYHIGH,
スカイブルー,Skyblue,
スカイ・ワールド,SKYWORLD,
スカウト誠四郎,すかうとせいしろう,Scout Seishirou
スカート,Skirt,
スカートダーリン,Skirt darling,
スカーリーおじさん (シリーズ),Scarry,
スカルキラー邪鬼王,すかるきらーじゃきおう,Skullkiller Jyakioh
スカルマン THE SKULL MAN(島本和彦版),すかるまん しまもとかずひこばん,THE SKULL MAN (Shimamoto Kazuhiko)
スカルマン THE SKULL MAN(MEIMU版),すかるまん めいむばん,THE SKULL MAN (MEIMU)
スキエンティア,Scientia,
好き!すき!!魔女先生(吾妻ひでお版),すきすきまじょせんせい あずまひでおばん,Suki! Suki!! Majosensei
すき。だからすき,Suki dakara Suki,
好きっていいなよ。,すきっていいなよ,Sukitte ii na yo
好きって言わせる方法,すきっていわせるほうほう,Sukitte Iwaseru Houhou
