title,title_furigana,title_en
だぁ!だぁ!だぁ!,Daa! Daa! Daa! (UFO Baby),
第3のギデオン,だい3のぎでおん,Daisan no Gideon
大亜門短編集 クレイジー大亜門道,だいあもんたんぺんしゅう くれいじーだいあもんどう,Crazy Dai Amon-Dou Dai Amon Short Stories
ダイアモンド・ステップ,Diamond Step,
ダイアモンドピンク,Diamond Pink,
大王,だいおう,Daioh
TIGER & BUNNY,たいがー あんど ばにー,TIGER &amp; BUNNY
TIGER & BUNNY(上田宏版),たいがーあんどばにー うえだひろしばん,TIGER &amp; BUNNY (Hiroshi Ueda version)
大怪獣ガメラ,だいかいじゅうがめら,GameraTheGreatMonstar
大怪獣激闘 ガメラ対バルゴン COMIC VERSION,だいかいじゅうげきとうがめらたいばるごんこみっくばーじょん,Gamera vs barugon
大怪獣バトル ウルトラアドベンチャー,だいかいじゅうばとる うるとらあどべんちゃー,Daikaijuu Battle Ultra Adventure
大合作(大合作2),だいがっさく,Great collaboration
タイガー博士,たいがはかせ,Tiger hakase
タイガーブックス,Tiger Books Osamu Tezuka,
タイガーマスクⅡ世,たいがーますく2せい,Tiger Mask 2
タイガーマスク,Tiger Mask,
大カラスヤサトシの大発明大王,だいからすやさとしのだいはつめいだいおう,Dai Karasuya Satoshi no Dai Hatsumei Daiou
大器のマウンド,たいきのまうんど,Taiki no mound
大樹の道,たいきのみち,Road of Taiki
大金星,だいきんぼし,Daikimboshi
大空港,だいくうこう,Big Airport
大空魔竜ガイキング,だいくうまりゅうがいきんぐ,Daikumaryugiking
第九征空騎兵師團,だいくせいくうきへいしだん,Daiku Seikuu Kihei Shidan
第九の波濤,だいくのはとう,The Ninth Wave
大甲子園,だいこうしえん,Great Koshien
大攻者ナギ,だいこうしゃなぎ,Daikosha Nagi
大洪水時代,だいこうずいじだい,Dikouzui jidai
第伍特捜,だいごとくそう,Daigo tokusou
第三次性徴期、大塚くん!,だいさんじせいちょうき おおつかくん,Daisanji Seichouki Ootsuka kun
第三世界の長井,だいさんせかいのながい,Dai san Sekai no Nagai
大使閣下の料理人,たいしかっかのりょうりにん,Le Chef Cuisinier de L' Ambassadeur
たいして良い思い出もできそうにない学校生活,たいしてよいおもいでもできそうにないがっこうせいかつ,Taishite Yoi Omoide mo dekisou ni nai Gakkou seikatsu
大市民,だいしみん,The large citizens
大市民21,だいしみん21,Daisimin21
大市民日記,だいしみんにっき,Dially Of largecitizen
大樹のマウンド,だいじゅのまうんど,Daiju No Mound
大正乙女カルテ,たいしょうおとめかるて,Taisho Otome karte
大将軍 森へ行く,だいしょうぐん もりへいく,Daishogun mori he iku
大正小町事件帖 櫻の一番!,たいしょうこまちじけんちょうさくらのいちばん,Taisho Komachi Jiken-cho: Sakura no ichiban!
大正柔術物語KASUMI,たいしょうじゅうじゅつものがたり かすみ,KASUMI
大正まろん,たいしょうまろん,TAISHO MARON
大正野球娘。,たいしょうやきゅうむすめ,Taisho Yakyu Musume
大正野郎,たいしょうやろう,Taishou Yarou
大正四葉セレナーデ,たいしょうよつばせれなーで,Taishou yotsuba serenade
大正浪漫 鬼さんやめてえぇっ!!,たいしょうろまん おにさんやめてえぇっ,Taishou roman Oni-san yameteee!!
