title,title_furigana,title_en
出逢った頃の君でいて,であったころのきみでいて,Deatta koro no kimi de ite
出会って5秒でバトル,であってごびょうでばとる,Deatte 5 Byou de Battle
出会って12時間で婚約した話。,であってじゅうにじかんでこんやくしたはなし,A story engaged in 12 hours after meeting
dear,でぃあ,Dear
Dear Emily... 〜da capo〜,でぃあえみりー だかーぽ,Dear Emily da capo
DearS (ディアーズ),でぃあーず,DearS
ティアーズ・トゥ・ティアラ 花冠の大地,てぃあーずとうてぃあらかかんのだいち,Tears to Tiara: Earth's Wreath
ディアスポリス 異邦警察,でぃあすぽりす いほうけいさつ,Dias Police
ディアティア,Dear Tear,
DEAR BOYS (DEAR BOYS Act II / DEAR BOYS Act III),でぃあぼーいず,DEAR BOYS (DEAR BOYS Act II
DIABOLUS(ディアボロス),でぃあぼろす,DIABOLUS
ディアボロのスープ,Diabolo no soup,
ディア マイン,Dear Mine,
Dear Monkey 西遊記,でぃあーもんきーさいゆうき,Dear Monkey Saiyuuki
ディアルガVSパルキアVSダークライ 劇場版ポケットモンスタースペシャルコミック,でぃあるがたいぱるきあたいだーくらい げきじょうばんぽけっともんすたーすぺしゃるこみっく,Pokemon: The Rise of Darkrai Theater version Pokemon special comic
帝一の國,ていいちのくに,Teiichi no kuni
D・N・A2〜何処かで失くしたあいつのアイツ〜,でぃーえぬえー つー どこかでなくしたあいつのあいつ,DNA2 - Dokoka de Nakushita Aitsu no Aitsu -
D・N・ANGEL(ディー・エヌ・エンジェル),でぃーえぬえんじぇる,DNAngel
D・M激王伝ゲット,でぃーえむげぎおうでんげっと,Duel Masters gekiouden Getto
ディエンビエンフー,Dien Bien Phu,
TEI OH-!(ていおー!),ていおー,TEI OH-!
帝王,ていおう,TEIOU
帝王への道,ていおうへのみち,Teiou Heno Miti
でぃおてぃまにゅある 〜神様たちの恋愛代行〜,でぃおてぃまにゅある かみさまたちのれんあいだいこう,Dioti Manual Kamisamatachi no Renai Daikou
てーきゅう,Teekyu,
テイク・ザBスタジオ,ていくざびーすたじお,TAKE THE B STUDIO
D.Gray-man (ディー・グレイマン),でぃーぐれいまん,D.Gray-man
TKman,てぃーけーまん,TKman
帝国の神兵,ていこくのしんぺい,Teikoku no Shinpei
ディザインズ,Designs,
TG天使ジャイ子ちゃんDX,てぃじぃてんしじゃいこちゃんでらっくす,TG Angel Gyaiko-chan DX
ティジクン!,Teijikun!,
デイジー〜3.11 女子高生たちの選択〜,でいじーさんてんいちいちじょしこうせいたちのせんたく,DAISY
DCD,でぃーしーでぃー,DCD diamond cat diamond
亭主元気で犬がいい,ていしゅげんきでいぬがいい,Teisyu genki de Inu ga ii
DAYS(デイズ),でいず,DAYS
ディスオーダー,Disorder,
ディスコミュニケーション,Discommunication,
TISTA,てぃすた,TISTA
でぃすぱっち!!,DHISUPUTI,
ディス魔トピア,でぃすまとぴあ,Desumasutopia
This Man その顔を見た者には死を,でぃすまん そのかおをみたもにはしを,This Man sono Kao wo Mita Mono Niha shi wo
17ANS(ディセタン),でぃせたん,17ANS
D線上のアリス,でぃーせんじょうのありす,Alice on DeadLine
D-ZOIC,でぃーぞいっく,D-ZOIC
低俗霊狩り,ていぞくれいがり,Vulgar soul hunting
低俗霊DAYDREAM,ていぞくれいでいどりーむ,DAYDREAM the lowbrow ghost(Teizokurei DayDream)
DタウンCロック,でぃーたうんしーろっく,D town C rock
D.D.D.,でぃーでぃーでぃー,D D D
DD北斗の拳,でぃーでぃーほくとのけん,DD Hokuto no Ken
帝都 女記者伝 写・らく,ていとおんなきしゃでん しゃらく,SHA RAKU
帝都物語,ていとものがたり,Babylon tokyo
帝都雪月花,ていとゆきづきはな,Teito setsugetsuka
デイドリームネイション,DAY DREAM NATION,
DAY DREAM BELIEVER,でいどりーむびりーばー,DAY DREAM BELIEVER
ディノ・サピエンス,Dino Sapiens,
DV,でぃー ぶい,DV
DEFENSE DEVIL(ディフェンス・デビル),でぃふぇんすでびる,DEFENSE DEVIL
D4プリンセス,でぃーふぉーぷりんせす,D4 princess
ディーふらぐ!,D-FRAGMENTS,
Deep Love〜アユの物語〜,でぃーぷらぶあゆのものがたり,Deep Love-ayu's story-
Deep Loveホスト,でぃーぷらぶほすと,Deep Love-host-
Deep Love REAL,でぃーぷらぶ りある,Deep Love REAL
Dimension W (ディメンションW),でぃめんしょん だぶりゅー,Dimension W
悪魔の花嫁,でいもすのはなよめ,The Bride of the Demon(Deimos no Hanayome)
ディーラー8,でぃーらーえいと,Dealer 8
帝立第13軍学校歩兵科異常アリ!?,ていりつだいじゅうさんぐんがっこうほへいかいじょうあり,Teiritsu Dai 13 gun Gakkou Hoheika Ijou Ari !?
ティリニア物語,てぃりにあものがたり,Tale of Tirinia
テイルズ オブ イノセンス,Tales of Innocence,
テイルズ オブ エターニア,Tales of Eternia,
テイルズ オブ シンフォニア,Tales of symphonia,
テイルズ オブ デスティニー2,ているず おぶ ですてぃにー2,Tales of Destiny2
テイルズ オブ デスティニー 〜神の眼をめぐる野望〜,ているずおぶですてぃにーかみのめをめぐるやぼう,Tales of Destiny: kami no me wo meguru yabou
テイルズ オブ ヴェスペリア,Tales of Vesperia,
テイルズ オブ ヴェスペリア 虚空の仮面,ているずおぶべすぺりあ こくうのかめん,Tales of Vesperia Kokuu no kamen
テイルズ オブ ヴェスペリア 〜明星たちの軌跡〜,ているずおぶべすぺりあ みょうじょうたちのきせき,Tales of Vesperia Myoujou tachi no kiseki
テイルズ オブ レジェンディア,TALES OF LEGENDIA,
TAIL STAR (テイルスター),ているすたー,TAIL STAR
ティルナフロウ,Til na flow,
てぃんくる☆コレクション〜ハッピーKAWAiiiiiii革命♡〜,てぃんくるこれくしょんはっぴーかわいいかくめい,Tincle CollectionHappy KAWAiiiiiii revolution
刑事が一匹…,でかがいっぴき,Deka Ga Ippiki
デカガール,Deka Girl,
デカ教師,でかきょうし,Deka kyoushi
でかけモン,Dekakemon,
デカスロン,Dekasuron,
デカダン!―デザイン科男子の受難―,でかだん でざいんかだんしのじゅなん,Dekadan! Daily Lives of design dept. high school boys
テガミバチ,TEGAMIBACHI,
デカメーン,Dekamern,
的中!青春100%,てきちゅうせいしゅん100ぱーせんと,Tekichuu! seishun 100%
適齢期の歩き方,てきれいきのあるきかた,Tekireiki no aruki kata
できんボーイ,Dekin Boy,
木偶 BLOCK HEAD,でく ぶろっくへっど,Deku BLOCK HEAD
てけてけマイハート,Teketeke My heart,
凸凹アニメーション,でこぼこあにめーしょん,Dekoboko animation
デザイナー,Designer,
デザインノイロハ,How to design?,
デザート,Dessert,
デザートイーグル,Desert Eagle,
砂の薔薇(デザートローズ),でざーとろーず,Desert Rose
デザートローズ(鷹見隼人版),Desert Rose (Hayato Takami version),
デジコン,Dezi con,
DIGITALIAN,でじたりあん,DIGITALIAN
手品先輩,てじなせんぱい,Tejina-senpai
デジモンアドベンチャー Vテイマー01,でじもんあどべんちゃー ぶいていまー ぜろわん,Digimon adventure V Tamer 01
デジモンクロスウォーズ,DIGIMON XROS WARS,
デジモンネクスト,Digimon Next,
