title,title_furigana,title_en
千秋しまってこー!!,ちあきしまってこー,Chiaki Shimatteko!!
千秋ツーフェイス,ちあきつーふぇいす,Chiaki Two Face
ちいさいひと 青葉児童相談所物語,ちいさいひと あおばじどうそうだんしょものがたり,Chiisaihito Aoba Jidou Soudansho Monogatari
ちいさこべえ,Chiisakobee,
小さな喫茶店,ちいさなきっさてん,In einer kleinen Konditorei ( Chiisana Kissaten )
小さな恋のものがたり,ちいさなこいのものがたり,The Little Love Story
ちいさな猫を召喚できたなら,ちいさなねこをしょうかんできたなら,Chiisa na Neko wo shoukan dekita nara
ちいさな広場,ちいさなひろば,Chiisana hiroba
ちぃちゃんのおしながき,CHICHAN's MENU,
チェイサー,Chaser,
チェインクロニクル クリムゾン,CHAIN CHRONICLE CRIMSON,
チェーザレ 破壊の創造者,ちぇーざれ はかいのそうぞうしゃ,CESARE hakai no souzousha
チエばーちゃんの知恵ブクロ,ちえばーちゃんのちえぶくろ,Grand mother Chie's Chiebukuro
チェリー,Cherry,
CHERRY TEACHER 佐倉直生,ちぇりーてぃーちゃーさくらなおと,Cherry Teacher Sakura Naoto
チェリーナイツ,Chery Nights,
チェリーブロッサム!,Cherry Blossom!,
チェルシー(D[di:]),CHELSIE,
チェルシー (シバユウスケ),Chelcy,
チェンジ,CHANGE,
チェンジUP!!,ちぇんじあっぷ,Change UP!!
チェンジアップ! [秋吉由美子],ちぇんじあっぷ あきよしゆみこ,Change up! ver Yumiko Akiyoshi
CHANGE-R,ちぇんじあーる,CHANGE R
チェン爺,ちぇんじい,CHAN GIH
Change!(曽田正人版),ちぇんじそだまさとばん,Change (Soda Masato)
ちぇんじ2!! (ちぇんじ×ちぇんじ),ちぇんじちぇんじ,CHANGE CHANGE (Hiroshi Matsuba)
ちぇんじ123,ちぇんじひふみ,Change 123
チェンジング・ナウ,Changing now,
ちおちゃんの通学路,ちおちゃんのつうがくろ,Chio chan no Tsuugakuro
ちかいの魔球,ちかいのまきゅう,Chikai no makyuu
ちかちかプラネッツ,Chika chika planets,
チカちゃんは知りたがる,ちかちゃんはしりたがる,Chika-chan is inquisitive about everything.
力の在り処,ちからのありか,Chikara No Atika
チキタ★GUGU,ちきたぐーぐー,Chikita GUGU
ちきゅう観測隊!,ちきゅうかんそくたい,Chikyu Kansokutai
地球管理人,ちきゅうかんりにん,Earth manager
地球行進曲,ちきゅうこうしんきょく,Tikyuu kousinkyoku
地球ナンバーV - 7,ちきゅうなんばーぶいせぶん,No.V-7
地球人間テラちゃん,ちきゅうにんげんてらちゃん,Chikyuu Ningen Tera Cyan
地球の悪魔,ちきゅうのあくま,Chikyu no akuma
地球の生活,ちきゅうのせいかつ,Chikyuu no Seikatsu
地球の放課後,ちきゅうのほうかご,After school of the earth
地球防衛企業ダイ・ガード,ちきゅうぼうえいきぎょうだいがーど,Chikyuu Bouei Kigyou Daigaad
地球防衛家のヒトビト,ちきゅうぼうえいけのひとびと,Chikyu-Bouei Ke No Hitobito
地球防衛少女イコちゃん,ちきゅうぼうえいしょうじょ いこちゃん,Earth Defense Girl IKO Chan
地球美紗樹,ちきゅうみさき,Chikyuu Misaki
地球恋愛,ちきゅうれんあい,Chikyu Renai
地球を呑む,ちきゅうをのむ,Chikyu wo nomu
チキン・クラブ,Chicken Club,
チキンパーティー,Chicken Party,
チクサクコール(うすた京介短編集),Chikusaku kooru,
チクチワワ,Chiku Chihuahua,
CHI・GU・HA・GU,ちぐはぐ,CHI GU HA GU
ちぐはぐラバーズ,Chiguhagu Lovers,
ちこたん、こわれる,Chikotan kowareru,
ぢごぷり,DigoPuri,
ちこりん日記,ちこりんにっき,Chukorin Nikki
ちさ×ポン,ちさぽん,Chisa Pon
地上最強の男 竜,ちじょうさいきょうのおとこりゅう,StrongestMan RYU
地上最速青春卓球少年ぷーやん,ちじょうさいそくせいしゅんたっきゅうしょうねんぷーやん,The Puyan is the earth most fast youth boy (?)
知事ラン子,ちじ らんこ,THE GOVERNOR RANKO
致死量ドーリス,ちしりょうどーりす,Die Todliche Dolis
チーズスイートホーム,Chi's Sweet Home,
血だるま剣法・おのれらに告ぐ,ちだるまけんぽう おのれらにつぐ,Chidaruma kenpo/Onorera ni tsugu
ちちとこ,Chichi to ko,
父とヒゲゴリラと私,ちちとひげごりらとわたし,Father &amp; Higegorilla &amp; Me
父派なわたしじゃいけません?,ちちはなわたしじゃいけません,Chichiha na watashi ja ikemasen?
ちーちゃんはちょっと足りない,ちーちゃんはちょっとたりない,Chiichan ha chotto tarinai
Tick! Tack! NEVER SAY GOODBYE,ちっくたっくねばーせいぐっどばい,Tick! Tack! NEVER SAY GOODBYE
ちっこいんちょ,Chikkoincho,
ちっちゃいナース,Petit nurse (Chicchai nurse),
チッポくんこんにちは,Chippo kun konnichiwa,
地底国の怪人,ちていこくのかいじん,Chiteikoku no kaijin
地底少年チャッピー,ちていしょうねんちゃっぴー,Underground Boy Chappy
地底人,ちていじん,TITEIJIN
地底旅行,ちていりょこう,The Adventure Of Underground
ちとせげっちゅ!!,Chitose Get you!!,
血と灰の女王,ちとはいのじょおう,Chitohai no Joou
地の底の魔法使い,ちのそこのまほうつかい,Chi no Soko no Mahou Tsukai
チノミ,Chinomi,
血の轍,ちのわだち,Chi no wadachi
ちばあきお傑作集 校舎うらのイレブン,ちばあきおけっさくしゅう こうしゃうらのいれぶん,AkioChiba serection: Kousha-ura no eleven
ちはやふる,Chihayafuru,
ちはやふる 中学生編,ちはやふる ちゅうがくせいへん,Chihayafuru Chuugakusei-hen
CHIBI(チビ),ちび,CHIBI
ちびっこ紳士,ちびっこしんし,Chibikko Shinshi
ちびっと!,Chibitto!,
ちび☆デビ!,ちびでび,Chibi Devi!
ちびでびっ!,Chibi devil!,
ちびとぼく,Chibi to Boku,
ちびドラ!,Chibidira,
ちびママちゃん,Chibimamachan,
ちびまる子ちゃん,ちびまるこちゃん,Chibi Maruko-chan
ちびまる子ちゃん(新聞掲載四コマ漫画版),ちびまるこちゃん しんぶんけいさいよんこままんがばん,Chibi Maruko Chan Ver.Newspaper
ちびミクさん,CHIBI MIKU SAN,
地平線でダンス,ちへいせんでだんす,Horizon dance (Chiheisen de dance)
ぢべたぐらし,Jibetagurashi,
ちまちま,CHIMACHIMA,
血まみれスケバンチェーンソー,ちまみれすけばんちぇーんそー,Chimamire Sukeban Chainsaw
チム・チム・チェリー!,Timu Timu cherry,
血潜り林檎と金魚鉢男,ちもぐりりんごときんぎょはちおとこ,Chimoguriringo to kingyohachiotoko
チャイナガール,China Girl,
チャイム,Chime,
CHIMES,ちゃいむず,CHIMES
チャイルド,Child,
小類人〈ちゃいるど〉 (萩野真版),ちゃいるど おぎのまことばん,Child
チャイルド★プラネット,ちゃいるどぷらねっと,Child planet
CHILDRAGON (チャイルドラゴン),ちゃいるどらごん,CHILDRAGON
ちゃお!ユキとケイ,Chao YukitoKei,
チャゲチャ,CHAGECHA,
チャージマン研!(テレビランド版),ちゃーじまんけん てれびらんどばん,Chargeman Ken! TV land ver
チャージマン研!(冒険王版),ちゃーじまんけん ぼうけんおうばん,Chargeman Ken! Boukenou ver
チャッピーとゆかいな下僕ども,ちゃっぴーとゆかいなげぼくども,Chappy and his funny servants
茶柱倶楽部,ちゃばしらくらぶ,Cyabashira Kurabu
チャモチャモ★ぷりてぃ♪,ちゃもちゃも ぷりてぃ,Chamochamo Purithi
チャラ!,CHARA!,
チャレンジャー,Challenger,
チャンス,Chance,
チャンネルはそのまま!,Channel wa sonomama!,
チャンバラ 一撃小僧隼十,ちゃんばら いちげきこぞうはやと,Chanbara Ichigeki kozou Hayato
チャンピオン太,ちゃんぴおんふとし,CHAMPION FUTOSHI
チャンプ,Champ,
中央モノローグ線,ちゅうおうものろーぐせん,Chuo Monologue Sen
中華一番! / 真・中華一番!,ちゅうかいちばん,Chuka Ichiban
中華一番! 極,ちゅうかいちばん きわみ,Chukaichiban kiwami
中学性日記,ちゅうがくせいにっき,Chugakusei nikki
中学聖日記,ちゅうがくせいにっきかわかみじゅんこばん,Cyuugakusei Nikki
中間管理職刑事,ちゅうかんかんりしょくでか,He is a middle class detective.
中間管理録トネガワ,ちゅうかんかんりろくとねがわ,Chuukan kanriroku Tonegawa
忠牛ばっふぁ郎,ちゅうぎゅうばっふぁろう,Buffalo The faithful cow
宙犬トッピ,ちゅうけんとっぴ,SPACE DOG TOPPI
中国の歴史 (中央公論社版),ちゅうごくのれきし ちゅうおうこうろんしゃばん,The chinese history : Tyuokoronsya
中国嫁日記,ちゅうごくよめにっき,Chuugoku Yome Nikki
中春こまわり君,ちゅうしゅんこまわりくん,Chuushun Komawari-kun
中退アフロ田中,ちゅうたいあふろたなか,Chuutai afro Tanaka
チュウチュウカナッコ(ヒネヤ2の8),Chuchukanakko,
ちゅうちゅうパトロール,Chu Chu Patrol,
厨二くんを誰か止めて!,ちゅうにくんをだれかとめて,Chuuni Kuno Dareka Tomete
中2限定!?ガールズトーク,ちゅうにげんていがーるずとーく,Chu 2 only!? Girl's talk. (Chuuni gentei!? girl's talk)
中2の男子と第6感,ちゅうにだんしとだいろっかん,Chuni no danshi to dairokkan
中年スーパーマン左江内氏,ちゅうねんすーぱーまんさえないし,Mr.SAENAI The Middle-Age Super Man
酎ハイれもん,ちゅうはいれもん,Chu-hi lemon
ChuしてBOMB!,ちゅーしてぼん,Chu shite bomb!
ちゅーぶら!!,CHU-BRA!!,
ちょいあ!,Choir!,
ちょい能力少女あゆむ,ちょいのうりょくしょうじょあゆむ,Choi nouryoku shoujo Ayumu
超兄貴,ちょうあにき,Super Big Brother
懲役339年,ちょうえき339ねん,Choueki 339 nen
超格闘伝説 あした輝け!,ちょうかくとうでんせつ あしたかがやけ,Chou kakutou densetsu Ashita kagayake
長歌行,ちょうかこう,Choukakou
超ガッコウ伝 ガット!!,ちょうがっこうでんがっと,Chougakkouden Gatto!!
超・学校法人スタア學園,ちょうがっこうほうじんすたあがくえん,Super educational foundation star school
超可動ガール1/6,ちょうかどうがーるろくぶんのいち,Choukadou girl 1/6
超機人龍虎王伝奇,ちょうきじんりゅうこおうでんき,Tyoukijin ryuukooudenki
超機動員ヴァンダー,ちょうきどういんばんだー,Chou kidouin Vander
超機動暴発蹴球野郎 リベロの武田,ちょうきどうぼうはつしゅうきゅうやろうりべろのたけだ,Libero no Takeda
