title,title_furigana,title_en
とある科学の一方通行<アクセラレータ>,とあるかがくのあくせられーた,Toaru kagaku no Accelerator
とある科学の超電磁砲,とあるかがくのれーるがん,To Aru Kagaku no Railgun
とある新人漫画家に、本当に起こったコワイ話,とあるしんじんまんがかにほんとうにおこったこわいはなし,The scary story that really happened to a certain new face comic artist
とある飛空士への追憶,とあるひくうしへのついおく,Toaru Hikushi e no Tsuioku
ト或ル夫婦ノ日乗,とあるふうふのにちじょう,Toaru fuufu no nichijou
とある魔術の禁書目録,とあるまじゅつのいんでっくす,To aru majutsu no index
電脳戦機バーチャロン×とある魔術の禁書目録 とある魔術の電脳戦機,とあるまじゅつのいんでっくす でんのうせんきばーちゃろん とあるまじゅつのばーちゃろん,Toaru majutsu no Virtual-on
とある魔術のヘヴィーな座敷童が簡単な殺人妃の婚活事情,とあるまじゅつのへびーなざしきわらしがかんたんなさつじんきのこんかつじじょう,Toaru Majutsu no heavy na zashikiwarashi ga kantan na satsujinki no konkatsu jijou
TO-Y,とーい,TO-Y
DOIS SOL,どいそる,DOIS SOL
トイレット博士,といれっとはかせ,TOIRETHAKASE
トゥー・エスプレッソ,Two espresso,
桃華月憚,とうかげったん,Touka gettan
同・級・生,どうきゅうせい,DOKYUSEI
同級生のマッチョ君,どうきゅうせいのまっちょくん,Mr.Macho My classmate
東京!,とうきょう,Toukyou!
東京アンダーグラウンド,とうきょうあんだーぐらうんど,Tokyo-Underground
TOKYO ANTS 叶恭弘短編集Ⅱ,とうきょうあんつ かのうやすひろたんぺんしゅう,TOKYO ANTS
東京ESP,とうきょういーえすぴー,Tokyo ESP
東京イノセント,とうきょういのせんと,Tokyo innocent
東京エイティーズ―80's love & pop! campus romance graffiti,とうきょうえいてぃーず えいてぃーずらぶあんどぽっぷきゃんぱすろまんすぐらふぃてぃー,Tokyo 80's 80's love &amp; pop! campus romance graf
東京怪童,とうきょうかいどう,Tokyo Kaidou
東京家族,とうきょうかぞく,Tokyo family
東京カラス,とうきょうからす,Tokyo Calas
東京クレイジーパラダイス,とうきょうくれいじーぱらだいす,TOKYO CRAZE PARADISE
東京ゲンジ物語,とうきょうげんじものがたり,Tokyo Genji monogatari
東京昆虫ムスメ,とうきょうこんちゅうむすめ,Tokyo koncyu musume
東京自転車少女。,とうきょうじてんしゃしょうじょ,Tokyo Jitensha Shoujyo
東京シャッターガール,とうきょうしゃったーがーる,Tokyo shutter girl
倒凶十将伝,とうきょうじゅうしょうでん,To u kyo u zyu syo u de n
東京ジュリエット,とうきょうじゅりえっと,Tokyo Jurietuto
東京大学物語,とうきょうだいがくものがたり,Tokyo-daigaku monogatari
東京タラレバ娘,とうきょうたらればむすめ,Tokyo tarareba musume
東京探偵団,とうきょうたんていだん,Tokyo Tanteidan
