title,title_furigana,title_en
ついっとMARCH,ついっとまーち,Twitto MARCH
ついでにとんちんかん,Tsuideni Tonchinkan,
TWIN(ツイン),ついん,Twin
ツインシグナル,TWIN SIGNAL,
痛快あばれブン屋,つうかいあばれぶんや,Tsukai Abare Bunya
痛快!!マイホーム,つうかいまいほーむ,Tsuukai!!My home
つうがくろ,Tsuugakuro,
杖ペチ魔法使い♀の冒険の書,つえぺちまほうつかいのぼうけんのしょ,Tsue pechi mahoutsukai no bouken no sho
つかえて!コハル,Tsukaete! Koharu,
つきあってよ!五月ちゃん,つきあってよ さつきちゃん,Tsukiatteyo! Satsuki-chan
月影ベイべ,つきかげべいべ,Moon shadow baby
築地魚河岸三代目,つきじうおがしさんだいめ,Tukizi uogasi sandaime
月館の殺人,つきだてのさつじん,Tsukidate no satsujin
月と狼たち,つきとおおかみたち,Tuki to ookami tachi
月とスッポン,つきとすっぽん,Tsuki to suppon
月に吠えらんねえ,つきにほえらんねえ,Tuki Ni Hoerannee
月のうさぎ,つきのうさぎ,Tsuki No Usagi
月の子 moon Child,つきのこ,Tsuki No Ko (Moon Child)
月の珊瑚,つきのさんご,Tsuki no sango
月のしっぽ,つきのしっぽ,Moon tels
月の蛇 - 水滸伝異聞 -,つきのへび すいこでんいぶん,Tsuki no Hebi - Suikoden Ibun -
月の夜星の朝,つきのよるほしのあさ,Tsuki No Yoru Hoshi No Asa
つぎ☆はぎナイトメア,つぎはぎないとめあ,Tsugihagi nightmare
ツギハギ漂流作家,つぎはぎひょうりゅうさっか,Tsugihagi hyouryuu sakka
月は東に日は西に,つきはひがしにひはにしに,The moon east and the day to the west
月は東に日は西に 〜Operation Sanctuary〜,つきはひがしにひはにしにおぺれーしょんさんくちゅあり,"The Moon is East, The Sun is West: Operation Sanctuary (Tsuki-ha Higashi-ni Hi-ha Nishi-ni -Operation Sanctuary-)"
月夜にカカオシガレット,つきよにかかおしがれっと,Tsukiyo ni cacaocigarette
月夜のとらつぐみ,つきよのとらつぐみ,Tsukiyo no Toratsugumi
つきロボ,Tsuki Robo,
机の中へこんにちは,つくえのなかへこんにちは,Tsukue no naka e konnichiwa
ツク×カノ〜尽くし彼女〜,つくかの つくしかのじょ,Tsuku Kano Tsukushi Kanojo
つくしまっすぐライフ!,Tsukushi massugu life!,
佃島パイレーツ,つくだじまぱいれーつ,Tukudajima Pirates
つくねちゃん+30,つくねちゃんぷらすさーてぃ,Tsukunechan plus thirty
九十九神いりませんか?,つくもがみいりませんか,Tsukumogami irimasenka?
九十九眠るしずめ,つくもねむるしずめ,Tsukumo nemuru sizume
九十九のあまのじゃく,つくものあまのじゃく,Tsukumo no amanojaku
99ハッピーソウル,つくもはっぴーそうる,TSUKUMO HAPPY SOUL
つぐもも,Tsugumomo,
月詠,つくよみ,Tsukuyomi
つくりばなし,Tsukuribanashi,
ツースリー,TWO THREE,
ツッパリ刑事彦,つっぱりけいじひこ,Tsuppari keijihiko
ツッパリたいの!!,Tupparitaino,
つっぱり桃太郎,つっぱりももたろう,Tsuppari momotarou
TWO突風!,つーとっぷ,Two top
TWO-TOP(週刊ヤングジャンプ連載漫画),つーとっぷしゅうかんやんぐじゃんぷれんさいまんが,Two top young jump
繋がる個体,つながるこたい,Tsunagaru kotai
角の男,つののおとこ,Tsuno no Otoko
2×2,つーばいつー,Two bai Two
ツバキ,Tsubaki,
椿色バラッド,つばきいろばらっど,Tsubakiirobaraddo
椿さん,つばきさん,Miss Tsubaki ( Tsubaki san )
椿町ロンリープラネット,つばきちょうろんりーぷらねっと,Tsubakichoulonelyplanet
椿ナイトクラブ,つばきないとくらぶ,Tsubaki NightClub
ツバサ―RESERVoir CHRoNiCLE,つばさ,TSUBASA
つばさとホタル,Tsubasa To Hotaru,
ツバサ-WoRLD CHRoNiCLE-ニライカナイ編,つばさわーるどくろにくるにらいかないへん,Tsubasa WoRLD CHRoNiCLE Niraikanai edition
翼を持つ者,つばさをもつもの,Wing pepole
ツバメしんどろーむ,Tubame Syndrome,
つばめ 陽だまり少女紀行,つばめひだまりしょうじょきこう,TSUBAME HIDAMARI SYOUJYO KIKOU
つぶらら,Tsuburara,
っポイ!,Ppoi,
妻に恋する66の方法,つまにこいするろくじゅうろくのほうほう,Tsuma Ni Koi Suru Rokujuuroku No Houhou
ツマヌダ格闘街,つまぬだふぁいとたうん,Tsumanuda Fight Town
妻は、くノ一,つまはくのいち,Tsuma ha Kunoichi
妻をめとらば,つまをめとらば,Tsuma o metoraba
罪花罰,つみかばつ,Tsumikabatsu
ツミツキ,Tsumitsuki,
罪と罰(つみとばち),つみとばち,Tsumi to Bachi
罪と罰 A Falsified Romance,つみとばつ,Tsumi to Batsu A Falsified Romance (Crime and Punishment)
罪と罰(手塚治虫),つみとばつてづかおさむ,Tsumi to batsu (teduka osamu)
罪と罰(漫F画太郎版),つみとばつ まんがたろうばん,Tsumi to Batsu by Gatarou Man
罪に濡れたふたり,つみにぬれたふたり,Offender
罪の声 昭和最大の未解決事件,つみのこえしょうわさいだいのみかいけつじけん,Tumi No Koe Shouwa Saidai No Mikaiketu Jiken
紡木さん家の場合,つむぎさんちのばあい,Tsumugi san chi no baai
紡!DANGAN☆DRIVE!!,つむぎだんがんどらいぶ,Tsumugi!DANGANDRIVE!!
冷たい校舎の時は止まる,つめたいこうしゃのときはとまる,Tsumetai kousha no toki ha tomaru
ツヨシしっかりしなさい,"Tsuyoshi, Cheer up! (Tsuyoshi Sikkari Sinasai)",
ツヨシもっとしっかりしなさい,Tsuyoshi motto shikkari shinasai,
つらつらわらじ,Tsuratsurawaraji,
釣りキチ三平 平成版,つりきさんぺいへいせいばん,Tsurikichi Sanpei Heisei version
釣りキチ三平,つりきちさんぺい,Tsurikichi sanpei
ツリッキーズピン太郎,つりっきーずぴんたろう,Tsurikkies Pintarou
釣りに行こうよ!/釣りに行こうぜ!!,つりにいこうよ つりにいこうぜ,Tsuri Ni Ikouyo Tsuri Ni Ikouze
釣りバカ大将,つりばかたいしょう,TSURI BAKA TAISHOU
釣りバカたち,つりばかたち,Tsuribakatachi
釣りバカ日誌,つりばかにっし,Turi baka nitusi
釣り船 御前丸,つりふねみさきまる,Turihune Misakimaru
釣り屋ナガレ,つりやながれ,Tsuriya Nagare
ツーリング・エクスプレス,Turing express,
ツール!,Tour,
弦斬サンの命令は絶!対!!,つるぎりさんのめいれいはぜったい,Tsurugiri san no meirei wa zettai!!
つるぜ!カメスケくん,Tsuruze!kamesukekun,
つるた部長はいつも寝不足,つるたぶちょうはいつもねぶそく,Tsuruta Buchou Ha Itsumo Nebusoku
つるつるとザラザラの間,つるつるとざらざらのあいだ,Tsurutsuru to Zarazara no aida
つるピカハゲ丸,つるぴかはげまる,Turupika Hagemaru
つるピカハゲ丸(コロコロイチバン版),つるぴかはげまるころころいちばんばん,Tsurupika Hagemaru (Corocoro Ichiban version)
つる姫じゃ〜っ!,つるひめじゃーっ,Princess TURU
つるまき町夏時間,つるまきちょうなつじかん,Tsurumakicho's summer time
ツルモク独身寮,つるもくどくしんりょう,Tsurumoku Dokushinryo
ツレがうつになりまして。,Tsure ga Utsu ni nari mashite,
ツレちゃんのゆううつ,TURETYAN NO YUUTU,
徒然チルドレン,つれづれちるどれん,Tsuredure Children
釣れんボーイ,つれんぼーい,Tsuren boy
