title,title_furigana,title_en
ヴィクトリー,VICTORY,
ウイグル無頼,ういぐるぶらい,UIGURU BURAI
ウィザードリィ,Wizardry,
ウィザードリィ外伝鳳凰の塔,うぃざーどりぃがいでんほうおうのとう,Wizardry Extra Episoode Tower of Phenix
ウィザードリィ ギルの迷宮,うぃざーどりぃぎるのめいきゅう,Wizardry Maze of Gill
ウィザードリィZEO,うぃざーどりぃぜお,Wizardry Zeo
ウィザードリィ友の会,うぃざーどりぃともかい,Wizardry Tomo no kai
With!!,うぃず,With
うぃずりず,WITH LIZ,
Wish(ウィッシュ),うぃっしゅ,Wish [CLAMP]
ウィッチクラフトワークス,Witch Craft Works,
WITCHBLADE丈琉 (ウィッチブレイド タケル),うぃっちぶれいどたける,WITCHBLADE TAKERU
ウイナーズサークルへようこそ,Welcome to the Winner's circle,
WE NEED KISS,うぃー にーど きっす,WE NEED KISS
ウイングマン,Wing Man,
ウイングロッシ,WING ROSSI,
ウィーンで歌ってみて,うぃーんでうたってみて,Wien de utattemite
ウインドミル,WIND MILL,
うえきの法則,うえきのほうそく,Ueki no housoku
うえきの法則+,うえきのほうそくぷらす,Ueki no Housoku Plus
上杉謙信,うえすぎけんしん,UESUGI KENSHIN
ウェディング・ドレスに紅いバラ,うぇでぃんぐどれすにあかいばら,Wedding dress ni akai bara
ウェディングピーチ,Wedding Peach,
ウェディングライセンス,Wedding License,
WEB版 WORKING!!,うぇぶばんわーきんぐ,WEB WORKING!!
Welcome! つぼみ園,うぇるかむつぼみえん,Welcome! Tsubomi en
上を下へのジレッタ,うえをしたへのじれった,Ue o shita eno jiretta
上を向いて歩こう,うえをむいてあるこう,Ue Wo Muite Arukou
魚心あれば食べ心,うおごころあればたべごころ,Fish mind and eat mind
Wの庭園〜ウォーター・ガーデン〜,うぉーたーがーでん,Water garden
ウォーターガールズ,Water Girls,
Wallman-ウォールマン-,うぉーるまん,Wallman
WANTED!,うぉんてっど,WANTED!
浮かれバケモノの朗らかな破綻,うかればけもののほがらかなはたん,Ukare bakemono no hogaraka na hatan
宇強の大空,うきょうのおおぞら,Ukyo no oozora
うごかし屋,うごかしや,Ugokashi-Ya
動く家の殺人,うごくいえのさつじん,Homicide of The House Which Moves (Ugoku Ie No Satsujin)
うさかめコンボ!,Usa Kame Combo!,
ウサギとカメとストライク,Usagi to kame to sutoraiku,
うさぎドロップ,Usagi Drop,
うさぎのーと,Usagi note,
兎 -野性の闘牌-,うさぎ やせいのとうはい,USAGI Yasei-no-touhai
うさしくん,Usashikun,
ウサ探,うさたん,Usatan
Wsamarus 2001,うさまるす2001,Wsamarus 2001
うしおととら,Ushio And Tora,
氏神様といっしょ,うじがみさまといっしょ,Ujigami-sama to issho
氏神さまの火,うじがみさまのひ,Ujigami sama no hi
失われた未来を求めて,うしなわれたみらいをもとめて,A la recherche du futur perdu
うしのこくまいる!,Ushinokoku Mairu,
ウシハル,Ushiharu,
うしろのご先祖さま,うしろのごせんぞさま,Ushiro no Gozenzosama
うしろノしんでれさん,Ushiro no Shindere san -The Girl Bihind You-,
うしろの百太郎,うしろのひゃくたろう,Ushiro no Hyakutarou
うしろ ふきげんな死神。,うしろ ふきげんなしにがみ,Ushiro Fukigen na shinigami
うずまき,Uzumaki,
ウズマジン,Uzumajin,
うずらコンビニエンス,Uzura convenience,
嘘喰い,うそぐい,Usogui
ウソツキ!ゴクオーくん,Usotsuki Gokuo kun,
ウソツキチョコレート,Usotuki Chocolate,
嘘つきは妹のはじまり,うそつきはいもうとのはじまり,Usotsuki wa imouto no hajimari
嘘つきは殿様のはじまり,うそつきはとのさまのはじまり,Usotsuki wa Tonosama no hajimari
うそつきパラドクス,Usotsuki Paradox,
嘘つきみーくんと壊れたまーちゃん とっておきの嘘,うそつきみーくんとこわれたまーちゃん とっておきのうそ,Usotsuki Mi-kun to Kowareta Ma-chan Totteoki no Uso
うそつきリリィ,Liar Lilie,
嘘解きレトリック,うそときれとりっく,Usotoki Retoric
ウダウダやってるヒマはねェ!,Uda uda Yatteru hima ha nee!,
唄う骨,うたうほね,Utau hone
うたうめ,UtaUme,
うたわれるもの,Utawarerumono,
うたわれるもの 偽りの仮面,うたわれるもの いつわりのかめん,Utawarerumono Itsuwari no kamen
うたわれるもの-散りゆく者への子守唄-,うたわれるもの ちりゆくものへのこもりうた,The stated one
詩を聴かせて ―秋吉家シリーズ④―,うたをきかせて あきよしけしりーず よん,Uta wo Kikasete
打ち上げ花火、下から見るか?横から見るか?,うちあげはなび したからみるか よこからみるか,Uchiage Hanabi Shita kara miruka Yoko kara miruka
打ち切り漫画家(28歳)、パパになる。,うちきりまんがか 28さい ぱぱになる,Uchikiri Mangaka 28sai Papa ni naru
ウチコミ!!,Uchikomi!!,
部屋(うち)においでよ,うちにおいでよ,Uchinioideyo
うちの姉様,うちのあねさま,Uchi no Anesama
うちの居候が世界を掌握している!,うちのいそうろうがせかいをしょうあくしている,Uchino Isourou ga Sekaiwoshouakushiteiru
うちのざしきわらしが,Uchi no zashiki-warashi ga,
うちの3姉妹,うちのさんしまい,My Three Daughters
うちの大家族,うちのだいかぞく,Uchi no dai kazoku
うちの妻ってどうでしょう?,うちのつまってどうでしょう,Uchi no Tsumatte doudeshou?
うちのトコでは,Uchi no Toko dewa,
うちの猫'ず日記,うちのにゃんずだいありー,My cat's diary
ウチの場合は,うちのばあいは,Uchino baaiha
うちの魔王かみませんよ,うちのまおうかみませんよ,Uchi no maou kamimasenyo
うちはおっぺけ〜3姉妹といっしょ,うちはおっぺけ さんしまいといっしょ,Uchi ha Oppeke Sanshimai to issho
うちは寿!,うちはことぶき,Uchi wa Kotobuki!
宇宙英雄物語,うちゅうえいゆうものがたり,Uchuu eiyuu monogatari
宇宙エース,うちゅうえーす,Uchuu ace
宇宙怪人みずきちゃん,うちゅうかいじんみずきちゃん,Uchuu kaijin Mizuki Chan
宇宙海賊キャプテンハーロック,うちゅうかいぞくきゃぷてんはーろっく,Space Pirate Captain Hurlock
宇宙課々付エヴァ・レディ,うちゅうかかつきえばれでぃ,EVA LADY
宇宙家族カールビンソン,うちゅうかぞくかーるびんそん,Utyuu Kazoku Karubinson
宇宙兄弟,うちゅうきょうだい,Uchu Kyodai
宇宙警察テツオ,うちゅうけいさつ てつお,The space police TETSUO
宇宙刑事ギャバン-黒き英雄-,うちゅうけいじぎゃばん くろきえいゆう,Space Sheriff Gavan -Black hero-
宇宙刑事ギャバン(のなかみのる版),うちゅうけいじぎゃばん のなかみのるばん,SPACE SHERIFF GAVAN NONAKA MINORU VERSION
宇宙刑事ギャバン(渡辺みちお版),うちゅうけいじぎゃばん わたなべみちおばん,SPACE SHERIFF GAVAN
宇宙刑事シャイダー(のなかみのる版),うちゅうけいじしゃいだー のなかみのるばん,Space Sheriff Shaider Nonaka Minoru Version
宇宙刑事シャイダー(渡辺みちお版),うちゅうけいじしゃいだー わたなべみちおばん,SPACE SHERIFF SHAIDER
宇宙刑事シャリバン,うちゅうけいじしゃりばん,SPACE SHERIFF SHARIVAN
うちゅうジカ,Uchuu Jika,
宇宙X兵衛,うちゅうじゅうべえ,Space X-bei
宇宙少年ソラン,うちゅうしょうねんそらん,Uchuu shounen Soran
うちゅう人田中太郎,うちゅうじんたなかたろう,Utyuzin Tanakataro
宇宙人のしわざです!,うちゅうじんのしわざです,Uchuujin no shiwaza desu
宇宙戦艦ティラミス,うちゅうせんかん てぃらみす,SPACE BATTLESHIP TIRAMISU
宇宙戦艦ヤマト2199,うちゅうせんかんやまと2199,Space Battleship Yamato 2199
