title,title_furigana,title_en
わ!,Wa!,
Y氏の迷宮,わいしのめいきゅう,Mr.Y's Labyrinth
Y氏の隣人,わいしのりんじん,Mr.Y's Neighbor
Y十M 柳生忍法帖,わいじゅうえむやぎゅうにんぽうちょう,Y+M NINJA Scroll:Yagyu
Yの箱船,わいのはこぶね,Y no hakobune
ワイはアサシオや!,Waiha Asasioya,
ワイルダネス,WILDERNESS,
ワイルド7,わいるど7,Wild7
WILD ADAPTER,わいるど あだぷたー,Wild adapter
ワイルドアームズ 花盗人,わいるどあーむず はなぬすびと,WILD ARMS hananusubito
ワイルド7(橋本環版),わいるどせぶん はしもとかんばん,Wild7 (Kan Hashimoto verson)
ワイルド7R,わいるどせぶんりたーんず,Wild 7 Returns
ワイルドハーフ,Wild Half,
わいるど☆ぴっち,わいるどぴっち,WILD PITCH
WILD PITCH!!!(中原裕),わいるどぴっち なかはらゆう,Wild Pitch (Nakahara Yuu)
WILD BASE BALLERS,わいるどべーすぼーらーず,WILD BASE BALLERS
ワイルドマウンテン,Wild mountain,
WILD LIFE (ワイルドライフ),わいるどらいふ,WILD LIFE
ワイルドリーガー,WILD LEAGUER,
WOW!F1,わおえふわん,WOWF1
わーお!ケンちゃん,Wao! Ken-chan,
和おん!,わおん,Waon
若草一家でいこう,わかくさいっかでいこう,Wakakusa Ikka de Ikou
我妻さんは俺のヨメ,わがつまさんはおれのよめ,My wife is WAGATSUMA-san
我が妻との闘争,わがつまとのとうそう,Waga Tsuma Tono Tousou
わかとの(怪人わかとの),Wakatono,
我が名は海師,わがなはうみし,Waga na wa umishi -Master of Sea-
我が名はネロ,わがなはねろ,My name is nero
ワガハイ,WAGAHAI,
吾輩ノ彼ハ馬鹿である,わがはいのかれはばかである,My boyfriend is stupid
吾輩の部屋である,わがはいのへやである,Wagahai no Heya de aru
わかば*ガール,わかばがーる,Wakaba girl
わかば先輩未満,わかばせんぱいみまん,Wakaba senpai miman
若林くんが寝かせてくれない,わかばやしくんがねかせてくれない,Wakabayashi-kun ga Nekasete Kurenai
わがままちえちゃん,Wagamama Chie-chan,
我が家のお稲荷さま。,わがやのおいなりさま,WAGAYA NO OINARI SAMA
わが指のオーケストラ,わがゆびのおーけすとら,Waga yubi no orchestra
ワルキューレの降誕,わきゅーれのこうたん,Wakyure No Koutan
WORKING!!,わーきんぐ,WORKING!!
WORKING!! Re:オーダー,わーきんぐ りおーだー,WORKING!! Re: order
惑星クローゼット,わくせいくろーぜっと,Alone In The Planet
惑星スタコラ,わくせいすたこら,The planet of SUTAKOLA
惑星大戦争,わくせいだいせんそう,War In Space
惑星9の休日,わくせいないんのきゅうじつ,Wakisei 9 no kyuujitsu
惑星ミマナ,わくせいみまな,Planet mimana
惑星ロボダンガードA,わくせいろぼだんがーどえーす,Planet robot Dangard A
わくらばん,Wakubaran,
WaqWaq (ワークワーク),わーくわーく,WaqWaq
わくわくぷよぷよダンジョン,Wakuwaku PUYOPUYO Dungeon,
わくわくろっこモーション,Waku-waku rokkomotion,
わくわくワーキング,Waku Waku Working,
わこわんこ,Wakowanko,
わざアリっ♥きわみちゃん,わざありっ きわみちゃん,Wazaarittu Kiwami-chan
技の旅人,わざのたびびと,Waza no Tabibito
わさびアラモードっ!!,WASABI ALAMODE!!,
わざぼー,Wazabo,
わさんぼん〜和菓子屋顛末記〜,わさんぼん わがしやてんまつき,Wasanbon
鷲尾須美は勇者である,わしおすみはゆうしゃである,Washio Sumi wa yuusha dearu
ワシズ 閻魔の闘牌,わしず えんまのとうはい,Washizu Enma no Touhai
ワシズ 天下創世闘牌録,わしず てんかそうせいとうはいろく,Washizu Tenka sousei touhai roku
わずかいっちょまえ,WAZUKA ICCHOMAE,
WORST,わーすと,WORST
WORST外伝,わーすとがいでん,WORST gaiden
ワースト(小室孝太郎版),Worst(Koutarou Komuro),
ワズラ-梦津國怪奇譚-,わずら ゆめつくにかいいたん,Wazura Yumetsu kuni kaiitan
和太鼓†ガールズ,わだいこがーるず,Wadaiko Girls
わたし、オタリーナですが。,"Watashi,Otarina desuga",
私がいてもいなくても,わたしがいてもいなくても,Watashi ga itemo inakutemo
私が会社に行く理由,わたしがかいしゃにいくりゆう,Watashi ga kaisha ni iku riyuu
私が彼女で彼女が私で,わたしがかのじょでかのじょがわたしで,Watashi ga kanojo de kanojo ga watashi de
わたしが強くしたい神,わたしがつよくしたいかみ,THE GOD I WANT TO STRENGTHEN
私がヒロインじゃない理由,わたしがひろいんじゃないりゆう,Watashi ga heroine janai riyuu
私がモテてどうすんだ,わたしがもててどうすんだ,Watashi ga motete dousunda
私がモテないのはどう考えてもお前らが悪い!,わたしがもてないのはどうかんがえてもおまえらがわるい,Watashi ga motenai nowa doukangaetemo omaera ga warui!
私たち結婚しました,わたしたちけっこんしました,Watashitachi Kekkon Shimashita
わたしたちの田村くん,わたしたちのたむらくん,Our Dear Tamura-kun
私たちは繁殖している,わたしたちははんしょくしている,We are breeding. ( Watashi tachi wa Hanshoku shiteiru)
私と彼女のお泊まり映画,わたしとかのじょのおとまりえいが,Watashi to Kanojo no Otomari Eiga
わたしに××しなさい!,わたしにしなさい,Watashini Shinasai
わたしに××しなさい! カップル編,わたしにばつばつしなさい かっぷるへん,Watashi ni XX shinasai! Couple hen
女には向かない職業,わたしにはむかないしょくぎょう,Watashi ni wa mukanai shokugyou
私の頭の中の消しゴム,わたしのあたまのなかのけしごむ,A Moment to Remember
わたしの宇宙,わたしのうちゅう,My universe
私のおウチはHON屋さん,わたしのおうちはほんやさん,Watashi no Ouchi wa Honya san
わたしの狼さん。,わたしのおおかみさん,My Wolf
わたしの狼さん。THE OTHER SIDE OF LYCANTHROPE,わたしのおおかみさん ざ あざー さいど おぶ らいかんすろーぷ,My Wolf THE OTHER SIDE OF LYCANTHROPE
わたしの沖田くん,わたしのおきたくん,Watashi no okita-kun
わたしのカイロス,THE TALE OF LITTLE GLADIATOR,
私のカエル様,わたしのかえるさま,Watashi No Kaeru Sama
私の甲子園,わたしのこうしえん,Watashi No Koushien
わたしのご主人様は人間じゃない気がする,わたしのごしゅじんさまはにんげんじゃないきがする,Watashi no goshujinsama wa ningen janai ki ga suru
わたしの小鳥先生,わたしのことりせんせい,Watashi no Kotori-sensei
私の少年,わたしのしょうねん,Watashi no syounen
わたしのすきなひと,My favorite person,
わたしの友達が世界一かわいい。,わたしのともだちがせかいいちかわいい,Watashi no tomodachi ga sekaiichi kawaii
わたしのふしだら,Watashi no fushidara,
私の救世主さま,わたしのめしあさま,Watashi no Messiah-sama
私は貴兄のオモチャなの,わたしはあなたのおもちゃなの,I Wanna Be Your Dog
私は加護女,わたしはかごめ,I am Kagome.
わたしはキャワワワ!!,I am Kyawawawa!! (Watashi wa kyawawawa!!),
わたしは真悟,わたしはしんご,Watashi Wa Shingo
私はまだそれを知らない,わたしはまだそれをしらない,I don't know it then
わたしは真夜中,わたしはまよなか,Watashi ha mayonaka
私は利休,わたしはりきゅう,Watashi ha rikyu
私を月まで連れてって !,わたしをつきまでつれてって,Please take me to the moon.
ワダチ,WADATI,
