title,title_furigana,title_en
夜明け後の静,よあけあとのしず,Yoake Ato No Shizu
夜明け城,よあけじょう,Yoakejyo
夜明け前より瑠璃色な,よあけまえよりるりいろな,Yoake mae yori ruri-iro na
夜明け前より瑠璃色な -Moonlight Cradle-,よあけまえよりるりいろな むーんらいとくれーどる,Yoakemae yori ruriiro na -Moonlight Cradle-
ヨアケモノ,Yoakemono,
よいこ,YOIKO,
よいこの君主論,よいこのくんしゅろん,Yoiko no Kunshuron
よいこのしごと,Yoiko no Shigoto,
ヨイコノミライ,Yoiko no Mirai,
よいこの黙示録,よいこのもくしろく,Yoiko no Mokushiroku
ヨイショで満開,よいしょでまんかい,Yoisho de Mankai
宵闇眩燈草紙,よいやみげんとうぞうし,Yoiyamigentouzousi
妖怪ウォッチ,ようかいうぉっち,Youkai Watch
妖怪ウォッチ〜わくわく☆ にゃんだふるデイズ〜,ようかいうぉっち わくわくにゃんだふるでいず,Youkai watch Wakuwaku nyandaful days
妖怪学園ザビエル,ようかいがくえんざびえる,Youkaigakuen Xavier
妖怪ギガ,ようかいぎが,Youkai Giga
妖怪奇聞 異譚,ようかいきぶん いたん,Yokaikibun Itan
妖怪始末人トラウマ,ようかいしまつにんとらうま,Youkai Shimatsu Nin Trauma
妖怪人間ベム (高橋秀武版),ようかいにんげんべむ たかはしひでたけばん,Monster Human Bem Ver Hidebu Takahashi
妖怪人間ベム (田中憲版),ようかいにんげんべむ たなかけんばん,Humanoid Monster Bem: Ver Ken Tanaka
妖怪人間ベムReturns,ようかいにんげんべむりたーんず,Monster Human Returns
妖怪のお医者さん,ようかいのおいしゃさん,Youkai no oisha-san
妖怪の賃貸事情,ようかいのちんたいじじょう,Youkai no chintai jijou
妖怪の飼育員さん,ようかいのほいくいんさん,Youkai no Shiikuin san
妖怪博士の朝食,ようかいはかせのちょうしょく,Youkai hakase no choushoku
妖怪博士の明治怪奇教授録,ようかいはかせのめいじかいききょうじゅろく,Youkaihakase no Meiji kaiki kyoujuroku
妖怪パラダイス★,ようかいぱらだいす,Youkai Paradise
妖怪ハンター,ようかいはんたー,Youkai Hunter
妖怪番長,ようかいばんちょう,Youkai Banchou
妖怪マッサージ,ようかいまっさーじ,Youkai massaji
陽気なカモメ,ようきなかもめ,YOUKI NA KAMOME [Rokuta Noboru]
妖鬼妃伝,ようきひでん,YOUKIHIDEN
妖幻の血,ようげんのち,Yougen no chi
ヨウコさんはカッコいい,Youkosan wa kakkoii,
ようこそ小豆沢美研へ!,ようこそあずさわびけんへ,Youkoso! Azusawea biken e
妖こそ!うつつの分校,ようこそうつつのぶんこう,Welcome! Branch school of the ghost (Youkoso! utsutsu no bunkou)
ようこそ!オーロラ百貨店,ようこそおーろらひゃっかてん,Youkoso! Aurora hyakkaten
ようこそ幻界集落へ!,ようこそげんかいしゅうらくへ,Youkoso genkai shuuraku e!
ようこそ!微笑寮へ,ようこそほほえみりょうへ,Welcome to HOHOEMI dormitory
ようこそロードス島へ!,ようこそろーどすとうへ,Welcome to Rhodes
ようこそ。若葉荘へ,ようこそわかばそうへ,Youkoso Wakabasou e
妖狐伝義経千本桜,ようこでんよしつねせんぼんざくら,Yokoden Yoshitune sembonzakura
要塞学園,ようさいがくえん,Yousai Gakuen
幼獣マメシバ,ようじゅうまめしば,MAMESHIBA
幼女戦記,ようじょせんき,Youjo senki
妖刃記 貂牙,ようじんきてんが,Yojinki Tenga
幼稚の園,ようちのその,Youchi no sono
Yoh 光の抄,よう ひかりのしょう,Yoh hikari no shou
傭兵ピエール,ようへいぴえーる,Youhei Pierre
妖魔,ようま,YOHMA
妖魔ミカヅキ,ようまみかずき,Yoma Mikaduki
欲鬼,よくおに,Yokuoni
よく宗教勧誘に来る人の家に生まれた子の話,よくしゅうきょうかんゆうにくるひとのいえにうまれたこのはなし,A story of a child born to the house of a person who frequently comes to religious solicitation
欲望バス,よくぼうばす,Desire Bus
よくわかる現代魔法,よくわかるげんだいまほう,Yoku Wakaru Gendai Maho
預言者ピッピ,よげんしゃぴっぴ,"PIPPI, the Prophet"
予告犯,よこくはん,Notice criminal
よこしまゼミナール,Yokoshima seminar,
よこしまな江口くん,よこしまなえぐちくん,Yokoshima na Eguchi kun
よこしまな守護霊,よこしまなしゅごれい,Yokoshima na Shugorei
横須賀ロビン,よこすかろびん,YOKOSUKAROBIN
横綱大社長,よこづなだいしゃちょう,Yokoduna Daisyatyo
ヨコハマ買い出し紀行,よこはまかいだしきこう,Yokohama Kaidashi Kikou
横浜線ドッペルゲンガー,よこはませんどっぺるげんがー,Yokohamasen doppelganger
横浜名物男片山組!,よこはまめいぶつおとこかたやまぐみ,Yokohama Meibutu-otoko Katayama-gumi!
ヨコハマ物語,よこはまものがたり,Yokohama story
横浜物語(こいずみまり),よこはまものがたり こいずみまり,Yokohama monogatari
横山光輝初期作品集,よこやまみつてるしょきさくひんしゅう,Yokoyama Mituteru: Initial work collection
夜桜四重奏〜ヨザクラカルテット〜,よざくらかるてっと,Yozakura Quartet
ヨシイエ童話,よしいえどうわ,Yoshiie douwa
よしえサン(シリーズ),Yoshiesan,
