title,title_furigana,title_en
ゆーあいエトランゼ,Yuai etranger,
ゆあまいん,Your Mine,
結崎さんはなげる!,ゆいざきさんはなげる,Yuizaki San Ha Nageru
結い 親鸞,ゆい しんらん,Yui Shinran
優&魅衣,ゆうあんどみい,You&amp;Me
憂鬱くんとサキュバスさん,ゆううつくんとさきゅばすさん,Yuuutsu-kun to Succubus-san
有害指定同級生,ゆうがいしていどうきゅうせい,Yuugai shitei doukyuusei
有害都市,ゆうがいとし,Yuugai toshi
有閑倶楽部,ゆうかんくらぶ,Yuukan kurabu
有閑みわさん,ゆうかんみわさん,Leisured Madam Miwa
遊☆戯☆王,ゆうぎおう,Yu-Gi-Oh!
遊☆戯☆王 GX,ゆうぎおう じーえっくす,Yu-gi-oh! gX
遊☆戯☆王ZEXAL,ゆうぎおうぜある,Yu-gi-oh!ZEXAL
遊☆戯☆王5D's,ゆうぎおう ふぁいぶでぃーず,Yu-Gi-Oh 5D's
遊☆戯☆王 R,ゆうぎおう りたーん,Yu-Gi-Oh R
YOUKIの直球,ゆうきのすとれーと,Yuuki's Fastball
結城友奈は勇者である,ゆうきゆうなはゆうしゃである,Yuuki Yuuna wa yuusha de aru
結城友奈は勇者である -鷲尾須美の章-,ゆうきゆうなはゆうしゃである わしおすみのしょう,Yuuki Yuuna wa yuusha dearu Washio Sumi no shou
結城友奈は勇者部所属,ゆうきゆうなはゆうしゃぶしょぞく,Yuuki Yuuna wa Yuushabu shozoku
遊撃宇宙戦艦ナデシコ,ゆうげきうちゅうせんかんなでしこ,YUHGEKI SPACE BATTLE SHIP NADESICO
遊撃少女遊美,ゆうげきしょうじょゆうみ,Yuugeki Shoujo Yuumi
(有)椎名百貨店,ゆうげんがいしゃしいなひゃっかてん,Shiina Department Store
勇午,ゆうご,Yugo
憂国のモリアーティ,ゆうこくのもりあーてぃ,MORIARTY THE PATRIOT
憂国のラスプーチン,ゆうこくのらすぷーちん,Yuukoku no Rasputin
勇士ダンダン,ゆうしだんだん,DANDAN
勇者王ガオガイガーFINAL the COMIC,ゆうしゃおうがおがいがーふぁいなるざこみっく,Brave King GaoGaiGar Final the Comic
勇者が死んだ!村人の俺が掘った落とし穴に勇者が落ちた結果。,ゆうしゃがしんだ むらびとのおれがほったおとしあなにゆうしゃがおちたけっか,Yuusha ga Shinda!
勇者様、湯加減はいかがですか?,ゆうしゃさま ゆかげんはいかがですか,Yuushasama Yukagen ha ikagadesuka
勇者ダン,ゆうしゃだん,Brave man dan
勇者と魔王の四畳半,ゆうしゃとまおうのよじょうはん,Yusha to Maou no Yojohan
勇者ライディーン,ゆうしゃらいでぃーん,Brave Raideen (Yuusha Raideen)
優駿の門,ゆうしゅんのもん,Yuusyun no Mon
夕空のクライフイズム,ゆうぞらのくらいふいずむ,Yuuzora no Cruijffism
ユウタイノヴァ,Yuutainova,
夕凪の賦 (夢語りシリーズ),ゆうなぎのふ,Yuunagi no fu
夕凪の街 桜の国,ゆうなぎのまち さくらのくに,Yuunagi no machi sakura no kuni
雄飛,ゆうひ,Yuuhi
ゆうひが丘の総理大臣,ゆうひがおかのそうりだいじん,Yuuhigaoka No Souridaijin
有尾人,ゆうびじん,Yuubijin
夕日よ昇れ!!,ゆうひよのぼれ,The evening sun must rise.
夕日ロマンス,ゆうひろまんす,Yuhi Romance
夕焼けの詩 三丁目の夕日,ゆうやけのうた さんちょうめのゆうひ,Yuuyake no uta Sanchoume no yuuhi
夕やけ番長,ゆうやけばんちょう,Yuuyake Banchou
夕焼けロケットペンシル,ゆうやけろけっとぺんしる,Yuuyake Rocket Pencil
ゆうやみ特攻隊,ゆうやみとっこうたい,Yuuyami Tokkoutai
幽☆遊☆白書,ゆうゆうはくしょ,Yu Yu Hakusho
ゆうれい小僧がやってきた!,ゆうれいこぞうがやってきた,Yuurei kozou ga yattekita
幽霊船 (石ノ森章太郎版),ゆうれいせん いしのもりしょうたろうばん,Yureisen: Ishinomori Shoutarou
幽麗塔,ゆうれいとう,Yureitou
幽霊旅行代理店 ソウルメイトツーリスト,ゆうれいりょこうだいりてん そうるめいとつーりすと,Ghost travel representation
ゆかにっし,Yuka's diary (Yuka nisshi),
ゆかひめ!,Yukahime!,
湯神くんには友達がいない,ゆかみくんにはともだちがいない,He does not have any friends. (Yukami kun ni wa tomodachi ga inai)
ユーカリの木の下で,ゆーかりのきのしたで,Under The Tree of Eucalyptus
ユカをよぶ海,ゆかをよぶうみ,Yuka wo yobu umi
雪にツバサ,ゆきにつばさ,Yuki ni tsubasa
ゆきの国から,ゆきのくにから,From snow world
雪の桜の木の下で...,ゆきのさくらのきのしたで,Yuki no Sakura no ki no shita de
雪乃すくらんぶる,ゆきのすくらんぶる,Yukino Scramble
ユキの太陽,ゆきのたいよう,Yuki no taiyou
雪の峠・剣の舞,ゆきのとうげつるぎのまい,Pass And Sword Dance Of Snow
ユキは地獄に堕ちるのか,ゆきはじごくにおちるのか,Yuki ha Jigoku he ochirunoka
雪花の虎,ゆきはなのとら,Yukihana no Tora
